deck,opposing_deck,date,winrate,games_played
Arceus Inteleon,Arceus Inteleon,2022-05-10,0.46,136
Arceus Inteleon,Arceus,2022-05-10,0.42,24
Arceus Inteleon,Wormadam Box,2022-05-10,0.0,1
Arceus Inteleon,Urshifu Inteleon,2022-05-10,0.47,17
Arceus Inteleon,Duraludon,2022-05-10,0.67,3
Arceus Inteleon,Arceus Duraludon,2022-05-10,0.42,12
Arceus Inteleon,Mew Genesect,2022-05-10,0.53,60
Arceus Inteleon,Arceus Charizard,2022-05-10,0.33,3
Arceus Inteleon,Arceus Raichu,2022-05-10,1.0,1
Arceus Inteleon,Other,2022-05-10,0.69,13
Arceus Inteleon,Whimsicott,2022-05-10,0.47,17
Arceus Inteleon,Durant,2022-05-10,1.0,3
Arceus Inteleon,Decidueye Inteleon,2022-05-10,0.5,4
Arceus Inteleon,Arceus Lycanroc,2022-05-10,0.33,3
Arceus Inteleon,Dragapult Inteleon,2022-05-10,1.0,1
Arceus Inteleon,Calyrex Inteleon,2022-05-10,0.25,28
Arceus Inteleon,Jolteon Inteleon,2022-05-10,0.25,4
Arceus Inteleon,Arceus Ice Rider,2022-05-10,0.0,2
Arceus Inteleon,Altaria,2022-05-10,0.0,1
Arceus Inteleon,Arceus Malamar,2022-05-10,0.6,10
Arceus Inteleon,Rapid Strike Malamar,2022-05-10,0.72,18
Arceus Inteleon,Shadow Rider Whimsicott,2022-05-10,1.0,1
Arceus Inteleon,Arceus Gyarados,2022-05-10,0.5,2
Arceus Inteleon,Dark Inteleon,2022-05-10,0.56,9
Arceus Inteleon,Umbreon Urshifu,2022-05-10,0.5,4
Arceus Inteleon,Inteleon,2022-05-10,0.0,1
Arceus Inteleon,Lucario,2022-05-10,0.5,2
Arceus Inteleon,Sableye,2022-05-10,1.0,1
Arceus Inteleon,Sylveon Arceus,2022-05-10,0.75,4
Arceus Inteleon,Victini,2022-05-10,1.0,1
Arceus Inteleon,Dark Arceus,2022-05-10,0.62,8
Arceus Inteleon,Charizard,2022-05-10,0.5,2
Arceus Inteleon,Suicune Ludicolo,2022-05-10,0.5,2
Arceus Inteleon,Galarian Weezing,2022-05-10,0.0,2
Arceus Inteleon,Gengar,2022-05-10,0.0,1
Arceus Inteleon,Arceus Rayquaza,2022-05-10,0.0,1
Arceus Malamar,Mew Genesect,2022-05-10,0.5,4
Arceus Malamar,Rapid Strike Malamar,2022-05-10,0.67,3
Arceus Malamar,Dark Inteleon,2022-05-10,0.67,3
Arceus Malamar,Urshifu Inteleon,2022-05-10,1.0,2
Arceus Malamar,Arceus Inteleon,2022-05-10,0.4,10
Arceus Malamar,Calyrex Inteleon,2022-05-10,0.67,3
Arceus Malamar,Arceus Duraludon,2022-05-10,1.0,2
Arceus Malamar,Gengar,2022-05-10,1.0,1
Arceus Malamar,Leafeon Inteleon,2022-05-10,1.0,1
Arceus Malamar,Whimsicott,2022-05-10,0.5,2
Arceus Malamar,Dark Arceus,2022-05-10,0.0,1
Arceus Malamar,Arceus,2022-05-10,1.0,1
Calyrex Inteleon,Mew Genesect,2022-05-10,0.38,16
Calyrex Inteleon,Dark Inteleon,2022-05-10,0.33,3
Calyrex Inteleon,Whimsicott,2022-05-10,0.6,10
Calyrex Inteleon,Arceus Inteleon,2022-05-10,0.64,28
Calyrex Inteleon,Arceus Flygon,2022-05-10,0.0,1
Calyrex Inteleon,Rapid Strike Malamar,2022-05-10,0.29,7
Calyrex Inteleon,Dark Arceus,2022-05-10,0.5,2
Calyrex Inteleon,Arceus,2022-05-10,0.56,9
Calyrex Inteleon,Calyrex Inteleon,2022-05-10,0.5,4
Calyrex Inteleon,Other,2022-05-10,0.5,2
Calyrex Inteleon,Arceus Duraludon,2022-05-10,0.71,7
Calyrex Inteleon,Urshifu Inteleon,2022-05-10,0.75,4
Calyrex Inteleon,Arceus Malamar,2022-05-10,0.33,3
Calyrex Inteleon,Arceus Charizard,2022-05-10,0.5,2
Calyrex Inteleon,Decidueye Inteleon,2022-05-10,1.0,1
Calyrex Inteleon,Umbreon Urshifu,2022-05-10,0.33,3
Calyrex Inteleon,Blissey,2022-05-10,0.0,2
Calyrex Inteleon,Suicune Ludicolo,2022-05-10,1.0,1
Calyrex Inteleon,Jolteon Inteleon,2022-05-10,0.5,2
Calyrex Inteleon,Charizard,2022-05-10,0.5,2
Calyrex Inteleon,Sableye,2022-05-10,0.0,1
Calyrex Inteleon,Corviknight,2022-05-10,1.0,1
Calyrex Inteleon,Arceus Rayquaza,2022-05-10,1.0,1
Calyrex Inteleon,Shadow Rider Whimsicott,2022-05-10,1.0,1
Mew Genesect,Dark Inteleon,2022-05-10,0.25,8
Mew Genesect,Whimsicott,2022-05-10,0.55,22
Mew Genesect,Arceus Ice Rider,2022-05-10,0.83,6
Mew Genesect,Arceus Inteleon,2022-05-10,0.37,60
Mew Genesect,Arceus Duraludon,2022-05-10,0.36,11
Mew Genesect,Charizard,2022-05-10,0.33,6
Mew Genesect,Jolteon Inteleon,2022-05-10,0.5,2
Mew Genesect,Decidueye Inteleon,2022-05-10,0.8,5
Mew Genesect,Mew Genesect,2022-05-10,0.45,80
Mew Genesect,Other,2022-05-10,0.2,10
Mew Genesect,Suicune Ludicolo,2022-05-10,0.67,6
Mew Genesect,Sylveon Arceus,2022-05-10,0.0,1
Mew Genesect,Urshifu Inteleon,2022-05-10,0.56,16
Mew Genesect,Lucario,2022-05-10,0.0,1
Mew Genesect,Rapid Strike Malamar,2022-05-10,0.43,14
Mew Genesect,Calyrex Inteleon,2022-05-10,0.38,16
Mew Genesect,Sableye,2022-05-10,1.0,2
Mew Genesect,Victini,2022-05-10,0.5,2
Mew Genesect,Gengar,2022-05-10,0.5,4
Mew Genesect,Arceus,2022-05-10,0.69,13
Mew Genesect,Arceus Malamar,2022-05-10,0.5,4
Mew Genesect,Dark Arceus,2022-05-10,0.6,5
Mew Genesect,Wormadam Box,2022-05-10,0.67,3
Mew Genesect,Umbreon Urshifu,2022-05-10,0.5,2
Mew Genesect,Arceus Flygon,2022-05-10,1.0,1
Mew Genesect,Arceus Rayquaza,2022-05-10,0.0,1
Mew Genesect,Arceus Lycanroc,2022-05-10,0.67,3
Mew Genesect,Tapu Koko,2022-05-10,0.5,2
Mew Genesect,Arceus Charizard,2022-05-10,1.0,2
Mew Genesect,Duraludon,2022-05-10,1.0,1
Mew Genesect,Shadow Rider Whimsicott,2022-05-10,0.0,1
Mew Genesect,Dragapult Inteleon,2022-05-10,0.0,2
Mew Genesect,Blissey,2022-05-10,1.0,1
Mew Genesect,Arceus Gyarados,2022-05-10,0.5,2
Mew Genesect,Galarian Weezing,2022-05-10,1.0,1
Arceus,Arceus Gyarados,2022-05-10,1.0,1
Arceus,Calyrex Inteleon,2022-05-10,0.44,9
Arceus,Whimsicott,2022-05-10,0.0,3
Arceus,Arceus Inteleon,2022-05-10,0.54,24
Arceus,Galarian Weezing,2022-05-10,1.0,2
Arceus,Rapid Strike Malamar,2022-05-10,0.6,5
Arceus,Mew Genesect,2022-05-10,0.31,13
Arceus,Urshifu Inteleon,2022-05-10,0.44,9
Arceus,Arceus Duraludon,2022-05-10,0.67,3
Arceus,Arceus Ice Rider,2022-05-10,1.0,1
Arceus,Arceus Flygon,2022-05-10,1.0,1
Arceus,Tapu Koko,2022-05-10,1.0,1
Arceus,Other,2022-05-10,0.5,6
Arceus,Dark Inteleon,2022-05-10,0.5,2
Arceus,Rayquaza Flaaffy,2022-05-10,1.0,1
Arceus,Dragapult Inteleon,2022-05-10,1.0,1
Arceus,Sylveon Arceus,2022-05-10,0.0,1
Arceus,Arceus,2022-05-10,0.5,8
Arceus,Gengar,2022-05-10,0.0,2
Arceus,Lucario,2022-05-10,0.0,2
Arceus,Arceus Lycanroc,2022-05-10,0.33,3
Arceus,Blissey,2022-05-10,0.0,1
Arceus,Dark Arceus,2022-05-10,0.0,2
Arceus,Corviknight,2022-05-10,0.0,1
Arceus,Arceus Rayquaza,2022-05-10,0.0,2
Arceus,Jolteon Inteleon,2022-05-10,1.0,1
Arceus,Charizard,2022-05-10,1.0,1
Arceus,Sableye,2022-05-10,0.0,1
Arceus,Arceus Malamar,2022-05-10,0.0,1
Rapid Strike Malamar,Calyrex Inteleon,2022-05-10,0.57,7
Rapid Strike Malamar,Arceus Rayquaza,2022-05-10,1.0,1
Rapid Strike Malamar,Urshifu Inteleon,2022-05-10,0.6,5
Rapid Strike Malamar,Mew Genesect,2022-05-10,0.43,14
Rapid Strike Malamar,Whimsicott,2022-05-10,0.75,4
Rapid Strike Malamar,Arceus Lycanroc,2022-05-10,0.0,2
Rapid Strike Malamar,Arceus,2022-05-10,0.4,5
Rapid Strike Malamar,Arceus Malamar,2022-05-10,0.33,3
Rapid Strike Malamar,Arceus Inteleon,2022-05-10,0.17,18
Rapid Strike Malamar,Torkoal,2022-05-10,1.0,1
Rapid Strike Malamar,Decidueye Inteleon,2022-05-10,0.5,2
Rapid Strike Malamar,Duraludon,2022-05-10,0.33,3
Rapid Strike Malamar,Other,2022-05-10,0.25,4
Rapid Strike Malamar,Arceus Gyarados,2022-05-10,0.0,1
Rapid Strike Malamar,Inteleon,2022-05-10,1.0,1
Rapid Strike Malamar,Rapid Strike Malamar,2022-05-10,0.5,4
Rapid Strike Malamar,Lucario,2022-05-10,1.0,1
Rapid Strike Malamar,Dark Inteleon,2022-05-10,0.0,1
Rapid Strike Malamar,Sableye,2022-05-10,0.0,1
Rapid Strike Malamar,Dark Arceus,2022-05-10,1.0,1
Rapid Strike Malamar,Galarian Weezing,2022-05-10,1.0,1
Other,Blissey,2022-05-10,1.0,1
Other,Arceus Ice Rider,2022-05-10,0.33,3
Other,Whimsicott,2022-05-10,0.25,8
Other,Urshifu Inteleon,2022-05-10,0.33,3
Other,Arceus Inteleon,2022-05-10,0.23,13
Other,Mew Genesect,2022-05-10,0.6,10
Other,Corviknight,2022-05-10,0.0,1
Other,Arceus,2022-05-10,0.5,6
Other,Arceus Gyarados,2022-05-10,0.0,1
Other,Victini,2022-05-10,1.0,1
Other,Calyrex Inteleon,2022-05-10,0.5,2
Other,Duraludon,2022-05-10,0.0,2
Other,Charizard,2022-05-10,0.5,2
Other,Rapid Strike Malamar,2022-05-10,0.75,4
Other,Shadow Rider Whimsicott,2022-05-10,0.0,1
Other,Sylveon Arceus,2022-05-10,1.0,1
Other,Arceus Duraludon,2022-05-10,0.0,2
Other,Sableye,2022-05-10,1.0,1
Other,Gengar,2022-05-10,1.0,1
Other,Other,2022-05-10,0.5,4
Other,Tapu Koko,2022-05-10,1.0,1
Other,Arceus Lycanroc,2022-05-10,1.0,1
Other,Dark Inteleon,2022-05-10,0.0,1
Dark Inteleon,Arceus Malamar,2022-05-10,0.33,3
Dark Inteleon,Mew Genesect,2022-05-10,0.62,8
Dark Inteleon,Calyrex Inteleon,2022-05-10,0.67,3
Dark Inteleon,Umbreon Urshifu,2022-05-10,1.0,1
Dark Inteleon,Arceus,2022-05-10,0.5,2
Dark Inteleon,Arceus Inteleon,2022-05-10,0.22,9
Dark Inteleon,Arceus Duraludon,2022-05-10,0.0,2
Dark Inteleon,Urshifu Inteleon,2022-05-10,0.25,4
Dark Inteleon,Arceus Lycanroc,2022-05-10,0.0,2
Dark Inteleon,Dark Arceus,2022-05-10,0.33,3
Dark Inteleon,Dragapult Inteleon,2022-05-10,0.0,1
Dark Inteleon,Arceus Rayquaza,2022-05-10,1.0,1
Dark Inteleon,Jolteon Inteleon,2022-05-10,0.0,1
Dark Inteleon,Whimsicott,2022-05-10,1.0,3
Dark Inteleon,Arceus Charizard,2022-05-10,1.0,1
