deck,opposing_deck,t_url,date,winrate,games_played
Arceus Goodra,Arceus Duraludon,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.0,3
Arceus Goodra,Giratina LZ Box,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.53,15
Arceus Goodra,Arceus Flying Pikachu,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.67,3
Arceus Goodra,Mew Genesect,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.44,18
Arceus Goodra,Arceus Giratina,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,1.0,3
Arceus Goodra,Blissey,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.1,10
Arceus Goodra,Kyurem Palkia,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.38,16
Arceus Goodra,Crobat Weezing,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,1.0,1
Arceus Goodra,Palkia Inteleon,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.6,15
Arceus Goodra,Other,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.67,3
Arceus Goodra,Hisuian Goodra,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.33,3
Arceus Goodra,Hisuian Zoroark,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.5,2
Arceus Goodra,Calyrex Inteleon,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.5,4
Arceus Goodra,Regis,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.6,10
Arceus Goodra,Dialga LZ,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.0,1
Arceus Goodra,Lost Zone Box,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.53,15
Arceus Goodra,Durant,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,1.0,1
Arceus Goodra,Machamp,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,1.0,1
Arceus Goodra,Shadow Rider Calyrex,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.25,4
Arceus Goodra,Hisuian Samurott,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,1.0,1
Arceus Goodra,Arceus,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.5,2
Arceus Goodra,Arceus Mewtwo,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.0,1
Arceus Goodra,Arceus Goodra,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.4,10
Arceus Goodra,Volcarona,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.5,2
Arceus Goodra,Vikavolt,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.0,1
Regis,Palkia Inteleon,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.4,20
Regis,Kyurem Palkia,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.1,10
Regis,Mew Genesect,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.47,19
Regis,Regis,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.5,28
Regis,Giratina LZ Box,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.45,22
Regis,Lost Zone Box,https://play.limitlesstcg.com/tournament/ln68/,2022-11-01,0.39,23
