Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Shintaro I,,29,9 - 0 - 2,,,Calyrex Inteleon,,toshin
2,Erin McCann,,25,8 - 2 - 1,,,Eternatus,,drestrein
3,Ace702,,22,7 - 2 - 1,,,ADP Moltres,,ace702
4,Sadewaimba,,22,7 - 2 - 1,,,Eternatus,,sadewaimba
5,Anti,,20,6 - 1 - 2,,,Spiritomb,,anti
6,Alex Hamilton,,19,6 - 2 - 1,,,ADP Moltres,,omegascizor456
7,Ayoed,,19,6 - 2 - 1,,,ADP Moltres,,ayoed
8,Bodhi Robinson,,18,6 - 3 - 0,,,Mewtwo Weavile,,bodhi
9,jrubin33,,17,5 - 1 - 2,,,Calyrex Inteleon,,jrubin33
10,petra0000,,17,5 - 1 - 2,,,Mewtwo Weavile,,petra0000
11,mkirby,,16,5 - 2 - 1,,,Mewtwo Weavile,,mkirby
12,pititu,,16,5 - 2 - 1,,,Eternatus,,pititu
13,CoconutG28,,16,5 - 2 - 1,,,Eternatus,,coconutg28
14,Math Liu,,16,5 - 2 - 1,,,Rowegg Rillaboom,,tdonmt1989
15,Dylan C,,15,5 - 3 - 0,,,Eternatus,,dylclark21
16,ChillTCG,,15,5 - 3 - 0,,,Shadow Rider Calyrex,,chilltcg
17,Henrique Gonçalves,,15,5 - 2 - 0,54.59%,54.52%,Eternatus,,gatanashg
18,renhan87,,15,5 - 2 - 0,52.45%,54.02%,Shadow Rider Calyrex,,renhan87
19,Jonah2705,,15,5 - 2 - 0,52.31%,54.48%,Malamar Weavile,,jonah2705
20,Audityo Pramudya,,15,5 - 2 - 0,52.21%,50.47%,Shadow Rider Calyrex,,audiocumio
21,76ers,,15,5 - 2 - 0,52.14%,52.58%,Calyrex Inteleon,,76ers
22,Jk338,,15,5 - 2 - 0,48.81%,52.71%,ADP Moltres,,jk338
23,teethanatt,,15,5 - 2 - 0,48.67%,55.21%,Calyrex Inteleon,,teethanatt
