Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Isaac Troan,,33,11 - 2 - 0,,,Calyrex Inteleon,,dispencer
2,Bodhi Robinson,,31,10 - 2 - 1,,,Mewtwo Weavile,,bodhi
3,Hajime A,,29,9 - 1 - 2,,,Mewtwo Weavile,,lilly130910
4,KaiserScorch,,28,9 - 2 - 1,,,Dhelmise Rillaboom,,kaiserscorch
5,Angel22Aranibar,,25,8 - 2 - 1,,,Shadow Rider Calyrex,,angel22aranibar
6,Rory Sharpe,,25,8 - 2 - 1,,,Eternatus,,stazzy69
7,Audityo Pramudya,,24,8 - 3 - 0,,,Shadow Rider Calyrex,,audiocumio
8,Marck261,,24,8 - 3 - 0,,,Mewtwo Weavile,,marck261
9,Vaughn,,23,7 - 1 - 2,,,Mewtwo Weavile,,vaughn
10,Permen Karet,,22,7 - 2 - 1,,,Eternatus,,reidave
11,GabsBaptista,,21,7 - 3 - 0,,,Shadow Rider Calyrex,,gabsbaptista
12,houo s,,21,7 - 3 - 0,,,Trevenant Dusknoir,,remi
13,Akito,,21,7 - 3 - 0,,,Zacian Lucmetal,,akito
14,Luis Ruiz,,21,7 - 3 - 0,,,Zacian Lucmetal,,luisruiz1112
15,K_zaps W,,21,7 - 3 - 0,,,Calyrex Inteleon,,sparkwu1101
16,Victor García,,21,7 - 3 - 0,,,Shadow Rider Calyrex,,vicgar08
17,Reiji Nishiguchi,,21,7 - 2 - 0,43.75%,53.13%,Rowegg Rillaboom,,amere
18,Juan Andree,,21,7 - 2 - 0,39.58%,59.44%,Calyrex Alcremie,,juanandree
19,sokesoke,,21,7 - 2 - 0,31.25%,62.82%,ADP Moltres,,sokesoke
20,Akiyama777,,18,6 - 3 - 0,75.00%,52.08%,Eternatus,,akiyama777
21,Math Liu,,18,6 - 3 - 0,75.00%,48.96%,Zacian Lucmetal,,tdonmt1989
22,bgv1989,,18,6 - 3 - 0,66.67%,47.92%,ADP Moltres,,bgv1989
23,EvanCampbell94,,18,6 - 3 - 0,66.67%,45.00%,Other,,evancampbell94
24,Andrew Hedrick,,18,6 - 3 - 0,62.50%,52.56%,Urshifu Inteleon,,pokehawkeye
25,teethanatt,,18,6 - 3 - 0,62.50%,47.40%,Urshifu Inteleon,,teethanatt
26,Hawtie,,18,6 - 3 - 0,58.33%,48.08%,Shadow Rider Calyrex,,hawtie
27,Henrique Gonçalves,,18,6 - 3 - 0,58.33%,44.44%,Eternatus,,gatanashg
28,José Carlos V,,18,6 - 3 - 0,56.25%,56.25%,Calyrex Inteleon,,malevon
29,Luke Tran,,18,6 - 3 - 0,56.25%,55.73%,ADP Moltres,,nvshinies
30,zattack10,,18,6 - 3 - 0,56.25%,55.13%,ADP Moltres,,zattack10
31,snowman,,18,6 - 3 - 0,56.25%,48.44%,Urshifu Inteleon,,snowman
32,Jesus Cervera,,18,6 - 3 - 0,56.25%,43.75%,Shadow Rider Calyrex,,cervera1692
33,Blueskies,,18,6 - 3 - 0,50.00%,57.74%,Spiritomb,,blueskies
34,SlimeNugget,,18,6 - 3 - 0,50.00%,57.58%,Calyrex Inteleon,,slimenugget
35,Leu,,18,6 - 3 - 0,50.00%,57.58%,Rowegg Rillaboom,,leu
36,Jorgecani,,18,6 - 3 - 0,50.00%,55.21%,Rapid Strike Urshifu,,jorgecani
37,HarveyBirdman,,18,6 - 3 - 0,50.00%,53.85%,Calyrex Inteleon,,harveybirdman
38,Haru  Nishikawa,,18,6 - 3 - 0,50.00%,51.19%,Togekiss,,harun
39,thegarder,,18,6 - 3 - 0,43.75%,53.57%,Calyrex Alcremie,,thegarder
40,Joshua Sutherland,,18,6 - 3 - 0,37.50%,57.81%,Zacian Lucmetal,,joshuasutherland21
41,Michele  Babin,,18,6 - 3 - 0,33.33%,66.67%,Shadow Rider Calyrex,,michelebabin
42,Juan Espinola,,18,6 - 3 - 0,33.33%,60.56%,Shadow Rider Calyrex,,espinola
43,Henrique Jorge,,18,6 - 3 - 0,33.33%,57.74%,Urshifu Inteleon,,hbjtrevo
44,Fue,,16,5 - 3 - 1,52.08%,53.33%,Eternatus,,fue
45,alexs55,,16,5 - 3 - 1,39.58%,47.73%,Eternatus,,alexs55
46,coronelzeta,,15,5 - 4 - 0,75.00%,43.75%,Rowegg Rillaboom,,coronelzeta
47,Manupango,,15,5 - 4 - 0,75.00%,39.88%,Urshifu Inteleon,,manupango
48,kitneras y,,15,5 - 4 - 0,68.75%,41.15%,Urshifu Inteleon,,rafaelyuiti
49,MAGG24,,15,5 - 4 - 0,62.50%,43.75%,Calyrex Inteleon,,magg24
50,Scott D,,15,5 - 3 - 0drop,58.33%,52.08%,Urshifu Inteleon,,scottzard69
51,Sleepymaster,,15,5 - 4 - 0,58.33%,50.56%,Calyrex Inteleon,,sleepymaster
52,GabrielSmartTCG,,15,5 - 4 - 0,56.25%,48.72%,Mewtwo Weavile,,gabrielsmarttcg
53,kuuuura,,15,5 - 4 - 0,50.00%,59.72%,Shadow Rider Calyrex,,kuuuura
54,Scott Bush,,15,5 - 4 - 0,50.00%,57.69%,Eternatus,,geekbush
55,pititu,,15,5 - 4 - 0,50.00%,47.73%,Eternatus,,pititu
56,Norm,,15,5 - 4 - 0,45.83%,49.44%,Urshifu Inteleon,,norm
57,ChengChe Lee,,15,5 - 4 - 0,45.83%,45.00%,ADP Moltres,,chengchelee
58,Framo,,15,5 - 4 - 0,43.75%,59.03%,Calyrex Alcremie,,framo
59,ZoroKYen,,15,5 - 3 - 0drop,41.67%,57.58%,Shadow Rider Calyrex,,zorokyen
