Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Ryota Saito,,36,11 - 1 - 3,,,Zacian Lucmetal,,mawssa2000
2,HenryBrand,,34,11 - 3 - 1,,,Calyrex Inteleon,,henrybrand
3,Isaac Troan,,29,9 - 3 - 2,,,Calyrex Inteleon,,dispencer
4,hsubrian6,,29,9 - 3 - 2,,,Shadow Rider Calyrex,,hsubrian6
5,Rory Sharpe,,28,9 - 3 - 1,,,Urshifu Inteleon,,stazzy69
6,Aqua bibi,,26,8 - 3 - 2,,,Eternatus,,guaguaimc
7,Kyle Vincent Imperial,,26,8 - 3 - 2,,,Urshifu Inteleon,,kvi
8,Andrew Hedrick,,26,8 - 3 - 2,,,Mewtwo Weavile,,pokehawkeye
9,sooo,,28,9 - 2 - 1,,,Urshifu Inteleon,,sooo
10,aus1726,,26,8 - 2 - 2,,,Urshifu Inteleon,,aus1726
11,Savid400,,25,8 - 3 - 1,,,Eternatus,,savid400
12,GabrielSmartTCG,,24,7 - 2 - 3,,,Shadow Rider Calyrex,,gabrielsmarttcg
13,Hayden Frew,,24,7 - 2 - 3,,,Mewtwo Weavile,,hayden
14,nearby,,23,7 - 3 - 2,,,Urshifu Inteleon,,nearby
15,TALLYSOMSOARES,,23,7 - 3 - 2,,,Eternatus,,tallysomsoares
16,Haru  Nishikawa,,23,7 - 3 - 2,,,Blissey,,harun
17,Michele  Babin,,21,7 - 3 - 0,52.08%,47.22%,Shadow Rider Calyrex,,michelebabin
18,MIRAI O,,21,7 - 3 - 0,50.00%,56.77%,Urshifu Inteleon,,seacome
19,daiyuguantou,,21,7 - 3 - 0,50.00%,56.25%,Calyrex Inteleon,,daiyuguantou
20,ChengChe Lee,,21,7 - 3 - 0,45.83%,55.00%,Shadow Rider Calyrex,,chengchelee
21,Joshua Sutherland,,21,7 - 3 - 0,45.83%,51.67%,Zacian Lucmetal,,joshuasutherland21
22,Well Played　坂井 S,,21,7 - 3 - 0,43.75%,56.67%,Shadow Rider Calyrex,,brunokoko
23,goomy47,,21,7 - 3 - 0,43.75%,50.64%,Urshifu Inteleon,,goomy47
24,HarveyBirdman,,21,7 - 3 - 0,43.75%,50.52%,Shadow Rider Calyrex,,harveybirdman
25,Ira P,,21,7 - 3 - 0,39.58%,53.33%,Shadow Rider Calyrex,,ira9999
26,Henrique Jorge,,21,7 - 3 - 0,35.42%,55.95%,Shadow Rider Calyrex,,hbjtrevo
27,Pegasus2000,,21,7 - 3 - 0,31.25%,56.55%,Malamar Weavile,,pegasus2000
28,pjwitusik,,19,6 - 3 - 1,62.50%,41.07%,Urshifu Inteleon,,pjwitusik
29,Paulo Anderson,,19,6 - 3 - 1,56.25%,48.44%,Calyrex Inteleon,,fumikage
30,Bodhi Robinson,,19,6 - 3 - 1,56.25%,48.44%,Mewtwo Weavile,,bodhi
31,ietomo20,,19,6 - 3 - 1,50.00%,50.00%,Eternatus,,ietomo20
32,jrubin33,,18,6 - 4 - 0,62.50%,47.92%,Calyrex Inteleon,,jrubin33
33,jordangom,,18,6 - 4 - 0,56.25%,41.11%,Urshifu Inteleon,,jordangom
34,GGzaga,,18,6 - 4 - 0,52.08%,47.22%,Mewtwo Weavile,,ggzaga
35,Fue,,18,6 - 4 - 0,52.08%,43.33%,Mewtwo Weavile,,fue
36,Iori127,,18,6 - 4 - 0,52.08%,41.11%,Blacephalon Reshizard,,iori127
