Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Haru  Nishikawa,,36,11 - 0 - 3,,,Mewtwo Mew,,harun
2,sooo,,33,10 - 1 - 3,,,Eternatus Weavile,,sooo
3,Andrew Hedrick,,29,9 - 2 - 2,,,Mewtwo Weavile,,pokehawkeye
4,roi85,,29,9 - 2 - 2,,,Shadow Rider Calyrex,,roi85
5,john wanggaard,,26,8 - 2 - 2,,,Shadow Rider Calyrex,,ttoabyssal
6,Hawtie,,25,8 - 3 - 1,,,Shadow Rider Calyrex,,hawtie
7,sencha,,24,8 - 4 - 0,,,Shadow Rider Calyrex,,kirikisencha
8,Victor García,,24,8 - 4 - 0,,,Shadow Rider Calyrex,,vicgar08
9,Victor De Velasco,,24,8 - 3 - 0,,,Glaceon Inteleon,,victor91dv
10,Ira P,,24,8 - 3 - 0,,,Shadow Rider Calyrex,,ira9999
11,pikatoon,,23,7 - 2 - 2,,,Zacian Lucmetal,,pikatoon
12,inosoycarly,,23,7 - 2 - 2,,,Zacian Lucmetal,,inosoycarly
13,tappa02,,23,7 - 2 - 2,,,Zacian Lucmetal,,tappa02
14,Kashvinder Singh,,23,7 - 2 - 2,,,Shadow Rider Calyrex,,kashmann27
15,Dramando,,22,7 - 3 - 1,,,Blacephalon,,dramando
16,GabrielSmartTCG,,22,7 - 3 - 1,,,Suicune Ludicolo,,gabrielsmarttcg
17,kuuuura,,21,7 - 3 - 0,56.25%,47.92%,Mewtwo Weavile,,kuuuura
18,irvintyes,,21,7 - 3 - 0,52.08%,50.00%,Leafeon Inteleon,,irvintyes
19,APackOfAlpacas,,21,7 - 3 - 0,50.00%,46.35%,Mewtwo Weavile,,apackofalpacas
20,daiyuguantou,,21,7 - 3 - 0,43.75%,45.31%,Zacian Lucmetal,,daiyuguantou
21,wadedaze,,21,7 - 3 - 0,43.75%,42.86%,Zacian Lucmetal,,wadedaze
22,Luis Ruiz,,21,7 - 3 - 0,39.58%,59.62%,Zacian Lucmetal,,luisruiz1112
23,Deresing,,21,7 - 3 - 0,37.50%,57.74%,Eternatus,,deresing
24,Joshua Sutherland,,21,7 - 3 - 0,37.50%,51.56%,Zacian Lucmetal,,joshuasutherland21
25,OGShih,,21,7 - 3 - 0,31.25%,54.17%,Rowegg Rillaboom,,ogshih
26,Peter M,,21,7 - 3 - 0,27.08%,57.22%,Urshifu Inteleon,,peterm07
27,snooze,,19,6 - 3 - 1,62.50%,38.02%,Mewtwo Weavile,,snooze
28,yinse1126,,19,6 - 3 - 1,43.75%,50.00%,Shadow Rider Calyrex,,yinse1126
29,gazerbeam2k,,19,6 - 3 - 1,33.33%,47.22%,Suicune Moltres,,gazerbeam2k
30,Nagii,,18,6 - 4 - 0,58.33%,37.22%,Umbreon,,nagii
31,miltanklun,,18,6 - 4 - 0,56.25%,45.83%,Umbreon Urshifu,,miltanklun
32,DD 彈珠,,18,6 - 4 - 0,56.25%,43.75%,Zacian Lucmetal,,josh20050331
33,makimon,,18,6 - 4 - 0,52.08%,48.33%,Mewtwo Weavile,,makimon
34,Alex Hamilton,,18,6 - 4 - 0,50.00%,52.78%,ADP Moltres,,omegascizor456
35,victoragrinsoni2,,18,6 - 4 - 0,50.00%,50.00%,Victini,,victoragrinsoni2
36,Garry Breech,,18,6 - 4 - 0,50.00%,37.22%,Eternatus,,garebear2006
37,Peter L,,18,6 - 4 - 0,50.00%,36.90%,Urshifu Inteleon,,aierala
38,Yukiya Tsukada,,18,6 - 4 - 0,50.00%,36.46%,Zacian Lucmetal,,mille1216
39,5252titi,,18,6 - 4 - 0,43.75%,45.51%,Urshifu Inteleon,,5252titi
40,stella,,18,6 - 4 - 0,43.75%,45.31%,Other,,stella
41,Mikey S,,18,5 - 2 - 3,43.75%,38.10%,Urshifu Inteleon,,yusukep5
42,GABY,,18,6 - 4 - 0,37.50%,51.04%,ADP Moltres,,gaby
43,The0Phen0,,17,5 - 3 - 2,37.50%,42.86%,Zacian Lucmetal,,the0phen0
44,Jesus Cervera,,15,5 - 4 - 0drop,66.67%,45.00%,Shadow Rider Calyrex,,cervera1692
45,Vicente (MoeHawk) Canales-Loyola,,15,5 - 4 - 0drop,66.67%,37.50%,Eternatus Weavile,,moehawk
46,Manupango,,15,5 - 5 - 0,62.50%,46.88%,Urshifu Inteleon,,manupango
47,supergag,,15,5 - 4 - 0drop,58.33%,41.67%,Leafeon Moltres,,supergag
48,taz06,,15,5 - 3 - 0drop,50.00%,55.00%,Eternatus,,taz06
