Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,HenryBrand,,37,12 - 2 - 1,,,Dragapult,,henrybrand
2,jun0712,,35,11 - 2 - 2,,,Calyrex Alcremie,,jun0712
3,Cal Connor,,32,10 - 2 - 2,,,Calyrex Alcremie,,calcal206
4,Juan Andree,,31,10 - 3 - 1,,,Shadow Rider Calyrex,,juanandree
5,xerneas12352,,29,9 - 2 - 2,,,Zacian Inteleon,,xerneas12352
6,ELPorygon,,28,9 - 3 - 1,,,Suicune Inteleon,,elporygon
7,Vitor Lugon,,28,9 - 3 - 1,,,Urshifu Inteleon,,vitorlugon
8,Vini Fernandez,,27,9 - 4 - 0,,,Togekiss,,warexpert
9,Patrick Wall,,29,9 - 1 - 2,,,Calyrex Alcremie,,teamabra87
10,Nassou248046,,28,9 - 2 - 1,,,Calyrex Alcremie,,nassou248046
11,Savid400,,27,9 - 3 - 0,,,Calyrex Alcremie,,savid400
12,Daichi Shimada,,27,9 - 3 - 0,,,Calyrex Alcremie,,sanigo
13,Jacob Howard,,25,8 - 3 - 1,,,Dragapult,,thejacobhoward
14,TheRicardoToddy,,25,8 - 3 - 1,,,Leafeon Inteleon,,thericardotoddy
15,Luke Tran,,25,8 - 3 - 1,,,Zacian,,nvshinies
16,Cole Lewis,,25,8 - 3 - 1,,,Zacian Inteleon,,bigcole
17,5252titi,,24,8 - 3 - 0,61.00%,54.28%,Leafeon Inteleon,,5252titi
18,Bodhi Robinson,,24,8 - 3 - 0,60.00%,47.80%,Leafeon Inteleon,,bodhi
19,Xylonadren47,,24,8 - 3 - 0,58.00%,52.65%,Single Strike Urshifu,,xylonadren47
20,aus1726,,24,8 - 3 - 0,57.00%,51.27%,Leafeon Inteleon,,aus1726
21,Kevin Abernathy,,24,8 - 3 - 0,56.00%,51.93%,Rapid Strike Malamar,,kevbot719
22,HimeSarah,,24,8 - 3 - 0,54.67%,54.92%,Suicune Inteleon,,himesarah
23,Frankthetanktcg,,24,8 - 3 - 0,54.67%,53.84%,Sylveon,,frankthetanktcg
24,GabrielBrenes,,24,8 - 3 - 0,47.00%,55.38%,Leafeon Inteleon,,gabrielbrenes
25,Hawtie,,24,8 - 3 - 0,46.00%,58.86%,Calyrex Alcremie,,hawtie
26,Roblacks,,24,8 - 3 - 0,46.00%,53.25%,Zacian Inteleon,,roblacks
27,iHaveItOnMe,,24,8 - 3 - 0,46.00%,52.54%,Suicune Inteleon,,ihaveitonme
28,. MedichampTCG,,24,8 - 3 - 0,42.00%,53.73%,Dragapult,,owohunt
29,Marcelo Espinoza,,21,7 - 4 - 0,64.00%,50.33%,Corviknight,,mrgreatdeceiver
30,garashi,,21,7 - 4 - 0,61.00%,48.92%,Shadow Rider Calyrex,,garashi
31,tatsuya,,21,7 - 4 - 0,58.00%,49.58%,Suicune Inteleon,,tatsuya
32,Dan Perez,,21,7 - 4 - 0,57.00%,48.03%,Urshifu Inteleon,,notoriousd13
33,jpmcclure97,,21,7 - 4 - 0,57.00%,46.29%,Zacian Inteleon,,jpmcclure97
34,PatSteven,,21,7 - 4 - 0,56.00%,49.60%,Dragapult,,patsteven
35,CasparWu0902,,21,7 - 4 - 0,54.00%,48.75%,Inteleon,,casparwu0902
36,Caleb Rogerson,,21,7 - 4 - 0,51.00%,48.02%,Leafeon Inteleon,,memaanhc
37,DiamondKing,,21,7 - 4 - 0,51.00%,45.58%,Calyrex Alcremie,,diamondking
38,thegarder,,21,7 - 4 - 0,50.00%,51.75%,Calyrex Inteleon,,thegarder
39,ChengChe Lee,,21,7 - 4 - 0,47.00%,51.11%,Eternatus,,chengchelee
40,josepepe07,,21,7 - 4 - 0,45.00%,50.21%,Urshifu Inteleon,,josepepe07
41,petra0000,,21,7 - 4 - 0,44.33%,53.44%,Urshifu Inteleon,,petra0000
42,Demix,,21,7 - 4 - 0,43.00%,55.95%,Calyrex Inteleon,,demix
43,Dylan C,,21,7 - 4 - 0,42.00%,52.06%,Suicune Ludicolo,,dylclark21
44,Ryan Mefford,,21,7 - 4 - 0,39.67%,49.39%,Suicune Inteleon,,mefftrpt1
45,Ajolt,,21,7 - 4 - 0,37.67%,50.75%,Shadow Rider Calyrex,,ajolt
46,kuuuura,,21,7 - 4 - 0,36.67%,49.91%,Eternatus,,kuuuura
47,Gabriel Padinha,,19,6 - 4 - 1,50.00%,45.76%,Urshifu Inteleon,,calkab
48,CaioCapetinha,,19,6 - 3 - 1drop,45.00%,48.75%,Suicune Inteleon,,caiocapetinha
49,Koichi Kimura,,18,6 - 3 - 0drop,66.67%,51.89%,Calyrex Alcremie,,symphogear119
50,Ragnaros,,18,6 - 5 - 0,58.00%,43.33%,Rapid Strike Malamar,,ragnaros
51,Anti,,18,6 - 4 - 0drop,56.25%,46.25%,Calyrex Alcremie,,anti
