Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,The0Phen0,,37,12 - 2 - 1,,,Sylveon,,the0phen0
2,kazki,,37,12 - 2 - 1,,,Dragapult Inteleon,,kazki
3,catron,,34,11 - 2 - 1,,,Jolteon Inteleon,,catron
4,Haru  Nishikawa,,31,10 - 3 - 1,,,Umbreon Urshifu,,harun
5,pititu,,28,9 - 3 - 1,,,Sylveon,,pititu
6,PerfectPenguin7,,28,9 - 3 - 1,,,Dragapult Inteleon,,perfectpenguin7
7,Josh Frink,,28,9 - 3 - 1,,,Urshifu Inteleon,,dreamjew
8,Rezolution,,28,9 - 3 - 1,,,Umbreon Urshifu,,rezolution
9,Jeremy A,,28,9 - 2 - 1,,,Urshifu Inteleon,,dlee88
10,HenryBrand,,27,9 - 3 - 0,,,Jolteon Inteleon,,henrybrand
11,Vina,,26,8 - 2 - 2,,,Zacian Inteleon,,vina
12,bgv1989,,26,8 - 2 - 2,,,Zacian,,bgv1989
13,FlowTKast,,26,8 - 2 - 2,,,Dragapult Inteleon,,flowtkast
14,YoongKaiJian,,25,8 - 3 - 1,,,Suicune Ludicolo,,yoongkaijian
15,aierala,,25,8 - 3 - 1,,,Urshifu Inteleon,,aierala
16,CaioCapetinha,,25,8 - 3 - 1,,,Calyrex Inteleon,,caiocapetinha
17,Felix Santiago,,24,8 - 3 - 0,66.00%,49.51%,Dragapult Inteleon,,efrensa
18,AS,,24,8 - 3 - 0,53.00%,53.64%,Leafeon Inteleon,,as
19,Victor García,,24,8 - 3 - 0,53.00%,51.21%,Shadow Rider Calyrex,,vicgar08
20,Henrique Jorge,,24,8 - 3 - 0,52.00%,55.13%,Zacian,,hbjtrevo
21,stoddy,,24,8 - 3 - 0,51.00%,54.75%,Victini,,stoddy
22,likeollywithab,,24,8 - 3 - 0,48.00%,60.10%,Urshifu Inteleon,,likeollywithab
23,Luffy87512,,24,8 - 3 - 0,47.67%,52.92%,Umbreon Urshifu,,luffy87512
24,Atomicsmash,,24,8 - 3 - 0,46.00%,54.58%,Jolteon Inteleon,,atomicsmash
25,Digocoltro,,24,8 - 3 - 0,46.00%,52.61%,Calyrex Inteleon,,digocoltro
26,Rose L,,24,8 - 3 - 0,45.33%,57.06%,Victini,,prisma
27,wakingeyes,,24,8 - 3 - 0,43.67%,57.38%,Sylveon,,wakingeyes
28,AmpharosD,,24,8 - 3 - 0,37.67%,59.91%,Duraludon,,ampharosd
29,Timothy Madison,,22,7 - 3 - 1,64.00%,52.27%,Jolteon Inteleon,,linoleumcrab
30,Vitor Lugon,,22,7 - 3 - 1,51.00%,46.27%,Suicune Ludicolo,,vitorlugon
31,Christian Stridiron,,22,7 - 3 - 1,46.00%,50.76%,Zacian,,ippokg
32,Hovertoxin,,21,7 - 4 - 0,60.00%,48.53%,Weezing Inteleon,,hovertoxin
33,Charles S,,21,7 - 3 - 0drop,58.33%,55.00%,Urshifu Inteleon,,cfs11
34,PGsCake,,21,7 - 4 - 0,58.00%,48.96%,Eternatus,,pgscake
35,Captjak89,,21,7 - 4 - 0,51.25%,54.89%,Dragapult Inteleon,,captjak89
36,Dobber2723,,21,7 - 4 - 0,50.67%,45.29%,Shadow Rider Calyrex,,dobber2723
37,Brady Morgan,,21,7 - 4 - 0,50.00%,51.51%,Suicune Ludicolo,,blackninja
38,Juancho S,,21,7 - 4 - 0,50.00%,50.33%,Calyrex Alcremie,,auriz27
39,Tommyb89,,21,7 - 4 - 0,50.00%,48.70%,Leafeon Inteleon,,tommyb89
