Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Bruno Zolin,,36,12 - 3 - 0,,,Dragapult Inteleon,,bzolinr
2,Ryan Tan,,34,11 - 3 - 1,,,Suicune Ludicolo,,rtyk1
3,Bodhi Robinson,,31,10 - 3 - 1,,,Suicune Ludicolo,,bodhi
4,OnGaard,,31,10 - 3 - 1,,,Urshifu Moltres,,ongaard
5,goomy47,,30,10 - 3 - 0,,,Suicune Ludicolo,,goomy47
6,Andrew Hedrick,,28,9 - 3 - 1,,,Umbreon Urshifu,,pokehawkeye
7,MrWesLee,,28,9 - 3 - 1,,,Zacian,,mrweslee
8,Atomicsmash,,28,9 - 3 - 1,,,Jolteon Inteleon,,atomicsmash
9,ONelixx,,28,9 - 2 - 1,,,Dragapult Inteleon,,onelixx
10,Cole Lewis,,28,9 - 2 - 1,,,Blaziken,,bigcole
11,Nagii,,26,8 - 2 - 2,,,Umbreon,,nagii
12,rad144,,26,8 - 2 - 2,,,Zacian,,rad144
13,Huffer,,25,8 - 3 - 1,,,Zacian Inteleon,,huffer
14,Kashvinder Singh,,25,8 - 3 - 1,,,Suicune Ludicolo,,kashmann27
15,Corey Blankenship,,25,8 - 3 - 1,,,Zacian,,coreyology
16,PinkQuaker,,25,8 - 3 - 1,,,Zacian,,pinkquaker
17,Robert Hinds,,24,8 - 3 - 0,58.33%,52.78%,Leafeon Inteleon,,lifeparttwo
18,AnotherR,,24,8 - 3 - 0,56.25%,45.83%,Jolteon Inteleon,,anotherr
19,Paulo Anderson,,24,8 - 3 - 0,54.17%,60.90%,Jolteon Inteleon,,fumikage
20,Victor De Velasco,,24,8 - 3 - 0,52.08%,57.78%,Umbreon Urshifu,,victor91dv
21,jpmcclure97,,24,8 - 3 - 0,50.00%,62.50%,Urshifu Moltres,,jpmcclure97
22,Rory Sharpe,,24,8 - 3 - 0,45.83%,62.22%,Umbreon Urshifu,,stazzy69
23,mille1216,,24,8 - 3 - 0,43.75%,71.53%,Leafeon Inteleon,,mille1216
24,pogrom2000,,24,8 - 3 - 0,43.75%,59.44%,Umbreon Urshifu,,pogrom2000
25,GabsBaptista,,24,8 - 3 - 0,37.50%,57.14%,Calyrex Inteleon,,gabsbaptista
26,JuniorZ1996,,24,8 - 3 - 0,37.50%,51.04%,Suicune Inteleon,,juniorz1996
27,MasterLeBui,,24,8 - 3 - 0,31.25%,67.95%,Dragapult Inteleon,,masterlebui
28,Cmquinn23,,23,7 - 2 - 2,52.08%,50.00%,Inteleon,,cmquinn23
29,Jonathan Patricio Ch.,,23,7 - 2 - 2,37.50%,57.64%,Decidueye Inteleon,,jonah2705
30,Daj13,,21,7 - 4 - 0,75.00%,53.65%,Suicune Inteleon,,daj13
31,Hawtie,,21,7 - 4 - 0,70.83%,48.21%,Calyrex Alcremie,,hawtie
32,Justin Stites,,21,7 - 4 - 0,62.50%,36.46%,Calyrex Alcremie,,bdsax
33,Peter L,,21,7 - 4 - 0,58.33%,50.00%,Sylveon,,aierala
34,Erik J,,21,7 - 4 - 0,58.33%,46.67%,Suicune Ludicolo,,azmx157
35,Roshanak,,21,7 - 4 - 0,58.33%,39.58%,Calyrex Alcremie,,roshanak
36,Rezolution,,21,7 - 4 - 0,52.08%,40.00%,Umbreon Urshifu,,rezolution
37,StormKing,,21,7 - 4 - 0,50.00%,52.27%,Urshifu Blaziken,,stormking
38,shuanmaa,,21,7 - 4 - 0,50.00%,45.83%,Vikavolt,,shuanmaa
39,grantnoff,,21,7 - 4 - 0,47.92%,47.02%,Sylveon,,grantnoff
40,Chris D,,21,7 - 4 - 0,45.83%,58.89%,Sylveon,,topherton
41,CaioCapetinha,,21,7 - 4 - 0,45.83%,48.33%,Zacian,,caiocapetinha
42,Juan Espinola,,21,7 - 4 - 0,43.75%,56.82%,Calyrex Alcremie,,espinola
43,Gavin Z,,21,7 - 4 - 0,43.75%,50.00%,Shadow Rider Calyrex,,yum0n
