Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,7heMC,,34,11 - 2 - 1,,,Sableye Inteleon,,7hemc
2,goomy47,,33,10 - 1 - 3,,,Dragapult Inteleon,,goomy47
3,Cole Lewis,,28,9 - 3 - 1,,,Sylveon,,bigcole
4,EvanCampbell94,,28,9 - 3 - 1,,,Suicune Ludicolo,,evancampbell94
5,edmund khoo,,26,8 - 2 - 2,,,Umbreon Urshifu,,ayayaka
6,RodFigueiredo88,,25,8 - 3 - 1,,,Dragapult Inteleon,,rodfigueiredo88
7,Peter L,,25,8 - 3 - 1,,,Jolteon Inteleon,,aierala
8,Hawtie,,25,8 - 3 - 1,,,Calyrex Alcremie,,hawtie
9,Juan Espinola,,25,8 - 2 - 1,,,Umbreon Urshifu,,espinola
10,MasterLeBui,,23,7 - 2 - 2,,,Umbreon Urshifu,,masterlebui
11,inosoycarly,,23,7 - 2 - 2,,,Dragapult Inteleon,,inosoycarly
12,john wanggaard,,22,7 - 3 - 1,,,Umbreon Urshifu,,ttoabyssal
13,Bodhi Robinson,,22,7 - 3 - 1,,,Suicune Ludicolo,,bodhi
14,JorgeR,,22,7 - 3 - 1,,,Urshifu Inteleon,,jorger
15,Alex Hamilton,,22,7 - 3 - 1,,,Dragapult Inteleon,,omegascizor456
16,Dobber2723,,22,7 - 3 - 1,,,Leafeon Inteleon,,dobber2723
17,James G,,22,7 - 2 - 1,31.25%,58.33%,Victini,,jamesg
18,Atomicsmash,,21,7 - 3 - 0,58.33%,51.67%,Jolteon Inteleon,,atomicsmash
19,Savid400,,21,7 - 3 - 0,50.00%,54.69%,Urshifu Moltres,,savid400
20,Manupango,,21,7 - 3 - 0,50.00%,48.96%,Leafeon Inteleon,,manupango
21,Andrew S,,21,7 - 3 - 0,50.00%,47.40%,Umbreon Urshifu,,ascotpokes
22,mellowmountain7,,21,7 - 3 - 0,45.83%,54.49%,Weezing Inteleon,,mellowmountain7
23,Cal Connor,,21,7 - 3 - 0,43.75%,61.31%,Leafeon Inteleon,,calcal206
24,Ryan P,,21,7 - 3 - 0,43.75%,55.73%,Leafeon Inteleon,,eevee5307
25,Ciulla,,21,7 - 3 - 0,43.75%,52.56%,Blaziken,,ciulla
26,AmpharosD,,21,7 - 3 - 0,43.75%,46.88%,Duraludon,,ampharosd
27,Austin Miller,,21,7 - 3 - 0,39.58%,64.39%,Dragapult Inteleon,,mmasterdaddy
28,xtracrispy83,,21,7 - 3 - 0,39.58%,46.67%,Umbreon Urshifu,,xtracrispy83
29,markysamhain,,19,6 - 3 - 1,50.00%,45.83%,Leafeon Inteleon,,markysamhain
30,James Arnold,,19,6 - 3 - 1,43.75%,53.85%,Umbreon Urshifu,,wames
31,miltonleite12,,19,6 - 3 - 1,43.75%,50.52%,Jolteon Inteleon,,miltonleite12
32,shpanda,,18,6 - 4 - 0,68.75%,40.10%,Umbreon Urshifu,,shpanda
33,PokeDRUMMER97,,18,6 - 4 - 0,64.58%,42.22%,Dragapult Inteleon,,pokedrummer97
34,gunplapilot,,18,6 - 4 - 0,62.50%,52.08%,Umbreon Urshifu,,gunplapilot
35,Michael H,,18,6 - 4 - 0,56.25%,52.27%,Umbreon Urshifu,,michaelhatz
36,Urtzuub,,18,6 - 4 - 0,56.25%,47.92%,Suicune,,urtzuub
37,meirelles7,,18,6 - 4 - 0,52.08%,49.36%,Leafeon Inteleon,,meirelles7
38,gavin  bennett,,18,6 - 4 - 0,52.08%,38.33%,Zacian,,bgv1989
39,aquaticblaze,,18,6 - 4 - 0,50.00%,55.77%,Dragapult Inteleon,,aquaticblaze
40,AlmightyGible,,18,6 - 4 - 0,50.00%,54.69%,Urshifu Inteleon,,almightygible
41,Tukaon321,,18,6 - 4 - 0,50.00%,50.56%,Leafeon Inteleon,,tukaon321
42,Henrique Jorge,,18,6 - 4 - 0,50.00%,50.00%,Rapid Strike Urshifu,,hbjtrevo
43,Brady Morgan,,18,6 - 3 - 0drop,50.00%,47.92%,Suicune Ludicolo,,blackninja
44,Dan Perez,,18,6 - 4 - 0,45.83%,50.00%,Umbreon Urshifu,,notoriousd13
45,Aquiladisicilia,,18,6 - 4 - 0,45.83%,50.00%,Dragapult Inteleon,,aquiladisicilia
46,Lullibar,,18,6 - 4 - 0,45.83%,47.22%,Umbreon Urshifu,,lullibar
47,Psykolele,,18,6 - 4 - 0,43.75%,54.17%,Dragapult Inteleon,,psykolele
48,Kashvinder Singh,,18,6 - 4 - 0,43.75%,46.35%,Suicune Ludicolo,,kashmann27
49,Michele  Babin,,18,6 - 4 - 0,43.75%,45.24%,Dragapult Inteleon,,michelebabin
50,Joshua Sutherland,,18,6 - 4 - 0,35.42%,57.05%,Togekiss Inteleon,,joshuasutherland21
51,bananadiabetica,,18,6 - 4 - 0,25.00%,44.87%,Calyrex Inteleon,,bananadiabetica
52,KingHeracross,,16,5 - 3 - 1drop,50.00%,52.50%,Suicune,,kingheracross
53,Cameron Padilla,,15,5 - 5 - 0,58.33%,50.00%,Urshifu Inteleon,,camycameron
54,Ronnpyy,,15,5 - 4 - 0drop,58.33%,47.50%,Umbreon Urshifu,,ronnpyy
55,jtap15,,15,5 - 4 - 0drop,58.33%,40.00%,Umbreon Urshifu,,jtap15
56,mkirby,,15,5 - 5 - 0,56.25%,45.31%,Suicune Inteleon,,mkirby
57,Bruno Souza,,15,5 - 5 - 0,56.25%,44.79%,Victini,,bhhenriques
58,Rasekowo,,15,5 - 5 - 0,54.17%,40.38%,Umbreon Urshifu,,rasekowo
59,AlexTheBaller20,,15,5 - 5 - 0,52.08%,44.64%,Leafeon Inteleon,,alextheballer20
60,OnGaard,,15,5 - 5 - 0,50.00%,55.77%,Urshifu Inteleon,,ongaard
61,demxennies,,15,5 - 5 - 0,50.00%,51.92%,Leafeon Inteleon,,demxennies
62,Alex Z,,15,5 - 5 - 0,50.00%,45.83%,Leafeon Inteleon,,shaaaman
63,ElfKiller0510,,15,5 - 4 - 0drop,50.00%,45.83%,Calyrex Alcremie,,elfkiller0510
64,Merk43,,15,5 - 4 - 0drop,50.00%,45.00%,Suicune Ludicolo,,merk43
65,Goopa19,,15,5 - 5 - 0,50.00%,44.27%,Dragapult Inteleon,,goopa19
66,Akiyama777,,15,5 - 5 - 0,50.00%,41.67%,Tornadus,,akiyama777
67,Rory Sharpe,,15,5 - 5 - 0,37.50%,55.30%,Suicune Ludicolo,,stazzy69
68,mille1216,,15,5 - 4 - 0drop,33.33%,55.00%,Suicune Inteleon,,mille1216
69,Lustereclips,,15,5 - 1 - 0drop,,,Dragapult Inteleon,,lustereclips
70,Bren Hall,,13,4 - 5 - 1,43.75%,52.08%,Calyrex Alcremie,,driftwoodbeats
71,Smokeyslim718,,13,4 - 3 - 1drop,41.67%,46.43%,Umbreon Urshifu,,smokeyslim718
72,Vaughn,,12,4 - 3 - 0drop,75.00%,56.25%,Suicune Ludicolo,,vaughn
73,Jeremy A,,12,4 - 3 - 0drop,75.00%,54.17%,Urshifu Inteleon,,dlee88
74,Zackary E,,12,4 - 3 - 0drop,75.00%,50.00%,Zacian,,eppechef
75,5252titi,,12,4 - 3 - 0drop,75.00%,43.75%,Suicune Ludicolo,,5252titi
76,coronelzeta,,12,4 - 3 - 0drop,75.00%,39.58%,Calyrex Inteleon,,coronelzeta
77,Math Liu,,12,4 - 3 - 0drop,75.00%,31.25%,Zacian,,tdonmt1989
78,Victor De Velasco,,12,4 - 4 - 0drop,66.67%,50.00%,Dragapult Inteleon,,victor91dv
