Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,mozwen,,37,12 - 1 - 1,,,Dragapult Inteleon,,mozwen
2,Cheech927,,31,10 - 3 - 1,,,Calyrex Inteleon,,cheech927
3,Matsuji0620,,31,10 - 2 - 1,,,Umbreon Urshifu,,matsuji0620
4,Shuto,,28,9 - 3 - 1,,,Dragapult Inteleon,,shuto
5,Pipps,,26,8 - 2 - 2,,,Calyrex Inteleon,,pipps
6,Ajolt,,25,8 - 3 - 1,,,Shadow Rider Calyrex,,ajolt
7,rayhan haidar,,25,8 - 3 - 1,,,Dragapult Inteleon,,shmkzhan
8,Livvylance,,25,8 - 3 - 1,,,Umbreon Urshifu,,livvylance
9,Haru  Nishikawa,,25,8 - 2 - 1,,,Umbreon Urshifu,,harun
10,Tate Whitesell,,24,8 - 3 - 0,,,Urshifu Inteleon,,leukocyte
11,Axel Sarmento,,24,8 - 3 - 0,,,Leafeon Inteleon,,axelmatheus
12,calvino,,23,7 - 2 - 2,,,Urshifu Inteleon,,calvino
13,Henry Brand,,22,7 - 3 - 1,,,Jolteon Inteleon,,henrybrand
14,Redragus,,22,7 - 3 - 1,,,Blaziken,,redragus
15,Railton,,22,7 - 3 - 1,,,Dragapult Inteleon,,railton
16,Peter L,,22,7 - 3 - 1,,,Jolteon Inteleon,,aierala
17,LeBronichu,,21,7 - 3 - 0,75.00%,48.44%,Dragapult Inteleon,,lebronichu
18,wantp,,21,7 - 3 - 0,52.08%,58.33%,Calyrex Inteleon,,wantp
19,Victor García,,21,7 - 3 - 0,52.08%,55.00%,Calyrex Inteleon,,vicgar08
20,MelStar,,21,7 - 3 - 0,50.00%,53.65%,Dragapult Inteleon,,melstar
21,Connor O,,21,7 - 3 - 0,50.00%,51.79%,Jolteon Inteleon,,talonflame23185
22,Monsterdice,,21,7 - 3 - 0,50.00%,50.00%,Calyrex Inteleon,,monsterdice
23,Andrew Hedrick,,21,7 - 3 - 0,50.00%,48.44%,Umbreon Urshifu,,pokehawkeye
24,Felix Santiago,,21,7 - 3 - 0,50.00%,48.08%,Zacian,,efrensa
25,EvanCampbell94,,21,7 - 3 - 0,47.92%,65.56%,Umbreon Urshifu,,evancampbell94
26,GolDFabi,,21,7 - 3 - 0,43.75%,61.54%,Dragapult Inteleon,,goldfabi
27,aus1726,,21,7 - 3 - 0,43.75%,56.55%,Leafeon Inteleon,,aus1726
28,Dramando,,21,7 - 3 - 0,43.75%,52.38%,Zacian,,dramando
29,7heMC,,21,7 - 3 - 0,39.58%,75.00%,Jolteon Inteleon,,7hemc
30,Luke Morsa,,20,6 - 2 - 2,43.75%,50.56%,Leafeon Inteleon,,celiosnetwork
31,Gabriel Pino Semedo,,19,6 - 3 - 1,50.00%,48.21%,Suicune Inteleon,,gabrielsemedo
32,Hawtie,,19,6 - 3 - 1,47.92%,41.07%,Calyrex Alcremie,,hawtie
33,Dan Perez,,19,6 - 3 - 1,43.75%,52.98%,Urshifu Inteleon,,notoriousd13
34,Alex Hamilton,,19,6 - 3 - 1,37.50%,53.21%,Jolteon Inteleon,,omegascizor456
35,jpwizard07,,18,6 - 4 - 0,68.75%,47.92%,Jolteon Inteleon,,jpwizard07
36,Lime,,18,6 - 4 - 0,68.75%,47.62%,Jolteon Inteleon,,lime
37,aquaticblaze,,18,6 - 4 - 0,62.50%,42.19%,Jolteon Inteleon,,aquaticblaze
38,Juan Espinola,,18,6 - 4 - 0,58.33%,49.24%,Umbreon Urshifu,,espinola
39,dtjmelons,,18,6 - 4 - 0,56.25%,52.56%,Dragapult Inteleon,,dtjmelons
40,YoongKaiJian,,18,6 - 4 - 0,56.25%,50.52%,Umbreon Urshifu,,yoongkaijian
41,Bren Hall,,18,6 - 4 - 0,56.25%,50.00%,Calyrex Alcremie,,driftwoodbeats
42,Bodhi Robinson,,18,6 - 4 - 0,56.25%,42.86%,Suicune Ludicolo,,bodhi
43,Mikela G,,18,6 - 4 - 0,56.25%,42.71%,Jolteon Inteleon,,realcloudberry
44,solo9527,,18,6 - 4 - 0,50.00%,58.93%,Leafeon Inteleon,,solo9527
45,Fon,,18,6 - 4 - 0,50.00%,52.98%,Calyrex Inteleon,,fon
46,JulioPokeDad,,18,6 - 4 - 0,50.00%,50.00%,Dracozolt,,juliopokedad
47,faris238,,18,6 - 4 - 0,45.83%,55.77%,Umbreon Urshifu,,faris238
48,goomy47,,18,6 - 4 - 0,45.83%,42.22%,Urshifu Inteleon,,goomy47
49,Silverclaw,,18,6 - 4 - 0,43.75%,55.36%,Umbreon Urshifu,,silverclaw
50,ianlaneifa,,18,6 - 4 - 0,43.75%,53.57%,Zacian,,ianlaneifa
51,AlexTheBaller20,,18,6 - 4 - 0,37.50%,56.55%,Leafeon Inteleon,,alextheballer20
52,gazerbeam2k,,18,6 - 4 - 0,31.25%,62.18%,Jolteon Inteleon,,gazerbeam2k
53,inosoycarly,,18,6 - 4 - 0,31.25%,57.74%,Dragapult Inteleon,,inosoycarly
54,TCwhitedragon,,16,5 - 4 - 1,50.00%,46.15%,Dragapult Inteleon,,tcwhitedragon
55,Juan T,,16,5 - 3 - 1drop,33.33%,47.73%,Calyrex Inteleon,,evanbastian
56,Urtzuub,,15,5 - 4 - 0drop,75.00%,42.50%,Suicune Ludicolo,,urtzuub
57,Marcel,,15,5 - 5 - 0,64.58%,41.11%,Dragapult Inteleon,,marcel
58,Brady Morgan,,15,5 - 5 - 0,62.50%,44.27%,Suicune Inteleon,,blackninja
59,Juan Andree,,15,5 - 3 - 0drop,62.50%,43.75%,Dragapult Inteleon,,juanandree
60,trickcointcg,,15,5 - 5 - 0,62.50%,43.23%,Dragapult Inteleon,,trickcointcg
61,mellowmountain7,,15,5 - 5 - 0,58.33%,39.29%,Suicune Inteleon,,mellowmountain7
62,Richard  Ruiz,,15,5 - 5 - 0,56.25%,43.33%,Jolteon Inteleon,,vartancaftel
63,Patrick Wall,,15,5 - 5 - 0,56.25%,41.15%,Leafeon Inteleon,,teamabra87
64,CesarLucha,,15,5 - 5 - 0,54.17%,46.43%,Dragapult Inteleon,,cesarlucha
65,Ciulla,,15,5 - 3 - 0drop,50.00%,53.13%,Dragapult Inteleon,,ciulla
66,Lucas O,,15,5 - 5 - 0,50.00%,51.79%,Calyrex Inteleon,,aoldale
67,Ayoed,,15,5 - 4 - 0drop,50.00%,50.00%,Dragapult Inteleon,,ayoed
68,APackOfAlpacas,,15,5 - 2 - 0drop,50.00%,50.00%,Leafeon Inteleon,,apackofalpacas
69,Julio Jimenez,,15,5 - 3 - 0drop,50.00%,50.00%,Urshifu Inteleon,,owohunt
70,thegreatpagliacc,,15,5 - 4 - 0drop,50.00%,48.15%,Leafeon Inteleon,,thegreatpagliacc
71,OnGaard,,15,5 - 5 - 0,43.75%,50.69%,Sableye Inteleon,,ongaard
72,Douglas Gois,,15,5 - 4 - 0drop,41.67%,44.44%,Inteleon,,doouglass26
73,bananadiabetica,,15,5 - 5 - 0,39.58%,45.56%,Jolteon Inteleon,,bananadiabetica
74,Dougiefresh35,,15,5 - 5 - 0,37.50%,51.28%,Sylveon,,dougiefresh35
75,CEOMOES,,15,5 - 5 - 0,37.50%,50.00%,Suicune Ludicolo,,ceomoes
76,Jasmine K,,15,5 - 5 - 0,31.25%,49.36%,Umbreon Urshifu,,kissinglilies
77,Daltonfresh,,14,4 - 3 - 2drop,44.44%,40.91%,Leafeon Inteleon,,daltonfresh
78,rad144,,12,4 - 4 - 0drop,75.00%,56.25%,Jolteon Inteleon,,rad144
79,zattack10,,12,4 - 4 - 0drop,75.00%,41.67%,Dragapult Inteleon,,zattack10
80,pokeoh09,,12,4 - 4 - 0drop,62.50%,56.25%,Galarian Weezing,,pokeoh09
81,orange15432,,12,4 - 4 - 0drop,62.50%,46.88%,Other,,orange15432
82,anselmsim,,12,4 - 4 - 0drop,62.50%,46.43%,Calyrex Inteleon,,anselmsim
83,Aquiladisicilia,,12,4 - 4 - 0drop,62.50%,37.50%,Leafeon Inteleon,,aquiladisicilia
84,mille1216,,12,4 - 4 - 0drop,62.50%,37.50%,Leafeon Inteleon,,mille1216
85,Garry Breech,,12,4 - 6 - 0,52.08%,35.00%,Sableye Inteleon,,garebear2006
86,John Konkle,,12,4 - 5 - 0drop,50.00%,57.58%,Victini,,jk338
87,KingHeracross,,12,4 - 3 - 0drop,50.00%,50.00%,Weezing Inteleon,,kingheracross
88,channels05,,12,4 - 4 - 0drop,50.00%,46.88%,Umbreon Urshifu,,channels05
89,Chrome2013,,12,4 - 6 - 0,50.00%,45.00%,Calyrex Inteleon,,chrome2013
90,titallytan,,12,4 - 4 - 0drop,50.00%,43.75%,Sylveon,,titallytan
