Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Gabriel  Fernandez { raio120 },,34,11 - 2 - 1,,,Suicune Ludicolo,,raio120
2,allezliverpool69,,31,10 - 3 - 1,,,Umbreon Urshifu,,allezliverpool69
3,Vicente (MoeHawk) Canales-Loyola,,31,10 - 2 - 1,,,Sylveon,,moehawk
4,Nate Frautschy,,28,9 - 3 - 1,,,Umbreon Urshifu,,sueidolon
5,SweeTxyz,,27,9 - 3 - 0,,,Umbreon Urshifu,,sweetxyz
6,Darcy849,,27,8 - 1 - 3,,,Shadow Rider Calyrex,,darcy849
7,Andrew Hedrick,,26,8 - 2 - 2,,,Dragapult Inteleon,,pokehawkeye
8,Osantowski,,25,8 - 3 - 1,,,Inteleon,,osantowski
9,Josh Frink,,24,8 - 3 - 0,,,Urshifu Inteleon,,dreamjew
10,goomy47,,24,7 - 1 - 3,,,Umbreon Urshifu,,goomy47
11,kannt,,23,7 - 2 - 2,,,Calyrex Inteleon,,kannt
12,Isaiah Cheville,,23,7 - 2 - 2,,,Jolteon Inteleon,,zayalee
13,Jeremy L,,23,7 - 2 - 2,,,Suicune Ludicolo,,libero
14,Zac C,,22,7 - 3 - 1,,,Corviknight,,globaltrainer71
15,maualmeida88,,22,7 - 3 - 1,,,Inteleon,,maualmeida88
16,Justin Stites,,22,7 - 3 - 1,,,Zeraora Inteleon,,bdsax
17,Luke Morsa,,22,7 - 2 - 1,37.50%,68.18%,Vaporeon Inteleon,,celiosnetwork
18,Nate Kirksey,,22,7 - 2 - 1,33.33%,65.91%,Zacian,,pokenate
19,jtap15,,21,7 - 3 - 0,68.75%,55.21%,Umbreon Urshifu,,jtap15
20,CranidosKing147,,21,7 - 3 - 0,66.67%,47.78%,Umbreon Urshifu,,cranidosking147
21,igortotozistico,,21,7 - 3 - 0,62.50%,48.33%,Decidueye Inteleon,,igortotozistico
22,MAGG24,,21,7 - 3 - 0,56.25%,56.25%,Jolteon Inteleon,,magg24
23,Henry Brand,,21,7 - 3 - 0,56.25%,53.65%,Dragapult Inteleon,,henrybrand
24,williamwyc,,21,7 - 3 - 0,56.25%,52.08%,Umbreon Urshifu,,williamwyc
25,Kashvinder Singh,,21,7 - 3 - 0,56.25%,47.40%,Calyrex Inteleon,,kashmann27
26,anselmsim,,21,7 - 3 - 0,56.25%,44.79%,Sylveon,,anselmsim
27,Smokeyslim718,,21,7 - 3 - 0,52.08%,60.00%,Umbreon Urshifu,,smokeyslim718
28,Cheech927,,21,7 - 3 - 0,47.92%,48.21%,Calyrex Inteleon,,cheech927
29,Psykolele,,21,7 - 3 - 0,45.83%,52.98%,Dragapult Inteleon,,psykolele
30,Smeef,,21,7 - 3 - 0,37.50%,62.12%,Other,,smeef
31,MrToroTCG,,21,7 - 3 - 0,37.50%,58.33%,Dragapult Inteleon,,mrtorotcg
32,gazerbeam2k,,21,7 - 3 - 0,35.42%,71.21%,Jolteon Inteleon,,gazerbeam2k
33,Dobber2723,,21,7 - 3 - 0,27.78%,62.96%,Leafeon Inteleon,,dobber2723
34,pititu,,18,6 - 4 - 0,75.00%,44.79%,Sylveon,,pititu
35,Nanerpus,,18,6 - 4 - 0,68.75%,52.38%,Sylveon,,nanerpus
36,Fabian Robledo,,18,6 - 4 - 0,64.58%,47.44%,Zacian,,fabian2206
37,Jonathan Patricio Ch.,,18,6 - 4 - 0,62.50%,55.95%,Dragapult Inteleon,,jonah2705
38,mellowmountain7,,18,6 - 4 - 0,58.33%,36.90%,Suicune Inteleon,,mellowmountain7
