Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,MasterLeBui,,34,11 - 2 - 1,,,Victini,,masterlebui
2,sapocururu,,31,10 - 3 - 1,,,Umbreon Urshifu,,sapocururu
3,Vicente (MoeHawk) Canales-Loyola,,28,9 - 3 - 1,,,Sylveon,,moehawk
4,BrandonSalazar,,28,9 - 3 - 1,,,Eternatus,,brandonsalazar
5,espel,,27,8 - 1 - 3,,,Calyrex Alcremie,,espel
6,boo69x,,25,8 - 3 - 1,,,Jolteon Inteleon,,boo69x
7,Zach Cohen,,24,8 - 4 - 0,,,Dragapult Inteleon,,zbear1109
8,Cheech927,,24,8 - 4 - 0,,,Dragapult Inteleon,,cheech927
9,OnGaard,,26,8 - 1 - 2,,,Urshifu Inteleon,,ongaard
10,EvanBastian,,25,8 - 2 - 1,,,Zacian,,evanbastian
11,godri3,,24,8 - 3 - 0,,,Dragapult Inteleon,,godri3
12,guicazzonato,,23,7 - 2 - 2,,,Dragapult Inteleon,,guicazzonato
13,Vitor Lugon,,22,7 - 3 - 1,,,Dragapult Inteleon,,vitorlugon
14,Darcy849,,22,7 - 3 - 1,,,Shadow Rider Calyrex,,darcy849
15,Dobber2723,,22,7 - 3 - 1,,,Leafeon Inteleon,,dobber2723
16,Haru  Nishikawa,,22,7 - 3 - 1,,,Dragapult Inteleon,,harun
17,Ant4391,,21,7 - 3 - 0,57.00%,58.13%,Umbreon Urshifu,,ant4391
18,Brett Stratton,,21,7 - 3 - 0,53.00%,49.60%,Leafeon Inteleon,,bretts
19,7heMC,,21,7 - 3 - 0,52.00%,50.00%,Jolteon Inteleon,,7hemc
20,EvanCampbell94,,21,7 - 3 - 0,46.33%,55.42%,Suicune Ludicolo,,evancampbell94
21,PokeDRUMMER97,,21,7 - 3 - 0,45.33%,55.42%,Victini,,pokedrummer97
22,Lucas O,,21,7 - 3 - 0,42.00%,54.85%,Urshifu Inteleon,,aoldale
23,Nate Frautschy,,21,7 - 3 - 0,39.67%,60.38%,Umbreon Urshifu,,sueidolon
24,ChaloZamorano,,19,6 - 3 - 1,54.67%,41.59%,Sylveon,,chalozamorano
25,Henrique Jorge,,19,6 - 3 - 1,48.67%,52.95%,Rapid Strike Urshifu,,hbjtrevo
26,Jonathan Patricio Ch.,,19,6 - 3 - 1,38.33%,50.33%,Leafeon Inteleon,,jonah2705
27,topherton,,18,6 - 4 - 0,64.00%,46.80%,Sylveon,,topherton
28,miltonleite12,,18,6 - 4 - 0,62.00%,48.40%,Dragapult Inteleon,,miltonleite12
29,Legendaray,,18,6 - 4 - 0,60.00%,49.27%,Umbreon Urshifu,,legendaray
30,arturoR2D2633127,,18,6 - 4 - 0,58.67%,48.99%,Dragapult Inteleon,,arturor2d2633127
31,Kevin Abernathy,,18,6 - 4 - 0,53.00%,50.22%,Dragapult Inteleon,,kevbot719
32,wakingeyes,,18,6 - 4 - 0,50.00%,52.46%,Sylveon,,wakingeyes
33,Millonatt,,18,6 - 4 - 0,47.00%,49.54%,Sylveon,,millonatt
34,Alex Hamilton,,18,6 - 4 - 0,46.00%,51.52%,Leafeon Inteleon,,omegascizor456
35,PerfectPenguin7,,18,6 - 3 - 0drop,44.58%,52.65%,Dragapult Inteleon,,perfectpenguin7
36,nagatomo,,18,6 - 4 - 0,43.67%,50.68%,Calyrex Inteleon,,nagatomo
37,André Chiasson,,18,6 - 4 - 0,43.33%,52.50%,Dragapult Inteleon,,andrechiasson
38,evltrtl,,18,6 - 4 - 0,36.67%,45.61%,Dracozolt,,evltrtl
39,Prtty JK,,18,6 - 2 - 0drop,32.78%,54.03%,Dhelmise,,jellyfishsir
40,Akiyama777,,17,5 - 3 - 2,46.00%,46.06%,Victini Cinccino,,akiyama777
41,Dan Perez,,17,5 - 3 - 2,42.33%,49.26%,Umbreon Urshifu,,notoriousd13
42,gazerbeam2k,,16,5 - 4 - 1,58.00%,47.50%,Jolteon Inteleon,,gazerbeam2k
43,Arkytex,,16,5 - 4 - 1,55.00%,43.91%,Zacian,,arkytex
44,Giovanni Peragallo,,16,5 - 4 - 1,53.00%,46.98%,Jolteon Inteleon,,dracinioo
45,GabrielSmartTCG,,16,5 - 4 - 1,43.67%,50.30%,Leafeon Inteleon,,gabrielsmarttcg
46,GABY,,16,5 - 4 - 1,40.00%,49.12%,Dragapult Inteleon,,gaby
47,ianlaneifa,,16,5 - 4 - 1,39.67%,53.42%,Zacian,,ianlaneifa
48,Bodhi Robinson,,15,5 - 4 - 0drop,65.00%,45.58%,Urshifu Moltres,,bodhi
49,Andrew Hedrick,,15,5 - 1 - 0drop,60.00%,59.67%,Dragapult Inteleon,,pokehawkeye
