Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Solkten,,35,11 - 1 - 2,,,Zacian,,solkten
2,goomy47,,32,10 - 2 - 2,,,Dragapult Inteleon,,goomy47
3,Jonathan Patricio Ch.,,28,9 - 3 - 1,,,Leafeon Inteleon,,jonah2705
4,Diegofranche,,28,9 - 3 - 1,,,Zacian,,diegofranche
5,Ira P,,27,8 - 1 - 3,,,Dragapult Inteleon,,ira9999
6,OnGaard,,26,8 - 2 - 2,,,Sylveon,,ongaard
7,thembert,,25,8 - 3 - 1,,,Dragapult Inteleon,,thembert
8,BigBrainPlays,,25,8 - 3 - 1,,,Jolteon Inteleon,,bigbrainplays
9,JulioPokeDad,,25,8 - 2 - 1,,,Victini,,juliopokedad
10,Nicholas Homa,,24,8 - 3 - 0,,,Togekiss Inteleon,,aquiladisicilia
11,Alex Hamilton,,24,8 - 3 - 0,,,Dragapult Inteleon,,omegascizor456
12,Ajolt,,23,7 - 2 - 2,,,Shadow Rider Calyrex,,ajolt
13,Christian Jaramillo,,22,7 - 3 - 1,,,Zacian,,setokaiba1308
14,Josh Cohen,,22,7 - 3 - 1,,,Victini,,jcohenwc
15,Dominick Schroyens,,22,7 - 3 - 1,,,Eternatus,,dominicks
16,JRFavato,,22,7 - 3 - 1,,,Zacian,,jrfavato
17,Ninoafta,,21,7 - 3 - 0,58.00%,52.22%,Sylveon,,ninoafta
18,Zak Turchansky,,21,7 - 3 - 0,56.00%,53.60%,Umbreon Urshifu,,zturchan
19,axellvarez,,21,7 - 3 - 0,56.00%,51.80%,Calyrex Inteleon,,axellvarez
20,thegreatpagliacc,,21,7 - 3 - 0,56.00%,49.13%,Leafeon Inteleon,,thegreatpagliacc
21,Livvylance,,21,7 - 3 - 0,53.00%,55.21%,Umbreon Urshifu,,livvylance
22,jh9wang,,21,7 - 3 - 0,52.67%,48.79%,Zacian,,jh9wang
23,FR0sTiii,,21,7 - 3 - 0,52.00%,55.87%,Umbreon Urshifu,,fr0stiii
24,Dobber2723,,21,7 - 3 - 0,52.00%,55.47%,Leafeon Inteleon,,dobber2723
25,Victor García,,21,7 - 3 - 0,47.67%,50.42%,Umbreon Urshifu,,vicgar08
26,EddRent,,21,7 - 3 - 0,43.67%,61.23%,Dragapult Inteleon,,eddrent
27,solo9527,,21,7 - 3 - 0,35.67%,55.83%,Dragapult Inteleon,,solo9527
28,Jason Calderon,,19,6 - 3 - 1,50.00%,56.58%,Calyrex Inteleon,,pipps
29,Huntaj82,,19,6 - 3 - 1,47.67%,55.79%,Dragapult Inteleon,,huntaj82
30,ianlaneifa,,18,6 - 4 - 0,68.00%,43.73%,Zacian,,ianlaneifa
31,Richard  Ruiz,,18,6 - 4 - 0,62.67%,48.62%,Umbreon Urshifu,,vartancaftel
32,Bodhi Robinson,,18,6 - 4 - 0,60.00%,44.73%,Urshifu Moltres,,bodhi
33,Chetsteadman,,18,6 - 4 - 0,57.00%,48.89%,Leafeon Inteleon,,chetsteadman
34,Henrique Jorge,,18,6 - 4 - 0,54.67%,49.06%,Suicune Moltres,,hbjtrevo
35,Dramando,,18,6 - 4 - 0,54.33%,50.67%,Zacian,,dramando
36,PinkQuaker,,18,6 - 4 - 0,50.67%,49.71%,Urshifu Moltres,,pinkquaker
37,EricSmash,,18,6 - 4 - 0,47.67%,51.67%,Urshifu Inteleon,,ericsmash
38,raton emoji fuego emoji,,18,6 - 3 - 0drop,47.50%,51.18%,Dragapult Inteleon,,warzertel
39,Stannytsunami,,18,6 - 4 - 0,46.67%,51.09%,Shadow Rider Calyrex,,stannytsunami
40,Gabriel Padinha,,18,6 - 4 - 0,45.00%,49.93%,Jolteon Inteleon,,calkab
