Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,maualmeida88,,34,11 - 2 - 1,,,Sylveon,,maualmeida88
2,DorianStotts,,31,10 - 3 - 1,,,Urshifu Inteleon,,dorianstotts
3,Atomicsmash,,28,9 - 3 - 1,,,Jolteon Inteleon,,atomicsmash
4,MasterLeBui,,28,9 - 3 - 1,,,Victini,,masterlebui
5,Ztporlier,,28,9 - 2 - 1,,,Calyrex Inteleon,,ztporlier
6,Vaughn,,28,9 - 2 - 1,,,Sylveon,,vaughn
7,Kashvinder Singh,,25,8 - 3 - 1,,,Calyrex Inteleon,,kashmann27
8,7heMC,,25,8 - 3 - 1,,,Jolteon Inteleon,,7hemc
9,Joshua Sutherland,,25,8 - 2 - 1,,,Sableye Inteleon,,joshuasutherland21
10,Zach Cohen,,24,8 - 3 - 0,,,Dragapult Inteleon,,zbear1109
11,grantnoff,,24,8 - 3 - 0,,,Zacian,,grantnoff
12,afranco23,,23,7 - 2 - 2,,,Leafeon Inteleon,,afranco23
13,Pokemon Trainer,,22,7 - 3 - 1drop,,,Tornadus,,burningblaziken
14,Ajolt,,22,7 - 3 - 1,,,Leafeon Inteleon,,ajolt
15,solo9527,,22,7 - 3 - 1,,,Jolteon Inteleon,,solo9527
16,Norman Chan,,21,7 - 4 - 0,,,Dragapult Inteleon,,norm
17,Dobber2723,,21,7 - 3 - 0,64.00%,53.60%,Leafeon Inteleon,,dobber2723
18,Josh Cohen,,21,7 - 3 - 0,56.00%,49.47%,Victini,,jcohenwc
19,Alex Hamilton,,21,7 - 3 - 0,53.33%,49.37%,Calyrex Inteleon,,omegascizor456
20,Huffer,,21,7 - 3 - 0,53.00%,56.14%,Victini,,huffer
21,Gustavohos,,21,7 - 3 - 0,52.00%,49.87%,Dragapult Inteleon,,gustavohos
22,heyimtazz,,21,7 - 3 - 0,52.00%,49.00%,Zacian,,heyimtazz
23,Legendaray,,21,7 - 3 - 0,51.00%,55.25%,Umbreon Urshifu,,legendaray
24,Vini Fernandez,,21,7 - 3 - 0,43.00%,53.00%,Zacian Ludicolo,,warexpert
25,igortotozistico,,19,6 - 3 - 1,64.00%,50.67%,Dragapult Inteleon,,igortotozistico
26,TheRicardoToddy,,19,6 - 3 - 1,62.00%,45.76%,Zacian,,thericardotoddy
27,Victor De Velasco,,19,6 - 3 - 1,60.00%,51.93%,Jolteon Inteleon,,victor91dv
28,Vapidbruiser,,19,6 - 3 - 1,47.67%,49.92%,Leafeon Inteleon,,vapidbruiser
29,Akiyama777,,19,6 - 3 - 1,37.33%,57.50%,Tornadus,,akiyama777
