Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Richard  Ruiz,,35,11 - 1 - 2,,,Umbreon Urshifu,,vartancaftel
2,frankibby,,31,10 - 3 - 1,,,Suicune Inteleon,,frankibby
3,Zach Cohen,,28,9 - 3 - 1,,,Dragapult Inteleon,,zbear1109
4,GabrielSmartTCG,,28,9 - 3 - 1,,,Umbreon Urshifu,,gabrielsmarttcg
5,Axel Godoy,,28,9 - 2 - 1,,,Dragapult Inteleon,,raxelgt
6,Sorry Bout That,,26,8 - 2 - 2,,,Jolteon Inteleon,,brandonsalazar
7,Utility,,25,8 - 3 - 1,,,Umbreon Urshifu,,utility
8,Squibster360,,25,8 - 3 - 1,,,Jolteon Inteleon,,squibster360
9,Zkrekeler,,25,8 - 2 - 1,,,Sableye Inteleon,,zkrekeler
10,Marck261,,24,8 - 3 - 0,,,Calyrex Dragapult,,marck261
11,Gabriel Pino Semedo,,24,8 - 3 - 0,,,Suicune Ludicolo,,gabrielsemedo
12,why,,23,7 - 2 - 2,,,Calyrex Inteleon,,why
13,SiFrWiNg,,23,7 - 2 - 2,,,Calyrex Inteleon,,sifrwing
14,James Simms,,23,7 - 2 - 2,,,Calyrex Alcremie,,4600737
15,7heMC,,23,7 - 2 - 2,,,Jolteon Inteleon,,7hemc
16,Josh Cohen,,22,7 - 3 - 1,,,Leafeon Inteleon,,jcohenwc
17,Ira P,,21,7 - 3 - 0,55.00%,51.67%,Dragapult Inteleon,,ira9999
18,Brett Stratton,,21,7 - 3 - 0,52.00%,53.81%,Urshifu Inteleon,,bretts
19,Lindsay Lohan,,21,7 - 3 - 0,52.00%,49.33%,Leafeon Inteleon,,tathenz
20,Juanito8704,,21,7 - 3 - 0,51.00%,54.65%,Zacian,,juanito8704
21,Cyrus (Draydon) Davis,,21,7 - 3 - 0,50.67%,50.65%,Sableye Inteleon,,draydon
22,Ryoma,,21,7 - 3 - 0,50.00%,53.18%,Calyrex Inteleon,,ryoma
23,Psykolele,,21,7 - 3 - 0,49.00%,55.00%,Dragapult Inteleon,,psykolele
24,RingToss,,21,7 - 3 - 0,49.00%,50.60%,Dragapult Inteleon,,ringtoss
25,Justin Stites,,21,7 - 3 - 0,46.00%,51.09%,Eternatus,,bdsax
26,OMGtapulele,,21,7 - 3 - 0,44.00%,54.17%,Leafeon Inteleon,,omgtapulele
27,Patrick Wall,,21,7 - 3 - 0,41.67%,60.00%,Shadow Rider Calyrex,,teamabra87
28,Cheech927,,19,6 - 3 - 1,61.33%,46.45%,Urshifu Inteleon,,cheech927
29,Doubllez,,19,6 - 3 - 1,53.00%,47.10%,Sylveon,,doubllez
30,Vapidbruiser,,19,6 - 3 - 1,45.00%,48.56%,Leafeon Inteleon,,vapidbruiser
31,Gumby A,,18,6 - 4 - 0,68.00%,47.60%,Sylveon,,rodimsuprime55
32,rain,,18,6 - 3 - 0drop,66.67%,50.74%,Calyrex Inteleon,,rain
33,Jorgecani,,18,6 - 4 - 0,62.00%,45.76%,Urshifu Inteleon,,jorgecani
34,Juan Andree,,18,6 - 4 - 0,56.00%,43.53%,Shadow Rider Calyrex,,juanandree
35,MasterLeBui,,18,6 - 4 - 0,54.00%,50.00%,Victini,,masterlebui
36,bananadiabetica,,18,6 - 4 - 0,53.00%,47.13%,Zacian,,bananadiabetica
37,Victor García,,18,6 - 4 - 0,53.00%,45.20%,Umbreon Urshifu,,vicgar08
38,Zak Turchansky,,18,6 - 4 - 0,52.00%,48.60%,Dragapult Inteleon,,zturchan
39,Abyssalarrg,,18,6 - 4 - 0,47.67%,48.08%,Umbreon,,abyssalarrg
40,Igor Cardenas,,18,6 - 4 - 0,47.00%,52.83%,Sylveon,,igorcardenas
41,ianlaneifa,,18,6 - 4 - 0,47.00%,48.06%,Umbreon Urshifu,,ianlaneifa
42,Jared W,,18,6 - 4 - 0,47.00%,45.00%,Leafeon Inteleon,,jwils4
43,Alex Hamilton,,18,6 - 4 - 0,46.00%,49.77%,Leafeon Inteleon,,omegascizor456
44,GymLeaderErika,,18,6 - 4 - 0,45.67%,49.92%,Shadow Rider Calyrex,,gymleadererika
45,Drtastebad,,18,6 - 4 - 0,42.00%,53.20%,Urshifu Inteleon,,drtastebad
46,MELTZakamudkip,,18,6 - 4 - 0,41.00%,49.70%,Glaceon Inteleon,,meltzakamudkip
47,OnGaard,,16,5 - 4 - 1,50.67%,49.64%,Urshifu Inteleon,,ongaard
48,thembert,,16,5 - 4 - 1,46.00%,49.13%,Dragapult Inteleon,,thembert
49,Bren Hall,,16,5 - 4 - 1,42.00%,51.23%,Calyrex Alcremie,,driftwoodbeats
50,Matthew Wright,,15,5 - 4 - 0drop,61.25%,48.77%,Sylveon,,redpyro1266
51,grantm12,,15,5 - 4 - 0drop,61.25%,41.57%,Jolteon Inteleon,,grantm12
52,AlmightyGible,,15,5 - 5 - 0,58.00%,43.75%,Urshifu Inteleon,,almightygible
53,titallytan,,15,5 - 3 - 0drop,55.00%,42.08%,Dragapult Inteleon,,titallytan
54,williamwyc,,15,5 - 3 - 0drop,53.33%,54.62%,Sylveon,,williamwyc
55,Grep,,15,5 - 5 - 0,51.67%,46.42%,Sylveon,,grep
56,allezliverpool69,,15,5 - 4 - 0drop,51.25%,47.08%,Shadow Rider Calyrex,,allezliverpool69
57,arturoR2D2633127,,15,5 - 5 - 0,51.00%,49.17%,Dragapult Inteleon,,arturor2d2633127
