Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,5 FOR A DUB,,35,11 - 1 - 2,,,Umbreon Urshifu,,geissleralec
2,TheRicardoToddy,,33,11 - 3 - 0,,,Gengar Umbreon,,thericardotoddy
3,Johnny Rabus,,30,10 - 3 - 0,,,Umbreon Urshifu,,inferno
4,JorgeR,,28,9 - 3 - 1,,,Umbreon Urshifu,,jorger
5,coronelzeta,,31,10 - 1 - 1,,,Suicune Inteleon,,coronelzeta
6,MintMermaid,,27,9 - 3 - 0,,,Gengar Umbreon,,mintmermaid
7,Natagorn1990,,27,9 - 3 - 0,,,Sylveon,,natagorn1990
8,Luke Morsa,,25,8 - 3 - 1,,,Galarian Weezing,,celiosnetwork
9,Zach Roy,,25,8 - 2 - 1,,,Mew Genesect,,senordoom
10,Waylon Stephens,,24,8 - 3 - 0,,,Jolteon Inteleon,,waylonrandom
11,Vaughn,,23,7 - 2 - 2,,,Mew Genesect,,vaughn
12,boosakk69,,23,7 - 2 - 2,,,Sylveon,,boosakk69
13,Enma08,,22,7 - 3 - 1,,,Umbreon Urshifu,,enma08
14,Juan T,,22,7 - 3 - 1,,,Zacian,,evanbastian
15,Zach Cohen,,22,7 - 3 - 1,,,Umbreon Urshifu,,zbear1109
16,Cheech927,,22,7 - 3 - 1,,,Mew Genesect,,cheech927
17,Kashvinder Singh,,22,7 - 2 - 1,50.67%,54.78%,Suicune Ludicolo,,kashmann27
18,Jonathan Patricio Ch.,,22,7 - 2 - 1,45.67%,53.10%,Umbreon Urshifu,,jonah2705
19,allezliverpool69,,22,7 - 2 - 1,38.00%,57.68%,Gengar Umbreon,,allezliverpool69
20,Iamtherealstory777,,21,7 - 3 - 0,65.00%,51.87%,Suicune Ludicolo,,iamtherealstory777
21,Doubllez,,21,7 - 3 - 0,61.00%,56.06%,Mew Genesect,,doubllez
22,Nagii,,21,7 - 3 - 0,59.00%,51.81%,Mew Genesect,,nagii
23,DregnSleyr,,21,7 - 3 - 0,56.00%,46.13%,Mew Genesect,,dregnsleyr
24,Alex C,,21,7 - 3 - 0,54.00%,52.43%,Mew Genesect,,pandaboss58
25,LionFishLover,,21,7 - 3 - 0,51.00%,53.84%,Sylveon,,lionfishlover
26,Savid400,,21,7 - 3 - 0,47.67%,50.45%,Inteleon Inteleon,,savid400
27,EvanCampbell94,,21,7 - 3 - 0,45.67%,56.67%,Mew Genesect,,evancampbell94
28,ultraarceus,,21,7 - 3 - 0,43.67%,58.07%,Umbreon Urshifu,,ultraarceus
29,James Simms,,21,7 - 3 - 0,43.67%,54.06%,Shadow Rider Calyrex,,4600737
30,Liam Kidd,,21,7 - 3 - 0,38.33%,58.86%,Mew Genesect,,liamkidd
31,wy keen,,21,7 - 3 - 0,36.00%,58.33%,Leafeon Inteleon,,wykeen1994
32,xerneas12352,,20,6 - 2 - 2,35.33%,50.56%,Inteleon Inteleon,,xerneas12352
33,GabrielSmartTCG,,19,6 - 3 - 1,48.00%,60.39%,Mew Genesect,,gabrielsmarttcg
34,Josh A,,19,6 - 3 - 1,47.67%,53.79%,Dragapult Inteleon,,alvarezjjosh96
35,Henrique Jorge,,19,6 - 3 - 1,44.67%,55.61%,Mew Genesect,,hbjtrevo
36,axellvarez,,18,6 - 4 - 0,70.00%,44.39%,Inteleon Inteleon,,axellvarez
37,Darsh S,,18,6 - 3 - 0drop,66.25%,49.41%,Umbreon Urshifu,,darshs1008
38,Cal Connor,,18,6 - 4 - 0,61.00%,47.93%,Eternatus,,calcal206
39,tunuTCG,,18,6 - 3 - 0drop,60.00%,46.33%,Jolteon Inteleon,,tunutcg
40,Brett Stratton,,18,6 - 4 - 0,59.00%,48.99%,Umbreon Urshifu,,bretts
41,PinkQuaker,,18,6 - 4 - 0,57.00%,50.94%,Inteleon Inteleon,,pinkquaker
42,kaiba08,,18,6 - 4 - 0,57.00%,50.68%,Suicune Ludicolo,,kaiba08
43,RebelAli,,18,6 - 4 - 0,57.00%,47.50%,Gengar Umbreon,,rebelali
44,Josh Cohen,,18,6 - 4 - 0,57.00%,43.81%,Suicune Ludicolo,,jcohenwc
45,Akiyama777,,18,6 - 4 - 0,55.67%,44.49%,Umbreon Urshifu,,akiyama777
46,fryeguy67,,18,6 - 4 - 0,53.67%,53.50%,Duraludon,,fryeguy67
47,bryant setzler,,18,6 - 4 - 0,50.00%,48.84%,Mew Genesect,,bsetzlertattoo
48,Sethowar,,18,6 - 4 - 0,49.00%,52.29%,Umbreon Urshifu,,sethowar
49,Marck261,,18,6 - 4 - 0,48.00%,53.07%,Eternatus,,marck261
50,Kevin Abernathy,,18,6 - 4 - 0,43.33%,47.11%,Sylveon,,kevbot719
51,Chrome2013,,18,6 - 4 - 0,39.00%,55.40%,Calyrex Inteleon,,chrome2013
52,AlexandreORAND,,18,6 - 4 - 0,39.00%,54.76%,Eternatus,,alexandreorand
53,Arturito,,18,6 - 4 - 0,37.00%,53.41%,Eternatus,,arturito
54,APackOfAlpacas,,18,6 - 3 - 0drop,33.75%,57.22%,Leafeon Inteleon,,apackofalpacas
55,ninjadrake,,17,5 - 3 - 2,58.67%,46.09%,Urshifu Inteleon,,ninjadrake
56,PokeDRUMMER97,,16,5 - 4 - 1,61.25%,43.07%,Boltund Inteleon,,pokedrummer97
57,waruchan,,16,5 - 4 - 1,40.00%,55.36%,Umbreon Urshifu,,waruchan
58,Drandonbean02,,15,5 - 3 - 0drop,73.33%,44.89%,Shadow Rider Calyrex,,drandonbean02
59,MasterLeBui,,15,5 - 4 - 0drop,63.33%,45.19%,Victini,,masterlebui
60,DorianStotts,,15,5 - 4 - 0drop,63.33%,44.54%,Urshifu Inteleon,,dorianstotts
61,RyanM,,15,5 - 4 - 0drop,60.00%,39.42%,Urshifu Inteleon,,ryanm
62,Darceloix,,15,5 - 3 - 0drop,58.33%,45.61%,Urshifu Inteleon,,darceloix
63,tiger1311,,15,5 - 5 - 0,57.67%,43.03%,Suicune Ludicolo,,tiger1311
64,TrevorC2021,,15,5 - 3 - 0drop,55.00%,52.50%,Mew Genesect,,trevorc2021
65,Sorry Bout That,,15,5 - 3 - 0drop,53.33%,49.00%,Umbreon Urshifu,,brandonsalazar
66,frankibby,,15,5 - 5 - 0,53.00%,47.14%,Zeraora,,frankibby
67,wakingeyes,,15,5 - 5 - 0,52.33%,48.95%,Umbreon Urshifu,,wakingeyes
68,Jared W,,15,5 - 4 - 0drop,50.00%,39.65%,Leafeon Inteleon,,jwils4
69,Xavier E,,15,5 - 4 - 0drop,49.58%,48.11%,Sylveon,,xabro
70,DeadSpace,,15,5 - 5 - 0,48.75%,44.07%,Calyrex Inteleon,,deadspace
71,Ursiidae,,15,5 - 4 - 0drop,46.25%,50.83%,Mew Genesect,,ursiidae
72,towel-dimension,,15,5 - 5 - 0,45.00%,49.33%,Calyrex Inteleon,,mellowmountain7
73,Ui Shigure,,15,5 - 3 - 0drop,45.00%,48.75%,Umbreon Urshifu,,edgevnv
74,Bruno Zolin,,15,5 - 4 - 0drop,44.58%,58.00%,Gengar Umbreon,,bzolinr
75,Connor Ott,,15,5 - 5 - 0,42.00%,46.89%,Togekiss Inteleon,,talonflame23185
76,Aaron Gaudet,,15,5 - 3 - 0drop,40.00%,54.00%,Boltund Flaaffy,,gaudet601
77,jh9wang,,13,4 - 4 - 1drop,61.25%,48.89%,Suicune Ludicolo,,jh9wang
78,Nicholas Homa,,13,4 - 3 - 1drop,55.00%,50.95%,Togekiss Inteleon,,aquiladisicilia
79,nagatomo,,13,4 - 3 - 1drop,43.33%,51.43%,Calyrex Inteleon,,nagatomo
80,BlueJet24,,13,4 - 3 - 1drop,41.67%,40.76%,Zacian,,bluejet24
81,LM,,12,4 - 2 - 0drop,80.00%,53.00%,Inteleon Inteleon,,lm
82,CarlosE,,12,4 - 3 - 0drop,70.00%,46.50%,Umbreon Urshifu,,carlose
83,Ajolt,,12,4 - 4 - 0drop,66.67%,49.22%,Umbreon Urshifu,,ajolt
84,Alex Schemanske,,12,4 - 3 - 0drop,55.00%,51.11%,Leafeon Moltres,,mewpip
85,Dan Perez,,12,4 - 4 - 0drop,55.00%,48.61%,Inteleon Inteleon,,notoriousd13
86,Adam  Kalamat,,12,4 - 4 - 0drop,55.00%,48.18%,Suicune Ludicolo,,adamkalamat
87,HoodiePTCG,,12,4 - 4 - 0drop,51.67%,50.45%,Mew Genesect,,hoodieptcg
88,Joshua Sutherland,,12,4 - 4 - 0drop,51.67%,44.55%,Galarian Weezing,,joshuasutherland21
89,Utility,,12,4 - 5 - 0drop,50.83%,49.31%,Umbreon Urshifu,,utility
90,Cube,,12,4 - 3 - 0drop,45.83%,53.00%,Jolteon Inteleon,,cube
91,CorviKnightFC,,12,4 - 6 - 0,45.00%,45.92%,Single Strike Urshifu,,corviknightfc
92,demetrioneto,,12,4 - 5 - 0drop,42.92%,47.14%,Sableye Inteleon,,demetrioneto
93,Gabriel Pino Semedo,,12,4 - 2 - 0drop,40.00%,57.00%,Suicune Inteleon,,gabrielsemedo
94,FlowTKast,,12,4 - 6 - 0,39.00%,46.84%,Mew Genesect,,flowtkast
95,pjwitusik,,12,4 - 4 - 0drop,38.33%,53.06%,Gengar Umbreon,,pjwitusik
96,SeoulTCG,,12,4 - 3 - 0drop,32.50%,61.90%,Sylveon,,seoultcg
97,Vina,,12,4 - 3 - 0drop,29.17%,46.25%,Mew Genesect,,vina
98,littledarkfury,,11,3 - 2 - 2drop,62.50%,40.00%,Inteleon Inteleon,,littledarkfury
99,ChillTCG,,11,3 - 2 - 2drop,52.50%,49.76%,Inteleon Inteleon,,chilltcg
100,TempestFang375,,9,3 - 3 - 0drop,100.00%,49.00%,Suicune Ludicolo,,tempestfang375
