Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Golisopod014,,36,12 - 2 - 0,,,Mew Genesect,,golisopod014
2,1saltysteak,,35,11 - 1 - 2,,,Jolteon Inteleon,,1saltysteak
3,Hampton Morton,,30,10 - 3 - 0,,,Suicune Ludicolo,,pokeblackout
4,AzulGG,,29,9 - 2 - 2,,,Calyrex Inteleon,,azulgg
5,likeollywithab,,27,9 - 3 - 0,,,Umbreon Urshifu,,likeollywithab
6,Gabe Shumway,,27,8 - 1 - 3,,,Leafeon Inteleon,,gabeshumway
7,rain,,26,8 - 2 - 2,,,Calyrex Inteleon,,rain
8,James Simms,,25,8 - 3 - 1,,,Suicune Ludicolo,,4600737
9,Daichi S,,25,8 - 2 - 1,,,Obstagoon Inteleon,,sanigo
10,jtap15,,24,8 - 3 - 0,,,Umbreon Urshifu,,jtap15
11,Ursiidae,,23,7 - 2 - 2,,,Mew Genesect,,ursiidae
12,Matthew Wright,,23,7 - 2 - 2,,,Suicune Ludicolo,,redpyro1266
13,Adam  Kalamat,,23,7 - 2 - 2,,,Mew Genesect,,adamkalamat
14,Zach Cohen,,22,7 - 3 - 1,,,Umbreon Urshifu,,zbear1109
15,SHSuperSonic,,22,7 - 3 - 1,,,Inteleon Inteleon,,shsupersonic
16,KevinPereira7,,22,7 - 3 - 1,,,Dragapult Inteleon,,kevinpereira7
17,Benlulubro,,22,7 - 2 - 1,52.00%,46.93%,Mew Genesect,,benlulubro
18,Dobber2723,,22,7 - 2 - 1,48.00%,49.60%,Rapid Strike Malamar,,dobber2723
19,towelసుజిత్dimension,,22,7 - 2 - 1,44.00%,49.87%,Suicune Inteleon,,mellowmountain7
20,Ajolt,,21,7 - 3 - 0,61.00%,52.67%,Leafeon Moltres,,ajolt
21,Dale C,,21,7 - 3 - 0,58.00%,55.15%,Suicune Ludicolo,,spicydad
22,MIRAI O,,21,7 - 3 - 0,58.00%,50.42%,Calyrex Inteleon,,seacome
23,UndauntedHound,,21,7 - 3 - 0,57.00%,53.06%,Jolteon Inteleon,,undauntedhound
24,Charles S,,21,7 - 3 - 0,53.67%,51.23%,Mew Genesect,,cfs11
25,Sky DelaCruz,,21,7 - 3 - 0,51.00%,55.44%,Umbreon Urshifu,,skylonbellows
26,thembert,,21,7 - 3 - 0,49.33%,54.29%,Mew Genesect,,thembert
27,Regan Retzloff,,21,7 - 3 - 0,47.00%,61.30%,Umbreon Urshifu,,regannator
28,grantm12,,21,7 - 3 - 0,46.67%,55.72%,Other,,grantm12
29,Walker Moss,,21,7 - 3 - 0,45.00%,56.87%,Jolteon Inteleon,,atomicsmash
30,Jonathan Patricio Ch.,,21,7 - 3 - 0,45.00%,55.83%,Sylveon,,jonah2705
31,LegoWarrior70,,21,7 - 3 - 0,42.33%,57.05%,Leafeon Moltres,,legowarrior70
32,mojelly302,,21,7 - 3 - 0,41.33%,53.17%,Eternatus,,mojelly302
33,sugimochan,,21,7 - 3 - 0,38.00%,56.42%,Leafeon Moltres,,sugimochan
34,Natagorn1990,,19,6 - 3 - 1,47.67%,49.30%,Sylveon,,natagorn1990
35,Slimey2,,19,6 - 3 - 1,44.00%,53.17%,Suicune Ludicolo,,slimey2
36,Tukaon321,,19,6 - 3 - 1,43.67%,55.96%,Mew Genesect,,tukaon321
37,santosan23992,,19,6 - 3 - 1,43.00%,48.97%,Mew Genesect,,santosan23992
