Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Selen Tatsuki,,37,12 - 2 - 1,,,Mew Genesect,,edgevnv
2,EvanCampbell94,,37,12 - 2 - 1,,,Mew Genesect,,evancampbell94
3,likeollywithab,,31,10 - 3 - 1,,,Umbreon Urshifu,,likeollywithab
4,APackOfAlpacas,,31,10 - 3 - 1,,,Jolteon Inteleon,,apackofalpacas
5,LionFishLover,,30,10 - 3 - 0,,,Umbreon Urshifu,,lionfishlover
6,Ira P,,28,9 - 3 - 1,,,Umbreon Urshifu,,ira9999
7,MasterLeBui,,28,9 - 3 - 1,,,Calyrex Inteleon,,masterlebui
8,Henrique Jorge,,27,9 - 4 - 0,,,Mew Genesect,,hbjtrevo
9,Erickkemm,,30,10 - 2 - 0,,,Jolteon Inteleon,,erickkemm
10,Victor García,,27,9 - 3 - 0,,,Jolteon Inteleon,,vicgar08
11,JayArrCee,,26,8 - 2 - 2,,,Shadow Rider Calyrex,,jayarrcee
12,Manupango,,26,8 - 2 - 2,,,Rapid Strike Malamar,,manupango
13,Xavier E,,25,8 - 3 - 1,,,Urshifu Inteleon,,xabro
14,Kevin Abernathy,,25,8 - 3 - 1,,,Urshifu Inteleon,,kevbot719
15,cursecode,,25,8 - 3 - 1,,,Mew Genesect,,cursecode
16,Dadmistaken,,24,8 - 4 - 0,,,Eternatus,,dadmistaken
17,Tristan Lackey,,24,8 - 3 - 0,50.00%,57.00%,Suicune Ludicolo,,tllackey
18,foreverandabove,,24,8 - 3 - 0,49.00%,57.73%,Mew Genesect,,foreverandabove
19,Josh Cohen,,24,8 - 3 - 0,49.00%,54.73%,Leafeon Inteleon,,jcohenwc
20,teddy459,,24,8 - 3 - 0,48.00%,57.06%,Umbreon Urshifu,,teddy459
21,wy keen,,24,8 - 3 - 0,45.00%,51.25%,Jolteon Inteleon,,wykeen1994
22,GabrielSmartTCG,,24,8 - 3 - 0,42.00%,56.67%,Gengar,,gabrielsmarttcg
23,Mike Carvallo,,24,8 - 3 - 0,38.00%,58.13%,Suicune Ludicolo,,mikecarvallo
24,Adam  Kalamat,,24,8 - 3 - 0,36.67%,51.82%,Urshifu Inteleon,,adamkalamat
25,Blues Lee,,22,7 - 3 - 1,55.33%,48.57%,Leafeon Inteleon,,bluezhin
26,wakingeyes,,22,7 - 3 - 1,55.00%,60.74%,Zacian,,wakingeyes
27,ixo77,,22,7 - 3 - 1,55.00%,52.08%,Calyrex Inteleon,,ixo77
28,Ben D,,22,7 - 3 - 1,39.00%,52.92%,Umbreon Urshifu,,bendover1357
29,rain,,21,7 - 3 - 0drop,65.00%,50.25%,Calyrex Inteleon,,rain
30,Mike Gibbs,,21,7 - 4 - 0,60.00%,51.60%,Umbreon Urshifu,,gmibbs
31,Luke Morsa,,21,7 - 4 - 0,60.00%,44.40%,Urshifu Inteleon,,celiosnetwork
32,Doubllez,,21,7 - 4 - 0,58.00%,56.38%,Jolteon Inteleon,,doubllez
33,EricSmash,,21,7 - 4 - 0,57.00%,50.90%,Eternatus,,ericsmash
34,Cameron Padilla,,21,7 - 4 - 0,57.00%,50.68%,Urshifu Inteleon,,camycameron
35,Erik B,,21,7 - 4 - 0,57.00%,45.35%,Umbreon Urshifu,,mrsodaking
36,Golisopod014,,21,7 - 3 - 0drop,51.25%,49.91%,Mew Genesect,,golisopod014
37,rexdog,,21,7 - 4 - 0,50.67%,49.68%,Suicune Ludicolo,,rexdog
38,ItsBlueYouKnow,,21,7 - 4 - 0,46.00%,51.50%,Inteleon Inteleon,,itsblueyouknow
39,BeginnerPlzHelp,,21,7 - 4 - 0,44.67%,50.61%,Rapid Strike Malamar,,beginnerplzhelp
40,Ben Telfor,,21,7 - 4 - 0,43.00%,50.08%,Rapid Strike Malamar,,tel4
41,Elnorteamigo513,,21,7 - 4 - 0,40.67%,52.17%,Urshifu Inteleon,,elnorteamigo513
42,thembert,,21,7 - 4 - 0,39.00%,51.27%,Mew Genesect,,thembert
43,ProfessorWelch1988,,20,6 - 3 - 2,35.00%,53.70%,Eternatus,,professorwelch1988
44,Felipe Pasquale,,19,6 - 4 - 1,70.00%,42.73%,Umbreon Urshifu,,fepasqua
45,seanpluto,,19,6 - 4 - 1,69.00%,45.20%,Urshifu Inteleon,,seanpluto
46,kaiba08,,19,6 - 4 - 1,60.00%,45.13%,Urshifu Inteleon,,kaiba08
47,BeamMeUp,,19,6 - 4 - 1,48.00%,47.96%,Suicune Ludicolo,,beammeup
48,MatiEngel,,19,6 - 4 - 1,44.00%,47.54%,Obstagoon Inteleon,,matiengel
49,Koichi Kimura,,18,6 - 4 - 0drop,67.50%,40.26%,Mew Genesect,,symphogear119
50,Francel,,18,6 - 4 - 0drop,62.50%,44.12%,Zacian,,francel
51,CoolPillow22,,18,6 - 3 - 0drop,61.67%,50.89%,Umbreon Urshifu,,coolpillow22
52,Zach Roy,,18,6 - 4 - 0drop,60.00%,54.50%,Jolteon Inteleon,,senordoom
53,Devin S,,18,6 - 4 - 0drop,56.25%,47.25%,Umbreon Urshifu,,shac
54,John Konkle,,18,6 - 4 - 0drop,53.33%,48.33%,Gengar,,jk338
55,Kurtupo,,18,6 - 5 - 0,53.00%,48.53%,Galarian Weezing,,kurtupo
56,Searion,,18,6 - 5 - 0,50.00%,47.25%,Other,,searion
57,luckysharms7,,18,6 - 5 - 0,47.00%,44.24%,Jolteon Inteleon,,luckysharms7
58,Alex C,,18,6 - 5 - 0,44.00%,47.02%,Calyrex Inteleon,,pandaboss58
