Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Adam  Kalamat,,43,14 - 2 - 1,,,Mew Genesect,,adamkalamat
2,Simon Trottier-Lacasse,,39,13 - 4 - 0,,,Rapid Strike Malamar,,stl
3,Alex Schemanske,,37,12 - 3 - 1,,,Mew Genesect,,mewpip
4,Vina,,37,12 - 3 - 1,,,Mew Genesect,,vina
5,Liam Aesir,,35,11 - 2 - 2,,,Mew Genesect,,pheonix
6,Isaiah Cheville,,34,11 - 3 - 1,,,Mew Genesect,,zayalee
7,Timm101,,33,11 - 4 - 0,,,Mew Genesect,,timm101
8,AzulGG,,33,11 - 4 - 0,,,Jolteon Inteleon,,azulgg
9,UltraNko,,32,10 - 2 - 2,,,Mew Genesect,,ultranko
10,PerryTheP,,32,10 - 2 - 2,,,Suicune Ludicolo,,perrythep
11,westsidetommie,,31,10 - 3 - 1,,,Urshifu Inteleon,,westsidetommie
12,FujiSystem,,31,10 - 3 - 1,,,Mew Genesect,,fujisystem
13,James G,,31,10 - 3 - 1,,,Mew Genesect,,jamesg
14,wakingeyes,,31,10 - 3 - 1,,,Zacian,,wakingeyes
15,Urtzuub,,30,10 - 4 - 0,,,Urshifu Moltres,,urtzuub
16,Liam Kidd,,30,10 - 4 - 0,,,Mew Genesect,,liamkidd
17,rad144,,27,9 - 4 - 0,,,Zacian,,rad144
18,AlexandreORAND,,27,9 - 4 - 0,,,Eternatus,,alexandreorand
19,titallytan,,27,9 - 4 - 0,,,Urshifu Inteleon,,titallytan
20,dzt3,,27,9 - 4 - 0,,,Gengar,,dzt3
21,iStark11,,25,8 - 3 - 1,55.56%,49.41%,Mew Genesect,,istark11
22,Jonathan Patricio Ch.,,25,8 - 3 - 1,51.39%,53.57%,Urshifu Inteleon,,jonah2705
23,Christian Jaramillo,,24,8 - 4 - 0,66.94%,51.40%,Urshifu Moltres,,setokaiba1308
24,wutender,,24,8 - 4 - 0,65.28%,48.05%,Urshifu Inteleon,,wutender
25,Cal Connor,,24,8 - 4 - 0,61.11%,51.52%,Urshifu Inteleon,,calcal206
26,ianlaneifa,,24,8 - 4 - 0,61.11%,48.49%,Umbreon Urshifu,,ianlaneifa
27,grantm12,,24,8 - 4 - 0,58.33%,55.49%,Jolteon Inteleon,,grantm12
28,Legendaray,,24,8 - 4 - 0,58.33%,46.94%,Umbreon Urshifu,,legendaray
29,Huntaj82,,24,8 - 4 - 0,55.56%,51.06%,Mew Genesect,,huntaj82
30,EddRent,,24,8 - 4 - 0,54.72%,54.55%,Jolteon Inteleon,,eddrent
31,Zetta,,24,8 - 4 - 0,52.22%,48.85%,Urshifu Inteleon,,zetta
32,BrickBoy24,,24,8 - 4 - 0,51.67%,54.52%,Gengar,,brickboy24
33,OnGaard,,24,8 - 4 - 0,51.39%,55.89%,Urshifu Moltres,,ongaard
34,Atomicsmash,,24,8 - 4 - 0,51.39%,50.60%,Zacian,,atomicsmash
35,Brett Stratton,,24,8 - 4 - 0,48.61%,63.12%,Mew Genesect,,bretts
36,Ninoafta,,24,8 - 4 - 0,48.61%,57.60%,Mew Genesect,,ninoafta
37,Dan Perez,,24,8 - 4 - 0,47.22%,52.47%,Urshifu Inteleon,,notoriousd13
38,Crashschocker,,24,8 - 4 - 0,45.83%,52.34%,Suicune Ludicolo,,crashschocker
39,James Simms,,24,8 - 4 - 0,44.44%,50.20%,Mew Genesect,,4600737
40,kohawk2121,,24,8 - 4 - 0,40.28%,54.25%,Gengar,,kohawk2121
41,JosephSneed,,22,7 - 4 - 1,37.22%,51.39%,Urshifu Inteleon,,josephsneed
42,Rudy Q,,21,7 - 5 - 0,61.39%,48.09%,Gengar Inteleon,,rudedogg83
43,MasterLeBui,,21,7 - 5 - 0,56.94%,52.03%,Calyrex Inteleon,,masterlebui
44,PinkQuaker,,21,7 - 5 - 0,56.94%,51.61%,Urshifu Moltres,,pinkquaker
45,Joshua Sutherland,,21,7 - 4 - 0drop,54.67%,51.15%,Zacian,,joshuasutherland21
46,Victor García,,21,7 - 5 - 0,53.89%,47.33%,Mew Genesect,,vicgar08
47,Tate Whitesell,,21,7 - 4 - 0drop,53.33%,54.71%,Suicune Inteleon,,leukocyte
48,Josh Cohen,,21,7 - 5 - 0,52.78%,54.82%,Umbreon Urshifu,,jcohenwc
49,André Chiasson,,21,7 - 5 - 0,52.50%,50.56%,Umbreon Urshifu,,andrechiasson
50,Garry Breech,,21,7 - 5 - 0,52.50%,48.95%,Jolteon Inteleon,,garebear2006
51,Toninokm,,21,7 - 4 - 0drop,51.67%,59.71%,Mew Genesect,,toninokm
52,mikereynolds1337,,21,7 - 4 - 0drop,51.67%,52.76%,Zacian,,mikereynolds1337
53,SiFrWiNg,,21,7 - 4 - 0drop,51.67%,48.97%,Calyrex Inteleon,,sifrwing
54,AndresJgames,,21,7 - 5 - 0,51.39%,51.13%,Mew Genesect,,andresjgames
55,CounterCollector,,21,7 - 5 - 0,50.00%,48.24%,Mew Genesect,,countercollector
56,Johnny Rabus,,21,7 - 5 - 0,49.72%,45.62%,Umbreon Urshifu,,inferno
57,ultraarceus,,21,7 - 5 - 0,47.50%,51.79%,Urshifu Inteleon,,ultraarceus
58,lindsayrosecup,,21,7 - 5 - 0,47.22%,47.47%,Leafeon Moltres,,lindsayrosecup
59,7heMC,,21,7 - 5 - 0,44.44%,50.16%,Jolteon Inteleon,,7hemc
60,sailorsphynx,,21,7 - 5 - 0,44.44%,49.22%,Leafeon Inteleon,,sailorsphynx
61,ChromePvP,,21,7 - 5 - 0,44.44%,45.00%,Mew Genesect,,chromepvp
62,Ruffdawg55,,21,7 - 5 - 0,40.28%,48.74%,Calyrex Alcremie,,ruffdawg55
63,BeastBoizTCG,,19,6 - 4 - 1drop,60.00%,51.06%,Zacian,,beastboiztcg
64,Zarbon,,19,6 - 5 - 1,47.22%,46.82%,Mew Genesect,,zarbon
65,Hypnotik,,18,6 - 4 - 0drop,58.33%,47.69%,Suicune Ludicolo,,hypnotik
66,mkirby,,18,6 - 6 - 0,58.06%,46.05%,Mew Genesect,,mkirby
67,Slimey2,,18,6 - 5 - 0drop,56.67%,50.64%,Umbreon Urshifu,,slimey2
68,shaggy,,18,6 - 4 - 0drop,56.25%,53.00%,Umbreon Urshifu,,shaggy
69,Vicariant23,,18,6 - 4 - 0drop,56.25%,52.58%,Mew Genesect,,vicariant23
70,Ztporlier,,18,6 - 4 - 0drop,56.25%,50.70%,Calyrex Inteleon,,ztporlier
71,Lucas O,,18,6 - 4 - 0drop,56.25%,46.93%,Weezing Inteleon,,aoldale
72,Cameron D,,18,6 - 6 - 0,53.89%,43.28%,Umbreon Urshifu,,dcvuh
73,OGShih,,18,6 - 6 - 0,53.61%,52.42%,Umbreon Urshifu,,ogshih
74,UndauntedHound,,18,6 - 4 - 0drop,52.08%,46.75%,Urshifu Inteleon,,undauntedhound
75,TheTricky333333,,18,6 - 4 - 0drop,50.00%,46.81%,Umbreon Urshifu,,thetricky333333
76,LadyDunsparce,,18,6 - 6 - 0,48.61%,48.56%,Leafeon Inteleon,,ladydunsparce
77,fryeguy67,,18,6 - 5 - 0drop,48.33%,53.09%,Duraludon,,fryeguy67
78,zattack10,,18,6 - 4 - 0drop,47.92%,52.94%,Gengar Umbreon,,zattack10
79,Nopdragonman23,,18,6 - 4 - 0drop,47.92%,51.86%,Gengar Umbreon,,nopdragonman23
80,Dadmistaken,,18,6 - 6 - 0,45.83%,41.85%,Eternatus,,dadmistaken
81,mrdarthbean,,18,6 - 5 - 0drop,45.00%,51.81%,Mew Genesect,,mrdarthbean
82,Doubllez,,18,6 - 6 - 0,42.78%,48.79%,Mew Genesect,,doubllez
83,Dynamite,,18,6 - 6 - 0,42.78%,48.74%,Mew Genesect,,dynamite
84,espel,,18,6 - 2 - 0drop,29.17%,80.83%,Zacian,,espel
85,gantiri,,16,5 - 3 - 1drop,47.22%,49.33%,Gardevoir,,gantiri
86,Nick Flores,,15,5 - 4 - 0drop,74.44%,44.23%,Jolteon Inteleon,,foreverandabove
87,Nicholas Homa,,15,5 - 4 - 0drop,72.22%,49.44%,Calyrex Inteleon,,aquiladisicilia
88,meirelles7,,15,5 - 4 - 0drop,72.22%,43.33%,Mew Genesect,,meirelles7
89,Joshua Bell,,15,5 - 2 - 0drop,66.67%,52.78%,Inteleon Inteleon,,joshuaxbell23
90,Peter L,,15,5 - 3 - 0drop,66.67%,52.08%,Mew Genesect,,aierala
91,JulioPokeDad,,15,5 - 4 - 0drop,64.44%,53.43%,Rapid Strike Malamar,,juliopokedad
92,RoseRaider,,15,5 - 4 - 0drop,58.33%,50.49%,Urshifu Inteleon,,roseraider
93,Terryharris7899,,15,5 - 6 - 0drop,55.00%,44.33%,Leafeon Inteleon,,terryharris7899
94,Zokrakz,,15,5 - 7 - 0,52.78%,45.00%,Jolteon Inteleon,,zokrakz
95,Kevin C,,15,5 - 4 - 0drop,52.78%,44.27%,Jolteon Inteleon,,whitekevin
96,Darceloix,,15,5 - 7 - 0,52.78%,40.81%,Hoopa Genesect,,darceloix
97,Ajolt,,15,5 - 5 - 0drop,52.08%,49.56%,Leafeon Moltres,,ajolt
98,pititu,,15,5 - 2 - 0drop,50.00%,58.33%,Urshifu Inteleon,,pititu
99,Daniel4577,,15,5 - 6 - 0drop,48.00%,43.56%,Single Strike Urshifu,,daniel4577
100,SuperiorSpidr,,15,5 - 4 - 0drop,47.22%,46.28%,Umbreon Urshifu,,superiorspidr
101,Ontaro29,,15,5 - 5 - 0drop,43.75%,49.35%,Other,,ontaro29
102,Alex hidalgo,,15,5 - 6 - 0drop,43.33%,45.83%,Suicune Ludicolo,,nalex0709
103,Jose Gonzalez,,15,5 - 7 - 0,43.06%,46.27%,Mew Genesect,,profesorjj
104,Pascuero,,15,5 - 4 - 0drop,41.67%,54.17%,Jolteon Inteleon,,pascuero
105,gabriel111094,,15,5 - 4 - 0drop,41.67%,50.00%,Gengar,,gabriel111094
106,Darsh S,,15,5 - 3 - 0drop,37.50%,57.08%,Shadow Rider Calyrex,,darshs1008
107,CaioCapetinha,,15,5 - 3 - 0drop,37.50%,50.00%,Inteleon Inteleon,,caiocapetinha
108,Ira P,,15,5 - 4 - 0drop,33.33%,59.26%,Hoopa Genesect,,ira9999
109,DeadSpace,,15,5 - 7 - 0,31.94%,43.13%,Other,,deadspace
110,Vini Fernandez,,15,5 - 4 - 0drop,30.56%,54.17%,Mew Genesect,,warexpert
111,jrubin33,,14,4 - 3 - 2drop,38.89%,36.35%,Inteleon Inteleon,,jrubin33
112,evltrtl,,13,4 - 3 - 1drop,45.83%,48.33%,Dracozolt,,evltrtl
113,CorviKnightFC,,13,4 - 5 - 1drop,43.75%,42.19%,Single Strike Seviper,,corviknightfc
114,Carlos  Araya,,13,4 - 4 - 1drop,41.67%,42.95%,Inteleon Inteleon,,xcaarloos
115,irvintyes,,12,4 - 3 - 0drop,100.00%,29.17%,Calyrex Inteleon,,irvintyes
116,ShuffleShuckle77,,12,4 - 3 - 0drop,83.33%,55.83%,Sylveon,,shuffleshuckle77
117,DorianStotts,,12,4 - 3 - 0drop,83.33%,54.17%,Urshifu Inteleon,,dorianstotts
118,Erik B,,12,4 - 3 - 0drop,83.33%,44.44%,Zacian,,mrsodaking
119,snowman,,12,4 - 4 - 0drop,75.00%,49.44%,Mew Genesect,,snowman
120,IppoKG,,12,4 - 4 - 0drop,75.00%,48.17%,Zacian,,ippokg
121,rexdog,,12,4 - 4 - 0drop,75.00%,46.53%,Suicune Ludicolo,,rexdog
122,Pedro Vicêncio,,12,4 - 3 - 0drop,66.67%,65.28%,Urshifu Inteleon,,madmess
123,royalillest,,12,4 - 4 - 0drop,66.67%,55.74%,Calyrex Inteleon,,royalillest
124,frankibby,,12,4 - 4 - 0drop,62.50%,48.81%,Umbreon,,frankibby
125,Dbotworld,,12,4 - 4 - 0drop,62.50%,47.92%,Sylveon,,dbotworld
126,Mario Yanez,,12,4 - 3 - 0drop,60.00%,51.67%,Mew Genesect,,marioyanez
127,Alex C,,12,4 - 4 - 0drop,58.33%,48.75%,Suicune Ludicolo,,pandaboss58
128,hatdog0103,,12,4 - 4 - 0drop,55.00%,52.78%,Umbreon Urshifu,,hatdog0103
129,flameboy909,,12,4 - 4 - 0drop,54.17%,51.90%,Urshifu Inteleon,,flameboy909
130,dabs,,12,4 - 5 - 0drop,52.78%,39.10%,Leafeon Moltres,,dabs
131,CranidosKing147,,12,4 - 4 - 0drop,52.50%,43.18%,Urshifu Inteleon,,cranidosking147
132,S451250,,12,4 - 3 - 0drop,50.00%,56.25%,Jolteon Inteleon,,s451250
133,allezliverpool69,,12,4 - 4 - 0drop,50.00%,52.50%,Mew Genesect,,allezliverpool69
134,ChaloZamorano,,12,4 - 4 - 0drop,50.00%,52.22%,Umbreon Urshifu,,chalozamorano
135,OMGtapulele,,12,4 - 4 - 0drop,50.00%,51.85%,Mew Genesect,,omgtapulele
136,Everythingsab0ng,,12,4 - 4 - 0drop,45.83%,48.33%,Umbreon Urshifu,,everythingsab0ng
137,Jorgecani,,12,4 - 6 - 0drop,43.75%,40.75%,Urshifu Inteleon,,jorgecani
138,Zach Roy,,12,4 - 4 - 0drop,41.67%,49.81%,Gengar,,senordoom
139,berganballer30,,12,4 - 8 - 0,41.67%,39.32%,Ice Rider Calyrex,,berganballer30
140,Yzz 超硬77,,12,4 - 8 - 0,38.33%,38.13%,Gengar,,gudihao2020
141,Jared W,,12,4 - 4 - 0drop,37.50%,40.83%,Urshifu Inteleon,,jwils4
142,Brandon Johnson,,12,4 - 4 - 0drop,37.50%,39.83%,Inteleon Inteleon,,lordbj101
143,Bulldoza915,,12,4 - 3 - 0drop,33.33%,48.61%,Umbreon Urshifu,,bulldoza915
144,Xavier E,,12,4 - 3 - 0drop,33.33%,47.22%,Gengar,,xabro
145,Andrasaputra,,12,4 - 8 - 0,33.33%,41.87%,Boltund Flaaffy,,andrasaputra
146,Sebastià Casas,,12,4 - 8 - 0,33.06%,37.01%,Sylveon,,tia2604
147,Livvylance,,12,4 - 4 - 0drop,29.17%,51.04%,Umbreon Urshifu,,livvylance
148,ArkhanKnight,,12,4 - 4 - 0drop,25.00%,48.33%,Mew Genesect,,arkhanknight
149,Cheech927,,12,4 - 3 - 0drop,25.00%,37.50%,Mew Genesect,,cheech927
150,jonnybrah,,12,4 - 1 - 0drop,,,Gardevoir,,jonnybrah
151,TheRealKingSonic,,11,3 - 7 - 2,30.56%,38.84%,Mew Genesect,,therealkingsonic
152,channels05,,10,3 - 3 - 1drop,66.67%,37.22%,Gengar,,channels05
153,mojelly302,,9,3 - 4 - 0drop,100.00%,48.61%,Mew Genesect,,mojelly302
154,Kevin Abernathy,,9,3 - 4 - 0drop,100.00%,42.78%,Zacian,,kevbot719
155,PeterM07,,9,3 - 4 - 0drop,83.33%,48.61%,Umbreon Urshifu,,peterm07
156,Matthew44,,9,3 - 4 - 0drop,66.67%,52.78%,Mew Genesect,,matthew44
157,LionFishLover,,9,3 - 4 - 0drop,66.67%,51.39%,Umbreon Urshifu,,lionfishlover
158,Natestoess,,9,3 - 4 - 0drop,66.67%,33.33%,Mew Genesect,,natestoess
159,AVARIN JR VILLARREAL,,9,3 - 4 - 0drop,66.67%,30.56%,Leafeon Inteleon,,avarinjr88
160,Patricia Gonzalez Walsh,,9,3 - 5 - 0drop,62.50%,33.33%,Umbreon Urshifu,,patogw
161,Carter Randall,,9,3 - 4 - 0drop,50.00%,62.50%,Other,,darklightning2
162,Savid400,,9,3 - 4 - 0drop,50.00%,54.17%,Urshifu Inteleon,,savid400
163,Daniel Rodas,,9,3 - 4 - 0drop,50.00%,52.08%,Zacian,,danielrodas7
164,Stryker H,,9,3 - 4 - 0drop,50.00%,25.00%,Mew Genesect,,painfulstryk
165,Alonferzu30,,9,3 - 9 - 0,41.67%,38.52%,Calyrex Inteleon,,alonferzu30
166,Kdoms2441,,9,3 - 4 - 0drop,40.00%,55.00%,Umbreon Urshifu,,kdoms2441
167,GABRIEL23,,9,3 - 9 - 0,37.50%,30.65%,Umbreon Urshifu,,gabriel23
168,Finana Ryugu,,9,3 - 9 - 0,36.11%,36.88%,Mew Genesect,,edgevnv
169,goopygoop123,,9,3 - 9 - 0,34.72%,36.67%,Jolteon Inteleon,,goopygoop123
170,Vicente Rodriguez,,9,3 - 9 - 0,34.17%,34.00%,Mew Genesect,,mamatus
171,katanatcg,,9,3 - 4 - 0drop,33.33%,41.67%,Inteleon,,katanatcg
172,christianchasejr,,9,3 - 9 - 0,31.94%,37.41%,Jolteon Inteleon,,christianchasejr
173,Undertaker,,9,3 - 9 - 0,31.67%,36.18%,Duraludon,,undertaker
174,Chris Mack,,9,3 - 9 - 0,30.56%,38.06%,Suicune Ludicolo,,omagic1313
175,abewiththebabes,,9,3 - 5 - 0drop,29.17%,36.81%,Mew Genesect,,abewiththebabes
176,Gabriel Pino Semedo,,9,3 - 9 - 0,29.17%,36.49%,Mew Genesect,,gabrielsemedo
177,Jpizzy41,,9,3 - 9 - 0,29.17%,35.05%,Gengar,,jpizzy41
178,GODDO7,,9,3 - 2 - 0drop,,,Calyrex Inteleon,,goddo7
179,Timanator619,,9,3 - 2 - 0drop,,,Mew Genesect,,timanator619
180,PokeDRUMMER97,,9,3 - 2 - 0drop,,,Jolteon Inteleon,,pokedrummer97
181,HegsterTCG,,9,3 - 2 - 0drop,,,Mew Genesect,,hegstertcg
182,Lucky7TCg,,9,3 - 2 - 0drop,,,Other,,lucky7tcg
183,tralinvisdow,,7,2 - 3 - 1,48.61%,46.19%,Rapid Strike Malamar,,tralinvisdow
184,PatSteven,,7,2 - 3 - 1,37.50%,46.43%,Duraludon,,patsteven
185,BFFBEAR,,6,2 - 4 - 0,63.89%,51.99%,Mew Genesect,,bffbear
186,Mike Gibbs,,6,2 - 2 - 0drop,62.50%,47.22%,Umbreon Urshifu,,gmibbs
187,Ursiidae,,6,2 - 4 - 0,61.11%,47.22%,Mew Genesect,,ursiidae
188,sapocururu,,6,2 - 4 - 0,61.11%,46.94%,Mew Genesect,,sapocururu
189,Luke Morsa,,6,2 - 4 - 0,61.11%,45.79%,Urshifu Inteleon,,celiosnetwork
190,jh9wang,,6,2 - 4 - 0,59.72%,48.60%,Jolteon Inteleon,,jh9wang
191,Utility,,6,2 - 3 - 0drop,58.00%,49.20%,Hoopa Genesect,,utility
192,GabrielSmartTCG,,6,2 - 3 - 0drop,57.67%,43.91%,Mew Genesect,,gabrielsmarttcg
193,chinoazul18,,6,2 - 4 - 0,56.94%,45.05%,Urshifu Inteleon,,chinoazul18
194,Kenny Packala,,6,2 - 4 - 0,56.94%,44.40%,Malamar (VMAX),,nightwatchgaming
195,captainchikenmaster,,6,2 - 4 - 0,56.67%,50.71%,Umbreon Urshifu,,captainchikenmaster
196,Julius Chapman,,6,2 - 2 - 0drop,54.58%,52.27%,Mew Genesect,,huliusdablack
197,yoppe06,,6,2 - 4 - 0,54.17%,51.77%,Zacian,,yoppe06
198,crvenazvezd4,,6,2 - 2 - 0drop,54.17%,46.67%,Sylveon,,crvenazvezd4
199,Binji,,6,2 - 4 - 0,54.17%,44.49%,Dragapult Inteleon,,binji
200,CardSwagg,,6,2 - 3 - 0drop,53.33%,48.94%,Mew Genesect,,cardswagg
201,mooimmo,,6,2 - 3 - 0drop,53.33%,48.00%,Urshifu Inteleon,,mooimmo
202,FlowTKast,,6,2 - 3 - 0drop,53.33%,47.72%,Mew Genesect,,flowtkast
203,chingpaq,,6,2 - 3 - 0drop,53.33%,44.58%,Mew Genesect,,chingpaq
204,Koichi Kimura,,6,2 - 2 - 0drop,51.67%,53.75%,Mew Genesect,,symphogear119
205,Jaybob952,,6,2 - 4 - 0,51.39%,49.26%,Tornadus,,jaybob952
206,thembert,,6,2 - 4 - 0,51.39%,47.81%,Mew Genesect,,thembert
207,Mike44lions,,6,2 - 4 - 0,51.39%,46.53%,Suicune Ludicolo,,mike44lions
208,LLBEAN089,,6,2 - 4 - 0,51.39%,45.29%,Zacian,,llbean089
209,AleHel,,6,2 - 4 - 0,51.11%,43.29%,Zacian,,alehel
210,Morris L,,6,2 - 3 - 0drop,48.33%,48.40%,Umbreon Urshifu,,morrislevy
211,JayArrCee,,6,2 - 4 - 0,47.50%,49.57%,Blissey,,jayarrcee
212,Zach Cohen,,6,2 - 4 - 0,47.22%,45.37%,Umbreon Urshifu,,zbear1109
213,SavageGlider75,,6,2 - 4 - 0,46.94%,50.47%,Rapid Strike Urshifu,,savageglider75
214,Framo,,6,2 - 4 - 0,46.94%,46.67%,Jolteon Inteleon,,framo
215,Josh Frink,,6,2 - 3 - 0drop,46.33%,50.00%,Urshifu Inteleon,,dreamjew
216,roshisan15,,6,2 - 2 - 0drop,45.83%,60.53%,Umbreon Urshifu,,roshisan15
217,ixo77,,6,2 - 4 - 0,45.83%,48.29%,Suicune Ludicolo,,ixo77
218,kingbrutt,,6,2 - 4 - 0,45.83%,47.18%,Suicune Ludicolo,,kingbrutt
219,Truece,,6,2 - 4 - 0,44.44%,48.39%,Other,,truece
220,Torvig,,6,2 - 4 - 0,44.44%,46.94%,Other,,torvig
221,tristanurness,,6,2 - 4 - 0,44.44%,46.72%,Urshifu Inteleon,,tristanurness
222,Richard  Ruiz,,6,2 - 4 - 0,42.78%,48.81%,Umbreon Urshifu,,vartancaftel
223,Dragonite9967075,,6,2 - 3 - 0drop,41.67%,52.56%,Zacian,,dragonite9967075
224,Charlesmartin1,,6,2 - 4 - 0,41.67%,49.17%,Other,,charlesmartin1
225,MagicDedenneYT,,6,2 - 4 - 0,41.67%,45.26%,Mew Genesect,,magicdedenneyt
226,MarxistLeninist,,6,2 - 4 - 0,41.67%,44.22%,Victini,,marxistleninist
227,ONelixx,,6,2 - 2 - 0drop,41.25%,51.94%,Dragapult Inteleon,,onelixx
228,ArchmagesTower,,6,2 - 4 - 0,40.28%,46.14%,Galarian Weezing,,archmagestower
229,NormanTrang,,6,2 - 4 - 0,40.28%,44.71%,Calyrex Inteleon,,normantrang
230,Adrian G,,6,2 - 4 - 0,40.28%,43.62%,Calyrex Inteleon,,stormtcg
231,HypnotikTCG,,6,2 - 3 - 0drop,40.00%,53.53%,Mew Genesect,,hypnotiktcg
232,FralPal,,6,2 - 3 - 0drop,40.00%,52.97%,Suicune Ludicolo,,fralpal
233,HDS7,,6,2 - 4 - 0,40.00%,42.85%,Gengar,,hds7
234,CollectorMike,,6,2 - 4 - 0,38.89%,47.55%,Mew Genesect,,collectormike
235,BrunoCA,,3,1 - 3 - 0drop,70.83%,51.04%,Sylveon,,brunoca
236,Prodigal,,3,1 - 2 - 0drop,63.89%,55.24%,Mew Genesect,,prodigal
237,MELTZakamudkip,,3,1 - 3 - 0drop,62.50%,49.31%,Calyrex Inteleon,,meltzakamudkip
238,Merk43,,3,1 - 2 - 0drop,61.11%,53.70%,Calyrex Inteleon,,merk43
239,blogstar,,3,1 - 2 - 0drop,61.11%,44.91%,Sylveon,,blogstar
240,jtap15,,3,1 - 3 - 0drop,60.00%,49.28%,Urshifu Inteleon,,jtap15
241,Natagorn1990,,3,1 - 2 - 0drop,58.33%,54.63%,Dracozolt,,natagorn1990
242,Kashvinder Singh,,3,1 - 3 - 0drop,58.33%,48.61%,Urshifu Inteleon,,kashmann27
243,Jeremy Stewart,,3,1 - 3 - 0drop,58.33%,47.15%,Calyrex Inteleon,,discgolf99
244,tostycr36,,3,1 - 2 - 0drop,58.33%,46.25%,Umbreon Urshifu,,tostycr36
245,jbscudd,,3,1 - 3 - 0drop,57.92%,44.49%,Boltund Flaaffy,,jbscudd
246,Tommyb89,,3,1 - 5 - 0,54.17%,43.70%,Dracozolt,,tommyb89
247,Bruno Souza,,3,1 - 2 - 0drop,52.78%,57.74%,Blissey,,bhhenriques
248,YanB,,3,1 - 2 - 0drop,52.78%,55.00%,Sylveon,,yanb
249,Henrique Jorge,,3,1 - 3 - 0drop,52.08%,53.54%,Mew Genesect,,hbjtrevo
250,pokemonsnorlax,,3,1 - 3 - 0drop,52.08%,53.33%,Other,,pokemonsnorlax
251,Tukaon321,,3,1 - 3 - 0drop,52.08%,47.62%,Mew Genesect,,tukaon321
252,Ludivic C,,3,1 - 3 - 0drop,52.08%,44.39%,Rayquaza,,captainwetpants
253,Gavin Z,,3,1 - 4 - 0drop,51.67%,50.06%,Blissey,,yum0n
254,NOLOAF,,3,1 - 5 - 0,51.39%,45.74%,Jolteon Inteleon,,noloaf
255,homemadebiscuit,,3,1 - 3 - 0drop,50.00%,50.97%,Morpeko,,homemadebiscuit
256,"Michael ""Speedlemon"" Flaherty",,3,1 - 3 - 0drop,50.00%,45.14%,Umbreon Urshifu,,speedlemon
257,Ashwoodbrain,,3,1 - 3 - 0drop,50.00%,45.00%,Gengar Umbreon,,ashwoodbrain
258,awildjordan,,3,1 - 5 - 0,50.00%,41.81%,Jolteon Inteleon,,awildjordan
