Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,ChromePvP,,40,13 - 2 - 1,,,Mew Genesect,,chromepvp
2,Vaughn,,36,12 - 4 - 0,,,Jolteon Inteleon,,vaughn
3,Christian Stridiron,,34,11 - 3 - 1,,,Umbreon Urshifu,,ippokg
4,Elnorteamigo513,,33,10 - 2 - 3,,,Calyrex Alcremie,,elnorteamigo513
5,Perts22,,33,10 - 1 - 3,,,Mew Genesect,,perts22
6,thembert,,32,10 - 2 - 2,,,Mew Genesect,,thembert
7,Fabian Robledo,,29,9 - 3 - 2,,,Zacian,,fabian2206
8,JeezyACG,,28,9 - 4 - 1,,,Mew Genesect,,jeezyacg
9,Andrew S,,28,9 - 3 - 1,,,Jolteon Inteleon,,ascotpokes
10,Joshua Sutherland,,27,9 - 4 - 0,,,Zacian,,joshuasutherland21
11,Vicariant23,,27,9 - 4 - 0,,,Mew Genesect,,vicariant23
12,Cheech927,,27,9 - 4 - 0,,,Mew Genesect,,cheech927
13,Jorgecani,,27,9 - 4 - 0,,,Zacian,,jorgecani
14,Jonathan Patricio Ch.,,27,8 - 2 - 3,,,Duraludon,,jonah2705
15,Charlesmartin1,,26,8 - 3 - 2,,,Jolteon Inteleon,,charlesmartin1
16,CaioCapetinha,,26,8 - 3 - 2,,,Inteleon Inteleon,,caiocapetinha
17,Frygy00,,27,9 - 3 - 0,,,Mew Genesect,,frygy00
18,wakingeyes,,26,8 - 2 - 2,,,Duraludon,,wakingeyes
19,Peter L,,26,8 - 2 - 2,,,Mew Genesect,,aierala
20,Justin Stites,,25,8 - 3 - 1,,,Shadow Rider Calyrex,,bdsax
21,rexdog,,25,8 - 3 - 1,,,Mew Genesect,,rexdog
22,Matthewg21,,25,8 - 3 - 1,,,Mew Genesect,,matthewg21
23,Liam Kidd,,24,8 - 4 - 0,,,Duraludon,,liamkidd
24,Urtzuub,,24,8 - 4 - 0,,,Urshifu Moltres,,urtzuub
25,FlowTKast,,24,8 - 4 - 0,,,Mew Genesect,,flowtkast
26,Atomicsmash,,24,8 - 4 - 0,,,Zacian,,atomicsmash
27,DrewBread,,24,8 - 4 - 0,,,Calyrex Inteleon,,drewbread
28,GabrielSmartTCG,,24,8 - 4 - 0,,,Jolteon Inteleon,,gabrielsmarttcg
29,Josh Parks,,24,8 - 4 - 0,,,Zacian,,sotakethat
30,Jason Calderon,,24,7 - 2 - 3,,,Suicune Inteleon,,pipps
31,grantm12,,23,7 - 3 - 2,,,Jolteon Inteleon,,grantm12
32,Noahjp,,22,7 - 4 - 1,,,Rapid Strike Malamar,,noahjp
33,João  Pires,,21,7 - 4 - 0,67.00%,52.08%,Mew Genesect,,luisao99
34,Jerkules,,21,7 - 4 - 0,64.00%,53.27%,Calyrex Inteleon,,jerkules
35,Ajolt,,21,7 - 4 - 0,64.00%,47.73%,Duraludon,,ajolt
36,Brett Stratton,,21,7 - 4 - 0,58.00%,48.61%,Mew Genesect,,bretts
37,CLS084449,,21,7 - 4 - 0,57.00%,51.60%,Zacian Urshifu,,cls084449
38,rain,,21,7 - 4 - 0,57.00%,45.36%,Suicune Inteleon,,rain
