Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Zach Cohen,,39,13 - 3 - 0,,,Umbreon Urshifu,,zachthemudkip
2,Jake Pilch-Courie,,37,12 - 3 - 1,,,Urshifu Inteleon,,bigcole
3,coronelzeta,,34,11 - 3 - 1,,,Hoopa Moltres,,coronelzeta
4,JthorneG,,32,10 - 3 - 2,,,Mew Genesect,,jthorneg
5,mike Laundrie,,34,11 - 2 - 1,,,Umbreon Urshifu,,laundrieman
6,TheRicardoToddy,,30,10 - 4 - 0,,,Mew Genesect,,thericardotoddy
7,ely7172,,30,10 - 4 - 0,,,Rapid Strike Malamar,,ely7172
8,Gabe Shumway,,30,10 - 4 - 0,,,Mew Genesect,,gabeshumway
9,Tate Whitesell,,28,9 - 3 - 1,,,Suicune Inteleon,,leukocyte
10,Jonathan Patricio Ch.,,28,9 - 3 - 1,,,Duraludon,,jonah2705
11,Dylan Gunn,,28,9 - 3 - 1,,,Zacian,,dylang615
12,Cal Connor,,28,9 - 3 - 1,,,Jolteon Inteleon,,calcal206
13,James Simms,,27,9 - 4 - 0,,,Mew Genesect,,4600737
14,Connor Finton,,27,9 - 4 - 0,,,Leafeon Moltres,,conndor97
15,wakingeyes,,27,9 - 4 - 0,,,Duraludon,,wakingeyes
16,Doubllez,,26,8 - 3 - 2,,,Jolteon Inteleon,,doubllez
17,Jerrick Gumila,,28,9 - 2 - 1,,,Jolteon Inteleon,,jmila7
18,DreamQueen,,27,9 - 3 - 0drop,,,Mew Genesect,,dreamqueen
19,Hypnotik,,27,9 - 3 - 0,,,Umbreon Urshifu,,hypnotik
20,Ajolt,,26,8 - 2 - 2,,,Duraludon,,ajolt
21,Thomas Harvey,,26,8 - 2 - 2,,,Dark Box Inteleon,,csffarm
22,Caleb Rogerson,,25,8 - 3 - 1,,,Mew Genesect,,memaanhc
23,sapocururu,,25,8 - 3 - 1,,,Mew Genesect,,sapocururu
24,JacePatrick,,24,8 - 4 - 0,,,Blissey,,jacepatrick
25,TNYF0630,,24,8 - 4 - 0,,,Zacian,,tnyf0630
26,Pomu Rainpuff,,24,8 - 4 - 0,,,Mew Genesect,,edgevnv
27,Cobi Kawasaki,,24,8 - 4 - 0,,,Umbreon Urshifu,,97kirby
28,JRamVGC,,24,8 - 4 - 0,,,Mew Genesect,,jramvgc
29,kohawk2121,,24,8 - 4 - 0,,,Gengar,,kohawk2121
30,Matthew44,,24,8 - 4 - 0,,,Mew Genesect,,matthew44
31,Burdajow,,24,8 - 4 - 0,,,Umbreon Urshifu,,burdajow
32,Cameron Padilla,,22,7 - 4 - 1,,,Urshifu Inteleon,,camycameron
33,wy keen,,22,7 - 3 - 1,53.00%,42.33%,Zacian,,wykeen1994
34,Timm101,,22,7 - 3 - 1,38.00%,60.76%,Mew Genesect,,timm101
35,Vini Fernandez,,22,7 - 3 - 1,31.00%,52.43%,Inteleon,,warexpert
36,BDSax,,21,7 - 4 - 0,66.00%,46.81%,Shadow Rider Calyrex,,bdsax
37,ninjadrake,,21,7 - 4 - 0,62.67%,49.64%,Mew Genesect,,ninjadrake
38,Nicholas Homa,,21,7 - 4 - 0,62.00%,46.97%,Calyrex Inteleon,,aquiladisicilia
39,rad144,,21,7 - 4 - 0,60.00%,48.87%,Mew Genesect,,rad144
40,Hussemon,,21,7 - 4 - 0,60.00%,48.33%,Eternatus,,hussemon
41,SalamiBear,,21,7 - 4 - 0,58.67%,49.57%,Mew Genesect,,salamibear
42,CaioCapetinha,,21,7 - 4 - 0,57.00%,49.53%,Suicune Ludicolo,,caiocapetinha
43,AzulGG,,21,7 - 4 - 0,56.00%,51.07%,Duraludon,,azulgg
44,Chupapi Munyanyo,,21,7 - 4 - 0,55.67%,57.00%,Mew Genesect,,brandonsalazar
45,Keenan V,,21,7 - 4 - 0,54.00%,53.53%,Jolteon Inteleon,,octopathwanderer
46,Elliskelly818,,21,7 - 4 - 0,53.00%,55.00%,Victini,,elliskelly818
47,Gabriel  Fernandez { raio120 },,21,7 - 4 - 0,53.00%,52.93%,Shadow Rider Calyrex,,raio120
48,Juatine,,21,7 - 4 - 0,53.00%,52.92%,Mew Genesect,,juatine
49,Dan Perez,,21,7 - 4 - 0,53.00%,52.85%,Jolteon Inteleon,,notoriousd13
50,tsubame1946,,21,7 - 4 - 0,53.00%,51.13%,Mew Genesect,,tsubame1946
51,Zach Roy,,21,7 - 4 - 0,52.67%,54.92%,Umbreon Urshifu,,senordoom
52,christianchasejr,,21,7 - 4 - 0,52.00%,46.93%,Hoopa Moltres,,christianchasejr
53,Norman Chan,,21,7 - 4 - 0,50.67%,57.10%,Urshifu Inteleon,,norm
54,Su5hi,,21,7 - 4 - 0,47.67%,54.42%,Victini,,su5hi
55,Peyton1107,,21,7 - 4 - 0,47.00%,57.31%,Mew Genesect,,peyton1107
56,Gr34tWh1t3,,21,7 - 4 - 0,47.00%,51.44%,Rapid Strike Malamar,,gr34twh1t3
57,7Reggie7,,21,7 - 4 - 0,47.00%,49.52%,Gengar,,7reggie7
58,arlon143,,21,7 - 4 - 0,45.00%,53.53%,Jolteon Inteleon,,arlon143
59,GabrielBrenes,,21,7 - 4 - 0,43.67%,51.52%,Umbreon Urshifu,,gabrielbrenes
60,SuperiorSpidr,,21,7 - 4 - 0,43.67%,49.49%,Umbreon Urshifu,,superiorspidr
61,GabrielSmartTCG,,21,7 - 4 - 0,42.00%,50.76%,Jolteon Inteleon,,gabrielsmarttcg
62,SadCowboyOwen,,21,7 - 4 - 0,38.00%,53.67%,Jolteon Inteleon,,sadcowboyowen
63,Jordan D,,21,7 - 4 - 0,37.67%,55.78%,Jolteon Inteleon,,jordowag
64,Richard  Ruiz,,21,7 - 4 - 0,35.00%,54.72%,Jolteon Inteleon,,vartancaftel
65,OnGaard,,19,6 - 4 - 1,53.00%,49.72%,Mew Genesect,,ongaard
66,Slimey2,,19,6 - 4 - 1,48.67%,48.67%,Umbreon Urshifu,,slimey2
67,Cameron Kawasaki,,19,6 - 4 - 1,42.00%,46.67%,Suicune Ludicolo,,beastes123
68,Livvylance,,18,6 - 5 - 0,62.33%,47.39%,Umbreon Urshifu,,livvylance
69,Missingo2290,,18,6 - 4 - 0drop,61.25%,49.41%,Mew Genesect,,missingo2290
70,butadbut,,18,6 - 5 - 0,59.33%,47.42%,Duraludon,,butadbut
71,NullRumble26134,,18,6 - 5 - 0,58.67%,51.09%,Mew Genesect,,nullrumble26134
72,michaelm1216,,18,6 - 5 - 0,58.67%,48.70%,Mew Genesect,,michaelm1216
73,Savid400,,18,6 - 5 - 0,57.00%,46.51%,Mew Genesect,,savid400
74,Datonekid13,,18,6 - 5 - 0,56.00%,47.93%,Umbreon Urshifu,,datonekid13
75,Legendaray,,18,6 - 4 - 0drop,53.75%,49.17%,Umbreon Urshifu,,legendaray
76,Liam Kidd,,18,6 - 5 - 0,53.00%,48.25%,Victini Inteleon,,liamkidd
77,ThatGuyDrake,,18,6 - 5 - 0,53.00%,43.67%,Inteleon,,thatguydrake
78,SestoSento,,18,6 - 5 - 0,51.25%,49.83%,Mew Genesect,,sestosento
79,André Chiasson,,18,6 - 5 - 0,50.00%,52.58%,Jolteon Inteleon,,andrechiasson
80,thembert,,18,6 - 5 - 0,49.67%,52.63%,Mew Genesect,,thembert
81,Gumilakilla,,18,6 - 5 - 0,49.00%,49.44%,Mew Genesect,,gumilakilla
82,Kinhoknh,,18,6 - 5 - 0,48.00%,49.93%,Gengar,,kinhoknh
83,coopdivine,,18,6 - 5 - 0,46.67%,49.28%,Umbreon Urshifu,,coopdivine
