Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Jonathan Patricio Ch.,,44,14 - 2 - 2,,,Jolteon Inteleon,,jonah2705
2,Marco Cifuentes,,41,13 - 3 - 2,,,Hoopa Moltres,,marcocifuentes
3,BigGuy123,,37,12 - 4 - 1,,,Mew Genesect,,bigguy123
4,Brandon Johnson,,36,12 - 5 - 0,,,Duraludon,,lordbj101
5,FreeKim,,38,12 - 2 - 2,,,Suicune Ludicolo,,freekim
6,Gabriel Pino Semedo,,35,11 - 3 - 2,,,Suicune Moltres,,gabrielsemedo
7,jserhan,,34,11 - 4 - 1,,,Gengar,,jserhan
8,SestoSento,,33,11 - 5 - 0,,,Mew Genesect,,sestosento
9,Alex Hamilton,,33,10 - 2 - 3,,,Mew Genesect,,omegascizor456
10,Noah Allerton,,32,10 - 3 - 2,,,Duraludon,,nallerton
11,Dominick Schroyens,,31,10 - 4 - 1,,,Calyrex Inteleon,,dominicks
12,Blask,,31,10 - 4 - 1,,,Mew Genesect,,blask
13,OMGtapulele,,31,10 - 4 - 1,,,Suicune Moltres,,omgtapulele
14,Ryota Saito,,31,10 - 4 - 1,,,Mew Genesect,,mawssa2000
15,nosoness,,30,10 - 5 - 0,,,Mew Genesect,,nosoness
16,Cal Connor,,30,10 - 5 - 0,,,Dark Box Inteleon,,calcal206
17,SavarEX,,30,10 - 4 - 0,45.00%,48.96%,Mew Genesect,,savarex
18,Darsh S,,30,9 - 2 - 3,45.00%,46.33%,Umbreon Urshifu,,darshs1008
19,peke,,30,9 - 2 - 3,34.00%,51.25%,Dark Box Inteleon,,peke
20,PerfectPenguin7,,29,9 - 3 - 2,49.00%,56.25%,Eternatus,,perfectpenguin7
21,GabrielSmartTCG,,28,9 - 4 - 1,66.00%,48.48%,Umbreon Urshifu,,gabrielsmarttcg
22,Dan Perez,,28,9 - 4 - 1,53.00%,57.43%,Urshifu Inteleon,,notoriousd13
23,Daruma,,28,9 - 4 - 1,43.00%,55.95%,Duraludon,,daruma
24,Vini Fernandez,,28,9 - 4 - 1,42.00%,59.47%,Umbreon Urshifu,,warexpert
25,Liam Kidd,,28,9 - 4 - 1,41.67%,56.25%,Duraludon,,liamkidd
26,Augusto Beringuer,,28,9 - 4 - 1,35.00%,56.08%,Jolteon Inteleon,,augustoberinguer
27,Daltonfresh,,27,9 - 5 - 0,60.00%,46.00%,Duraludon,,daltonfresh
28,Vaughn,,27,9 - 5 - 0,55.00%,48.64%,Dark Box Inteleon,,vaughn
29,AyNunez,,27,9 - 5 - 0,49.00%,48.41%,Mew Genesect,,aynunez
30,KTG teledeth,,27,9 - 5 - 0,49.00%,42.83%,Mew Genesect,,teledeth
31,TheRicardoToddy,,27,9 - 5 - 0,43.00%,51.47%,Mew Genesect,,thericardotoddy
32,Christian Stridiron,,27,9 - 5 - 0,33.00%,54.21%,Umbreon Urshifu,,ippokg
33,christianchasejr,,25,8 - 5 - 1,62.00%,48.57%,Dark Box Inteleon,,christianchasejr
34,Bruno Paredes,,25,8 - 5 - 1,61.25%,50.59%,Urshifu Inteleon,,setheboo
35,herppu,,25,8 - 4 - 1drop,60.00%,44.75%,Mew Genesect,,herppu
36,Ajolt,,25,8 - 5 - 1,60.00%,40.33%,Dark Box Inteleon,,ajolt
37,André Chiasson,,25,8 - 5 - 1,55.00%,50.00%,Jolteon Inteleon,,andrechiasson
38,TJ Guistwite,,25,8 - 5 - 1,50.00%,50.32%,Duraludon,,grandtroll21
39,BFFBEAR,,25,8 - 5 - 1,49.00%,45.22%,Mew Genesect,,bffbear
40,wutender,,25,8 - 5 - 1,43.75%,49.69%,Dark Box Inteleon,,wutender
41,Lauri Jaatinen,,25,8 - 5 - 1,36.00%,54.82%,Mew Genesect,,juatine
42,akanettipoke,,24,8 - 5 - 0drop,56.25%,46.18%,Mew Genesect,,akanettipoke
43,jeanrcj,,24,8 - 6 - 0,52.00%,44.00%,Mew Genesect,,jeanrcj
44,Lucas Nascimento,,24,8 - 5 - 0drop,51.25%,46.05%,Zacian,,lucas226474
45,yanpisani22,,24,8 - 5 - 0drop,47.50%,47.33%,Mew Genesect,,yanpisani22
46,rhhaeder,,24,8 - 5 - 0drop,46.25%,46.84%,Mew Genesect,,rhhaeder
47,Hector Valle,,24,8 - 6 - 0,42.00%,54.74%,Eternatus,,hxvalle
48,Zarbon,,24,8 - 6 - 0,40.00%,48.95%,Mew Genesect,,zarbon
