Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Vicariant23,,43,14 - 2 - 1,,,Mew Genesect,,vicariant23
2,jserhan,,39,13 - 4 - 0,,,Suicune Inteleon,,jserhan
3,Tiger700,,38,12 - 2 - 2,,,Duraludon,,tiger700
4,xANDYx,,37,12 - 3 - 1,,,Duraludon,,xandyx
5,Tathenz,,38,12 - 1 - 2,,,Urshifu Inteleon,,tathenz
6,SestoSento,,31,10 - 4 - 1,,,Mew Genesect,,sestosento
7,Cal Connor,,31,10 - 4 - 1,,,Urshifu Inteleon,,calcal206
8,Arne Van Braeckel,,30,10 - 5 - 0,,,Mew Genesect,,arneboy11
9,Joshua Sutherland,,31,10 - 3 - 1,,,Zacian,,joshuasutherland21
10,Gabriel O,,31,10 - 3 - 1,,,Gengar,,gabriel111094
11,Richard  Ruiz,,31,10 - 3 - 1,,,Jolteon Inteleon,,vartancaftel
12,drmime619,,30,10 - 4 - 0,,,Zacian,,drmime619
13,meirelles7,,30,10 - 4 - 0,,,Jolteon,,meirelles7
14,Vini Fernandez,,30,9 - 2 - 3,,,Dark Box Inteleon,,warexpert
15,Cameron Padilla,,30,10 - 4 - 0,,,Mew Genesect,,camycameron
16,Stephen Roche,,27,9 - 5 - 0,,,Mew Genesect,,stephenroche
17,gavin  bennett,,28,9 - 3 - 1,,,Zacian,,bgv1989
18,Jerrick Gumila,,28,9 - 3 - 1,,,Jolteon Inteleon,,jmila7
19,Brandon Baughn,,27,9 - 4 - 0,,,Jolteon Inteleon,,pokebaughn
20,Charlesmartin1,,27,9 - 4 - 0,,,Hoopa Genesect,,charlesmartin1
21,AlmightyGible,,27,9 - 4 - 0,,,Urshifu Inteleon,,almightygible
22,Jonathan Patricio Ch.,,27,9 - 4 - 0,,,Umbreon Urshifu,,jonah2705
23,Owen Johnson,,27,8 - 2 - 3,,,Dark Box Inteleon,,osj14
24,JosephSneed,,27,8 - 2 - 3,,,Duraludon,,josephsneed
