Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,TheRicardoToddy,,43,14 - 3 - 1,,,Mew Genesect,,thericardotoddy
2,Angel22Aranibar,,41,13 - 3 - 2,,,Jolteon Inteleon,,angel22aranibar
3,Joshua Sutherland,,37,12 - 4 - 1,,,Zacian,,joshuasutherland21
4,Eder Jarillo,,37,12 - 4 - 1,,,Mew Genesect,,edertcgo
5,Cal Connor,,35,11 - 3 - 2,,,Duraludon,,calcal206
6,gabrielsemedo,,35,11 - 3 - 2,,,Suicune Moltres,,gabrielsemedo
7,Kirbbyman,,33,11 - 5 - 0,,,Jolteon Inteleon,,kirbbyman
8,KeenanKid,,33,11 - 5 - 0,,,Eternatus,,keenankid
9,Tommyb89,,35,11 - 2 - 2,,,Mew Genesect,,tommyb89
10,Eckoshooter07,,34,11 - 3 - 1,,,Mew Genesect,,eckoshooter07
11,Vaughn,,32,10 - 3 - 2,,,Duraludon,,vaughn
12,Patricia Gonzalez Walsh,,31,10 - 4 - 1,,,Urshifu Inteleon,,patogw
13,Aaron West,,31,10 - 4 - 1,,,Duraludon,,pkmntrdr
14,allezliverpool69,,31,10 - 4 - 1,,,Mew Genesect,,allezliverpool69
15,PokeMuca,,31,10 - 4 - 1,,,Jolteon Inteleon,,pokemuca
16,Gabe Shumway,,31,10 - 4 - 1,,,Inteleon Inteleon,,gabeshumway
17,Nicholas Homa,,30,10 - 4 - 0,47.67%,55.07%,Calyrex Inteleon,,aquiladisicilia
18,TCC Jerrick Gumila,,30,10 - 4 - 0,47.00%,53.02%,Mew Genesect,,jmila7
19,SoS2K,,30,10 - 4 - 0,46.67%,53.62%,Mew Genesect,,sos2k
20,JacePatrick,,30,10 - 4 - 0,41.00%,54.52%,Suicune Moltres,,jacepatrick
21,OnGaard,,29,9 - 3 - 2,45.00%,52.43%,Urshifu Inteleon,,ongaard
22,Vini Fernandez,,28,9 - 4 - 1,71.00%,43.13%,Suicune Moltres,,warexpert
23,lindsayrosecup,,28,9 - 4 - 1,52.00%,47.00%,Jolteon Inteleon,,lindsayrosecup
24,topherton,,28,9 - 4 - 1,51.25%,57.35%,Dark Box Inteleon,,topherton
25,GoRush,,28,9 - 4 - 1,50.00%,54.32%,Duraludon,,gorush
26,berganballer30,,28,9 - 4 - 1,49.00%,45.13%,Mew Genesect,,berganballer30
27,UltraNko,,28,9 - 4 - 1,43.67%,52.27%,Jolteon Inteleon,,ultranko
28,Jonnysniper,,28,9 - 4 - 1,42.00%,56.96%,Dark Box Inteleon,,jonnysniper
29,MasterLeBui,,27,9 - 5 - 0,60.00%,48.13%,Victini,,masterlebui
30,jayzcards,,27,9 - 5 - 0,56.00%,47.73%,Jolteon Inteleon,,jayzcards
31,espel,,27,9 - 5 - 0,53.00%,50.00%,Mew Genesect,,espel
32,7heMC,,27,9 - 5 - 0,49.00%,51.25%,Jolteon Inteleon,,7hemc
33,Jerkules,,27,9 - 5 - 0,47.67%,50.96%,Jolteon Inteleon,,jerkules
34,ianlaneifa,,27,9 - 5 - 0,46.00%,50.22%,Dark Box Inteleon,,ianlaneifa
35,Dan Perez,,27,9 - 5 - 0,45.67%,52.30%,Jolteon Inteleon,,notoriousd13
36,pizzandrew,,27,9 - 5 - 0,45.00%,48.00%,Jolteon Inteleon,,pizzandrew
37,gunplapilot,,27,9 - 5 - 0,42.00%,45.76%,Jolteon Inteleon,,gunplapilot
38,Daj13,,27,9 - 5 - 0,41.00%,50.76%,Jolteon Inteleon,,daj13
39,Juan Velez,,27,9 - 5 - 0,40.67%,51.50%,Mew Genesect,,xdjuanma
40,mikemrtn,,25,8 - 5 - 1,57.00%,52.05%,Jolteon Inteleon,,mikemrtn
41,PerfectPenguin7,,25,8 - 4 - 1drop,52.50%,49.48%,Eternatus,,perfectpenguin7
42,Doubllez,,25,8 - 5 - 1,43.00%,50.25%,Mew Genesect,,doubllez
43,rexdog,,25,8 - 5 - 1,40.00%,53.58%,Suicune Inteleon,,rexdog
44,xANDYx,,25,8 - 4 - 1drop,37.50%,57.06%,Duraludon,,xandyx
45,Cheech927,,24,8 - 6 - 0,62.00%,46.94%,Hoopa Moltres,,cheech927
46,VolcanTurtleTCG,,24,8 - 5 - 0drop,61.25%,46.08%,Inteleon Inteleon,,volcanturtletcg
47,Ira P,,24,8 - 5 - 0drop,56.25%,51.00%,Jolteon Inteleon,,ira9999
48,Buffalowned,,24,8 - 5 - 0drop,55.00%,46.42%,Dark Box Inteleon,,buffalowned
49,Caleb Rogerson,,24,8 - 6 - 0,55.00%,44.79%,Urshifu Moltres,,memaanhc
50,irvintyes,,24,8 - 6 - 0,54.00%,46.25%,Leafeon Inteleon,,irvintyes
51,WarKillah,,24,8 - 4 - 0drop,48.33%,41.67%,Jolteon,,warkillah
52,i miss her,,24,8 - 5 - 0drop,46.25%,41.25%,Jolteon Inteleon,,axellvarez
53,Zach Cohen,,24,8 - 6 - 0,42.00%,47.14%,Umbreon Urshifu,,zachthemudkip
54,Liam Kidd,,24,8 - 6 - 0,41.00%,46.00%,Mew Genesect,,liamkidd
55,Joe Higashi,,24,8 - 6 - 0,33.00%,52.88%,Single Strike Urshifu,,rotaryrocket
56,fryeguy67,,22,7 - 5 - 1drop,62.50%,45.44%,Duraludon,,fryeguy67
57,KillerFed,,22,7 - 4 - 1drop,61.11%,56.67%,Urshifu Inteleon,,killerfed
58,Nick E,,22,7 - 5 - 1drop,59.17%,44.89%,Galarian Weezing,,pokemonbreeder
59,LoboFinnberto,,22,7 - 6 - 1,57.00%,47.86%,Sylveon,,lobofinnberto
60,demxennies,,22,7 - 6 - 1,53.00%,52.05%,Jolteon Inteleon,,demxennies
61,Jahoostis,,22,7 - 6 - 1,40.67%,48.19%,Calyrex Inteleon,,jahoostis
62,André Chiasson,,21,7 - 5 - 0drop,55.00%,50.33%,Jolteon Inteleon,,andrechiasson
63,Iori127,,21,7 - 5 - 0drop,55.00%,49.17%,Duraludon,,iori127
64,boosakk69,,21,7 - 7 - 0,55.00%,42.50%,Inteleon Inteleon,,boosakk69
65,Anti,,21,7 - 6 - 0drop,48.75%,41.79%,Suicune Ludicolo,,anti
66,VeryAngeryVGC,,21,7 - 5 - 0drop,48.33%,45.42%,Jolteon Inteleon,,veryangeryvgc
67,Lustereclips,,21,7 - 4 - 0drop,42.50%,49.44%,Duraludon,,lustereclips
68,Shark44,,21,7 - 7 - 0,41.00%,44.42%,Suicune Moltres,,shark44
69,Clayton Fagan,,21,7 - 4 - 0drop,36.67%,44.38%,Zacian,,madtrucker78
70,ietomo20,,19,6 - 4 - 1drop,70.00%,50.56%,Jolteon Inteleon,,ietomo20
71,wakingeyes,,19,6 - 5 - 1drop,62.22%,46.54%,Zacian,,wakingeyes
72,Urtzuub,,19,6 - 4 - 1drop,37.50%,60.28%,Dark Box Inteleon,,urtzuub
73,RingToss,,18,6 - 6 - 0drop,66.67%,38.67%,Mew Genesect,,ringtoss
74,Matthew44,,18,6 - 4 - 0drop,60.00%,47.67%,Dark Box Inteleon,,matthew44
75,LegoWarrior70,,18,6 - 5 - 0drop,56.67%,50.00%,Leafeon Inteleon,,legowarrior70
76,Nate Kirksey,,18,6 - 5 - 0drop,56.67%,47.92%,Suicune Moltres,,pokenate
77,Brandon Johnson,,18,6 - 5 - 0drop,50.00%,48.83%,Jolteon Inteleon,,lordbj101
78,BFFBEAR,,18,6 - 8 - 0,46.67%,41.45%,Mew Genesect,,bffbear
79,Christian Stridiron,,18,6 - 5 - 0drop,45.00%,46.67%,Zacian,,ippokg
80,Kevin Campos,,18,6 - 5 - 0drop,25.00%,44.44%,Victini,,omegababo
81,16RedGunner,,16,5 - 5 - 1drop,62.50%,37.50%,Umbreon Urshifu,,16redgunner
82,Gumilakilla,,16,5 - 5 - 1drop,60.00%,48.50%,Mew Genesect,,gumilakilla
83,JayArrCee,,16,5 - 5 - 1drop,50.00%,48.00%,Shadow Rider Calyrex,,jayarrcee
84,TypicalLegend,,15,5 - 4 - 0,69.31%,55.67%,Leafeon Inteleon,,typicallegend
85,Ayato,,15,5 - 4 - 0,67.28%,56.02%,Eternatus,,ayato
86,westsidetommie,,15,5 - 4 - 0,59.57%,54.75%,Urshifu Inteleon,,westsidetommie
87,Bulldoza915,,15,5 - 4 - 0,59.26%,50.46%,Mew Genesect,,bulldoza915
88,ExDiego,,15,5 - 3 - 0drop,58.30%,54.99%,Gengar,,exdiego
89,Lucas Nascimento,,15,5 - 4 - 0,57.72%,56.35%,Duraludon,,lucas226474
90,Vicariant23,,15,5 - 4 - 0,57.53%,53.05%,Mew Genesect,,vicariant23
91,SofloPokemonTCG,,15,5 - 4 - 0,57.25%,54.64%,Duraludon,,soflopokemontcg
92,Bielcosta,,15,5 - 4 - 0,56.79%,54.83%,Inteleon Inteleon,,bielcosta
93,bananadiabetica,,15,5 - 4 - 0,56.30%,51.47%,Victini,,bananadiabetica
94,PUMPKING598,,15,5 - 3 - 0drop,54.20%,53.68%,Dark Box Inteleon,,pumpking598
95,Marcos1405,,15,5 - 4 - 0,54.02%,56.89%,Jolteon Inteleon,,marcos1405
96,AyNunez,,15,5 - 4 - 0,53.04%,53.03%,Mew Genesect,,aynunez
97,Axel Godoy,,15,5 - 4 - 0,52.41%,56.11%,Calyrex Inteleon,,raxelgt
98,KOT4Q,,15,5 - 4 - 0,51.21%,49.83%,Inteleon Inteleon,,kot4q
99,Corey Blankenship,,15,5 - 4 - 0,51.05%,49.21%,Mew Genesect,,coreyology
100,Dramando,,15,5 - 4 - 0,50.62%,50.84%,Suicune Ludicolo,,dramando
101,Rudedogg83,,15,5 - 4 - 0,50.43%,52.22%,Single Strike Urshifu,,rudedogg83
102,Garebear2006,,15,5 - 4 - 0,48.43%,53.13%,Suicune Inteleon,,garebear2006
103,Xavier E,,15,5 - 4 - 0,47.65%,51.98%,Duraludon,,xabro
104,Uncleshark3535,,15,5 - 4 - 0,46.91%,48.92%,Blissey,,uncleshark3535
105,GABY,,15,5 - 4 - 0,46.90%,47.78%,Urshifu Inteleon,,gaby
106,NRG Ely G,,15,5 - 4 - 0,45.98%,49.26%,Sirfetch'd Moltres,,ely7172
107,BeardBrosCards,,15,5 - 4 - 0,45.68%,53.35%,Gengar Umbreon,,beardbroscards
108,mccoy716,,15,5 - 4 - 0,45.37%,51.49%,Victini,,mccoy716
109,ProfPalm,,15,5 - 4 - 0,44.14%,51.72%,Duraludon,,profpalm
110,Leonardo Eusebio,,15,5 - 4 - 0,43.98%,47.35%,Duraludon,,leonehardt
111,Duhskull,,15,5 - 4 - 0,43.30%,46.44%,Jolteon Inteleon,,duhskull
112,Ryuzahki,,15,5 - 4 - 0,41.98%,45.20%,Mew Genesect,,ryuzahki
113,James Castaneda,,15,5 - 4 - 0,39.02%,51.80%,Mew Genesect,,memejesus7099
114,Louisianimal504,,15,5 - 4 - 0,34.05%,49.40%,Duraludon,,louisianimal504
115,Jonathan Patricio Ch.,,13,4 - 4 - 1,55.12%,50.05%,Jolteon Inteleon,,jonah2705
116,Alex Hamilton,,13,4 - 4 - 1,48.41%,49.29%,Duraludon,,athamilton32
117,Dadmistaken,,13,4 - 4 - 1,38.56%,46.71%,Mew Genesect,,dadmistaken
118,CeeCeeSauce,,12,4 - 5 - 0,61.73%,52.03%,Jolteon Inteleon,,ceeceesauce
119,[GUH] Pablo,,12,4 - 5 - 0,60.65%,50.01%,Mew Genesect,,drtastebad
120,WhitenedPheonix,,12,4 - 5 - 0,60.19%,49.56%,Eternatus,,whitenedpheonix
121,Lpc1994,,12,4 - 3 - 0drop,57.50%,55.97%,Urshifu Inteleon,,lpc1994
122,EydoKiller,,12,4 - 4 - 0drop,56.25%,52.16%,Umbreon Urshifu,,eydokiller
123,Victor García,,12,4 - 4 - 0drop,54.51%,51.34%,Jolteon Inteleon,,vicgar08
124,Lewis S,,12,4 - 5 - 0,53.83%,45.84%,Jolteon,,jellyface
125,CaRif7,,12,4 - 4 - 0drop,52.23%,51.73%,Mew Genesect,,carif7
126,Trottzilla,,12,4 - 4 - 0drop,52.08%,50.64%,Calyrex Inteleon,,trottzilla
127,Atomicsmash,,12,4 - 4 - 0drop,50.35%,52.77%,Zacian,,atomicsmash
128,Zarbon,,12,4 - 4 - 0drop,50.35%,51.56%,Mew Genesect,,zarbon
129,Akiyama777,,12,4 - 5 - 0,50.31%,49.50%,Gengar Umbreon,,akiyama777
