Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Zach Cohen,,45,15 - 3 - 0,,,Jolteon Inteleon,,zachthemudkip
2,TCC Andrew W,,45,15 - 3 - 0,,,Jolteon Inteleon,,pizzandrew
3,Dobber2723,,39,12 - 2 - 3,,,Sirfetch'd Moltres,,dobber2723
4,Joshua Sutherland,,36,12 - 5 - 0,,,Zacian,,joshuasutherland21
5,infernohippo,,35,11 - 3 - 2,,,Suicune Ludicolo,,infernohippo
6,UltraNko,,34,11 - 4 - 1,,,Jolteon Inteleon,,ultranko
7,Ajolt,,34,11 - 4 - 1,,,Duraludon,,ajolt
8,xANDYx,,34,11 - 4 - 1,,,Duraludon,,xandyx
9,mikemrtn,,33,11 - 4 - 0,,,Jolteon Inteleon,,mikemrtn
10,grantm12,,32,10 - 3 - 2,,,Jolteon Inteleon,,grantm12
11,Hussemon,,31,10 - 4 - 1,,,Eternatus,,hussemon
12,Victor García,,31,10 - 4 - 1,,,Mew Genesect,,vicgar08
13,igortotozistico,,30,10 - 5 - 0,,,Gengar,,igortotozistico
14,João  Pires,,30,10 - 5 - 0,,,Dark Box Inteleon,,luisao99
15,Matthew44,,30,10 - 5 - 0,,,Mew Genesect,,matthew44
16,Augusto Beringuer,,30,10 - 5 - 0,,,Jolteon Inteleon,,augustoberinguer
17,Mika Melatika,,30,10 - 4 - 0,40.00%,49.60%,Victini,,edgevnv
18,Recco Connor,,30,10 - 4 - 0,39.67%,49.70%,Duraludon,,chance101
19,Urtzuub,,30,10 - 4 - 0,35.00%,56.21%,Dark Box Inteleon,,urtzuub
20,topherton,,28,9 - 4 - 1,57.00%,51.44%,Dark Box Inteleon,,topherton
21,Vina,,28,9 - 4 - 1,57.00%,50.14%,Mew Genesect,,vina
22,Juan Velez,,28,9 - 4 - 1,35.00%,50.15%,Mew Genesect,,xdjuanma
23,Andrew Hedrick,,27,9 - 4 - 0drop,65.00%,52.50%,Jolteon Inteleon,,pokehawkeye
24,mike Laundrie,,27,9 - 5 - 0,61.00%,43.89%,Umbreon Urshifu,,laundrieman
25,Tyler Hauser,,27,9 - 5 - 0,56.00%,51.27%,Jolteon Inteleon,,volt57
26,EvanCampbell94,,27,9 - 5 - 0,55.00%,48.79%,Mew Genesect,,evancampbell94
27,André Chiasson,,27,9 - 5 - 0,54.00%,50.62%,Jolteon Inteleon,,andrechiasson
28,Frenillo,,27,9 - 5 - 0,49.00%,51.11%,Mew Genesect,,frenillo
29,sencha,,27,9 - 5 - 0,49.00%,45.76%,Mew Genesect,,kirikisencha
30,pepitojr2,,27,9 - 5 - 0,48.00%,51.47%,Zacian,,pepitojr2
31,Lime,,27,9 - 5 - 0,46.67%,52.83%,Jolteon Inteleon,,lime
32,APackOfAlpacas,,27,9 - 5 - 0,46.00%,56.23%,Jolteon Inteleon,,apackofalpacas
33,gantiri,,27,9 - 5 - 0,46.00%,45.60%,Mew Genesect,,gantiri
34,HyperK,,25,8 - 5 - 1,51.67%,44.93%,Lapras,,hyperk
35,xtracrispy83,,25,8 - 5 - 1,50.67%,45.58%,Inteleon Inteleon,,xtracrispy83
36,adrielichu,,25,8 - 5 - 1,50.00%,48.47%,Jolteon Inteleon,,adrielichu
37,Gr34tWh1t3,,25,8 - 5 - 1,49.67%,52.50%,Suicune Ludicolo,,gr34twh1t3
38,Murbell11,,25,8 - 5 - 1,41.00%,54.68%,Mew Genesect,,murbell11
39,mkirby,,25,8 - 5 - 1,39.00%,55.79%,Umbreon Urshifu,,mkirby
40,Buffalowned,,24,8 - 6 - 0,68.00%,43.68%,Umbreon Urshifu,,buffalowned
41,SofloPokemonTCG,,24,8 - 6 - 0,56.00%,47.80%,Duraludon,,soflopokemontcg
42,[GUH] Pablo,,24,8 - 6 - 0,51.67%,50.00%,Gengar,,drtastebad
43,melfo,,24,8 - 6 - 0,50.00%,46.38%,Umbreon Urshifu,,melfo
44,Akezaki,,24,8 - 6 - 0,43.00%,45.35%,Jolteon Inteleon,,akezaki
