Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Augusto Beringuer,,42,14 - 4 - 0,,,Gengar,,augustoberinguer
2,Christian Stridiron,,41,13 - 3 - 2,,,Zacian,,ippokg
3,ChaloZamorano,,37,12 - 4 - 1,,,Jolteon Inteleon,,chalozamorano
4,Kashvinder Singh,,36,12 - 5 - 0,,,Jolteon Inteleon,,kashmann27
5,EvanCampbell94,,34,11 - 4 - 1,,,Mew Genesect,,evancampbell94
6,iStark11,,34,11 - 4 - 1,,,Jolteon Inteleon,,istark11
7,MasterLeBui,,33,11 - 5 - 0,,,Victini,,masterlebui
8,Cal Connor,,33,11 - 5 - 0,,,Umbreon Urshifu,,calcal206
9,mooimmo,,33,10 - 2 - 3,,,Dark Box Inteleon,,mooimmo
10,Joshua Sutherland,,32,10 - 3 - 2,,,Zacian,,joshuasutherland21
11,Gabe Shumway,,32,10 - 3 - 2,,,Victini,,gabeshumway
12,Ajolt,,32,10 - 3 - 2,,,Leafeon Inteleon,,ajolt
13,Rezolution,,31,10 - 4 - 1,,,Duraludon,,rezolution
14,fataapple,,31,10 - 4 - 1,,,Umbreon Urshifu,,fataapple
15,princesspikamia,,31,10 - 4 - 1,,,Sirfetch'd Moltres,,princesspikamia
16,Lustereclips,,30,10 - 5 - 0,,,Umbreon Urshifu,,lustereclips
17,Lime,,30,10 - 4 - 0,43.00%,46.82%,Jolteon Inteleon,,lime
18,Duhskull,,30,10 - 4 - 0,39.00%,54.92%,Jolteon Inteleon,,duhskull
19,UltraNko,,30,10 - 4 - 0,35.00%,58.33%,Mew Genesect,,ultranko
20,Lygars,,28,9 - 4 - 1,55.00%,56.82%,Duraludon,,lygars
21,Pedro Vicêncio,,28,9 - 4 - 1,49.00%,41.53%,Dark Box Inteleon,,madmess
22,PokeMuca,,27,9 - 5 - 0,64.00%,39.73%,Duraludon,,pokemuca
23,BlakeM,,27,9 - 5 - 0,61.00%,46.81%,Gengar,,blakem
24,Dylanfairchild1,,27,9 - 5 - 0,57.00%,52.75%,Mew Genesect,,dylanfairchild1
25,William H,,27,9 - 5 - 0,55.67%,48.33%,Umbreon Urshifu,,doo2you
26,awildjordan,,27,9 - 5 - 0,55.00%,45.40%,Jolteon Inteleon,,awildjordan
27,Patricia Gonzalez Walsh,,27,9 - 5 - 0,53.00%,49.79%,Gengar,,patogw
28,Vina,,27,9 - 5 - 0,47.00%,51.60%,Mew Genesect,,vina
29,OnGaard,,27,9 - 5 - 0,46.00%,47.50%,Leafeon Moltres,,ongaard
30,Hayden Matthews,,27,9 - 5 - 0,36.00%,55.29%,Suicune Ludicolo,,hdos39
31,Daaasit,,26,8 - 4 - 2,59.00%,52.42%,Mew Genesect,,daaasit
32,Cameron Padilla,,25,8 - 5 - 1,48.67%,52.30%,Mew Genesect,,camycameron
33,Finchawott,,24,8 - 6 - 0,62.00%,42.36%,Jolteon Inteleon,,finchawott
34,AzulGG,,24,8 - 6 - 0,54.67%,40.38%,Leafeon Inteleon,,azulgg
35,AyNunez,,24,8 - 4 - 0drop,53.33%,52.00%,Urshifu Moltres,,aynunez
36,Atomicsmash,,24,8 - 5 - 0drop,52.50%,40.96%,Zacian,,atomicsmash
37,Iamtherealstory777,,24,8 - 5 - 0drop,51.25%,45.79%,Suicune Ludicolo,,iamtherealstory777
38,Doubllez,,24,8 - 5 - 0drop,46.25%,50.31%,Gengar,,doubllez
39,afuller5419,,24,8 - 6 - 0,41.25%,47.28%,Duraludon,,afuller5419
40,jh9wang,,24,8 - 5 - 0drop,39.58%,54.37%,Inteleon Inteleon,,jh9wang
41,Urtzuub,,22,7 - 4 - 1drop,82.22%,42.69%,Dark Box Inteleon,,urtzuub
42,kurotaka411,,22,7 - 5 - 1drop,63.33%,49.44%,Calyrex Inteleon,,kurotaka411
43,16RedGunner,,22,7 - 6 - 1,57.33%,44.24%,Umbreon Urshifu,,16redgunner
44,Tathenz,,22,7 - 5 - 1drop,56.25%,53.24%,Urshifu Inteleon,,tathenz
45,Nucl3ar,,22,7 - 6 - 1,46.25%,48.77%,Sylveon,,nucl3ar
46,ESPINOLA,,22,7 - 6 - 1,40.00%,52.17%,Zacian,,espinola
47,EydoKiller,,22,7 - 4 - 1drop,27.78%,65.00%,Gengar,,eydokiller
48,Dominick Schroyens,,21,7 - 5 - 0drop,66.67%,41.89%,Urshifu Inteleon,,dominicks
49,André Chiasson,,21,7 - 5 - 0drop,61.67%,47.50%,Jolteon Inteleon,,andrechiasson
50,Kuj4k,,21,7 - 4 - 0drop,60.00%,40.50%,Gengar,,kuj4k
51,Natagorn1990,,21,7 - 5 - 0drop,56.67%,48.45%,Jolteon Inteleon,,natagorn1990
52,Hussemon,,21,7 - 5 - 0drop,55.00%,46.67%,Gengar,,hussemon
53,TCC Andrew W,,21,7 - 7 - 0,52.00%,44.72%,Jolteon Inteleon,,pizzandrew
54,syu,,21,7 - 5 - 0drop,38.33%,49.55%,Gengar,,syu
55,Natalie M,,21,7 - 1 - 0drop,,,Urshifu Inteleon,,jolteon4291
56,ItzElBandido,,19,6 - 4 - 1drop,66.67%,53.54%,Umbreon Urshifu,,itzelbandido
57,ronrosson,,19,6 - 5 - 1drop,45.00%,51.11%,Zacian,,ronrosson
58,pititu,,19,6 - 4 - 1drop,37.50%,54.67%,Urshifu Inteleon,,pititu
59,chingpaq,,18,6 - 4 - 0drop,80.00%,47.67%,Mew Genesect,,chingpaq
60,NRG Ely G,,18,6 - 5 - 0drop,70.00%,47.00%,Sirfetch'd Moltres,,ely7172
61,Bruno Paredes,,18,6 - 5 - 0drop,70.00%,42.50%,Zacian,,setheboo
62,snowman,,18,6 - 5 - 0drop,56.67%,47.92%,Mew Genesect,,snowman
63,ExDiego,,18,6 - 5 - 0drop,56.67%,45.00%,Gengar,,exdiego
64,Ira P,,18,6 - 5 - 0drop,56.67%,42.50%,Gengar,,ira9999
65,boosakk69,,17,5 - 3 - 2drop,50.00%,46.25%,Dark Box Inteleon,,boosakk69
66,Ederbeteta,,16,5 - 4 - 1drop,60.00%,59.00%,Duraludon,,ederbeteta
