Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Urtzuub,,43,14 - 3 - 1,,,Dark Box Inteleon,,urtzuub
2,UltraNko,,40,13 - 4 - 1,,,Gengar,,ultranko
3,NickH777,,38,12 - 3 - 2,,,Suicune Inteleon,,nickh777
4,Doubllez,,38,12 - 3 - 2,,,Mew Genesect,,doubllez
5,AzulGG,,38,12 - 2 - 2,,,Mew Genesect,,azulgg
6,Jonathan Patricio Ch.,,35,11 - 3 - 2,,,Jolteon Inteleon,,jonah2705
7,Jared W,,33,11 - 5 - 0,,,Urshifu Inteleon,,jwils4
8,Dobber2723,,33,11 - 5 - 0,,,Sirfetch'd Moltres,,dobber2723
9,rain,,33,10 - 2 - 3,,,Calyrex Inteleon,,rain
10,BeastBoizTCG,,32,10 - 3 - 2,,,Dark Box Inteleon,,beastboiztcg
11,TCC Andrew W,,31,10 - 4 - 1,,,Jolteon Inteleon,,pizzandrew
12,MasterLeBui,,31,10 - 4 - 1,,,Victini,,masterlebui
13,Josh Cohen,,30,10 - 5 - 0,,,Leafeon Inteleon,,jcohenwc
14,AyNunez,,30,10 - 5 - 0,,,Urshifu Moltres,,aynunez
15,Kevin Abernathy,,30,10 - 5 - 0,,,Mew Genesect,,kevbot719
16,mille1216,,30,10 - 5 - 0,,,Jolteon Inteleon,,mille1216
17,Duhskull,,30,10 - 4 - 0,39.00%,56.67%,Jolteon Inteleon,,duhskull
18,Michele  Babin,,28,9 - 4 - 1,54.67%,55.00%,Mew Genesect,,michelebabin
19,iStark11,,28,9 - 4 - 1,52.33%,55.94%,Jolteon Inteleon,,istark11
20,EvanCampbell94,,28,9 - 4 - 1,48.00%,56.92%,Mew Genesect,,evancampbell94
21,Cameron Padilla,,28,9 - 4 - 1,43.00%,53.17%,Mew Genesect,,camycameron
22,sapocururu,,27,9 - 5 - 0,64.00%,47.60%,Umbreon Urshifu,,sapocururu
23,Manupango,,27,9 - 5 - 0,58.00%,51.60%,Hoopa Moltres,,manupango
24,Lygars,,27,9 - 5 - 0,53.00%,47.08%,Duraludon,,lygars
25,CaRif7,,27,9 - 5 - 0,51.67%,47.73%,Mew Genesect,,carif7
26,Bruno Paredes,,27,9 - 5 - 0,51.00%,47.83%,Urshifu Inteleon,,setheboo
27,OnGaard,,27,9 - 5 - 0,50.00%,49.55%,Sylveon,,ongaard
28,ietomo20,,27,9 - 5 - 0,47.67%,48.42%,Urshifu Inteleon,,ietomo20
29,[GUH] Pablo,,27,9 - 5 - 0,47.00%,47.61%,Victini,,drtastebad
30,Ekrym,,27,9 - 5 - 0,45.00%,45.53%,Mew Genesect,,ekrym
31,Roger Ramjit,,25,8 - 5 - 1,64.00%,51.60%,Umbreon Urshifu,,smokeyslim718
32,berganballer30,,25,8 - 5 - 1,52.00%,46.90%,Duraludon,,berganballer30
33,ExDiego,,24,8 - 6 - 0,68.00%,48.20%,Gengar,,exdiego
34,Satake Yuya,,24,8 - 5 - 0drop,52.50%,49.41%,Mew Genesect,,yuya
35,NRG mooimmo,,24,8 - 5 - 0drop,50.00%,51.50%,Dark Box Inteleon,,mooimmo
36,aus1726,,24,8 - 5 - 0drop,50.00%,48.92%,Mew Genesect,,aus1726
37,peke,,24,8 - 6 - 0,50.00%,45.35%,Weezing Inteleon,,peke
38,Will Forde,,24,8 - 4 - 0drop,46.67%,46.33%,Zacian,,supervsk
39,evltrtl,,24,8 - 6 - 0,46.00%,48.48%,Dracozolt,,evltrtl
40,HyperK,,24,8 - 6 - 0,46.00%,44.38%,Lapras,,hyperk
41,Augusto Beringuer,,24,8 - 6 - 0,45.00%,47.22%,Gengar,,augustoberinguer
42,Angry,,24,8 - 6 - 0,39.67%,46.32%,Zacian,,angry
43,zattack10,,22,7 - 4 - 1drop,51.67%,52.12%,Mew Genesect,,zattack10
44,Fauxnetix,,22,7 - 5 - 1drop,46.25%,50.42%,Leafeon Moltres,,fauxnetix
45,CranidosKing147,,22,7 - 5 - 1drop,37.50%,42.06%,Duraludon,,cranidosking147
46,isspkmn,,21,7 - 5 - 0drop,66.67%,46.33%,Mew Genesect,,isspkmn
