Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Josh Cohen,,31,10 - 1 - 1,,,Gengar,,jcohenwc
2,Lime,,28,9 - 2 - 1,,,Jolteon Inteleon,,lime
3,Ryan P,,26,8 - 1 - 2,,,Suicune Inteleon,,eevee5307
4,Anti,,24,8 - 3 - 0,,,Jolteon Inteleon,,anti
5,evltrtl,,24,8 - 2 - 0,,,Dracozolt,,evltrtl
6,Kevin Abernathy,,22,7 - 2 - 1,,,Mew Genesect,,kevbot719
7,Zarbon,,22,7 - 2 - 1,,,Mew Genesect,,zarbon
8,ietomo20,,21,7 - 3 - 0,,,Calyrex Inteleon,,ietomo20
9,Kristian Hodas,,22,7 - 1 - 1,,,Mew Genesect,,kihun22
10,infernohippo,,20,6 - 1 - 2,,,Suicune Ludicolo,,infernohippo
11,Aman227,,19,6 - 2 - 1,,,Mew Genesect,,aman227
12,KR54,,19,6 - 2 - 1,,,Leafeon Inteleon,,kr54
13,AyNunez,,19,6 - 2 - 1,,,Mew Genesect,,aynunez
14,ianlaneifa,,19,6 - 2 - 1,,,Dark Box Inteleon,,ianlaneifa
15,Roger Ramjit,,18,6 - 3 - 0,,,Umbreon Urshifu,,smokeyslim718
16,Victor García,,18,6 - 3 - 0,,,Jolteon Inteleon,,vicgar08
17,Richard  Ruiz,,18,6 - 2 - 0,59.17%,55.05%,Jolteon Inteleon,,vartancaftel
18,Joshua Sutherland,,18,6 - 2 - 0,57.60%,57.67%,Zacian,,joshuasutherland21
19,bo jung chuang,,18,6 - 2 - 0,57.14%,56.52%,Urshifu Inteleon,,chuang1206
20,Ryan Mefford,,18,6 - 2 - 0,56.25%,57.16%,Suicune Moltres,,mefftrpt1
21,Vina,,18,6 - 2 - 0,55.73%,56.56%,Mew Genesect,,vina
22,Hayden Matthews,,18,6 - 2 - 0,55.36%,54.90%,Mew Genesect,,hdos39
23,Zach Cohen,,18,6 - 2 - 0,54.69%,60.70%,Jolteon Inteleon,,zachthemudkip
24,Jonathan Patricio Ch.,,18,6 - 2 - 0,53.18%,54.23%,Jolteon Inteleon,,jonah2705
25,Jess106,,18,6 - 2 - 0,52.46%,54.26%,Mew Genesect,,jess106
26,pititu,,18,6 - 2 - 0,51.56%,51.10%,Urshifu Inteleon,,pititu
27,Lapadulatcg,,18,6 - 2 - 0,47.50%,55.80%,Rapid Strike Malamar,,lapadulatcg
28,AzulGG,,18,6 - 2 - 0,44.37%,55.00%,Victini,,azulgg
29,[GUH]Flavio Arechiga,,18,6 - 2 - 0,42.87%,53.42%,Victini,,flantastic
30,GuiARCF,,15,5 - 3 - 0,61.25%,57.19%,Mew Genesect,,guiarcf
31,shakyshaky,,15,5 - 3 - 0,59.90%,56.27%,Suicune Ludicolo,,shakyshaky
32,Krystian Rivera,,15,5 - 3 - 0,59.75%,52.83%,Jolteon Inteleon,,adrielichu
33,HayBay161515,,15,5 - 3 - 0,58.71%,54.30%,Leafeon Inteleon,,haybay161515
34,BFFBEAR,,15,5 - 3 - 0,57.72%,53.08%,Mew Genesect,,bffbear
35,YoongKaiJian,,15,5 - 3 - 0,57.08%,55.94%,Mew Genesect,,yoongkaijian
36,trainerchip,,15,5 - 3 - 0,56.25%,52.61%,Mew Genesect,,trainerchip
37,Lygars,,15,5 - 3 - 0,55.68%,56.56%,Duraludon,,lygars
38,Benlulubro,,15,5 - 3 - 0,55.37%,53.85%,Mew Genesect,,benlulubro
39,arturoR2D2633127,,15,5 - 3 - 0,54.37%,55.82%,Jolteon Inteleon,,arturor2d2633127
40,Monayyy,,15,5 - 3 - 0,53.79%,53.11%,Mew Genesect,,monayyy
41,rottenApple21,,15,5 - 3 - 0,53.13%,54.13%,Mew Genesect,,rottenapple21
42,Ayato,,15,5 - 3 - 0,51.88%,54.10%,Stonjourner,,ayato
43,Atomicsmash,,15,5 - 3 - 0,51.88%,50.21%,Zacian,,atomicsmash
44,Fitypaldis,,15,5 - 3 - 0,51.26%,54.13%,Mew Genesect,,fitypaldis
45,James Castaneda,,15,5 - 3 - 0,50.98%,54.35%,Mew Genesect,,memejesus7099
46,Matthew Gilson,,15,5 - 3 - 0,49.64%,55.06%,Mew Genesect,,vicariant23
47,Jakeburnyeat,,15,5 - 3 - 0,49.11%,49.41%,Duraludon,,jakeburnyeat
48,Louisianimal504,,15,5 - 3 - 0,48.75%,52.53%,Gengar,,louisianimal504
49,Justin Ng,,15,5 - 3 - 0,46.44%,50.52%,Mew Genesect,,dipsheetosaurus
50,ThePrancingPonyta,,15,5 - 3 - 0,46.35%,53.09%,Jolteon Inteleon,,theprancingponyta
51,7heMC,,15,5 - 3 - 0,45.98%,53.42%,Zacian,,7hemc
52,rexdog,,15,5 - 3 - 0,45.83%,49.66%,Mew Genesect,,rexdog
53,JeezyACG,,15,5 - 3 - 0,45.10%,50.82%,Mew Genesect,,jeezyacg
54,mkirby,,15,5 - 3 - 0,41.67%,52.72%,Umbreon Urshifu,,mkirby
55,lindsayrosecup,,12,4 - 4 - 0,59.38%,53.74%,Jolteon Inteleon,,lindsayrosecup
56,ChaloZamorano,,12,4 - 3 - 0drop,58.57%,52.22%,Jolteon Inteleon,,chalozamorano
57,RJCchoi22,,12,4 - 2 - 0drop,58.33%,52.82%,Dark Box Inteleon,,rjcchoi22
58,Curly71,,12,4 - 4 - 0,57.59%,49.13%,Rapid Strike Urshifu,,curly71
59,Watson Medeiros,,12,4 - 4 - 0,57.46%,51.64%,Leafeon Moltres,,watsonmedeiros
60,MarlonAveer2021,,12,4 - 4 - 0,56.25%,48.87%,Urshifu Moltres,,marlonaveer2021
61,Doubllez,,12,4 - 3 - 0drop,56.12%,51.37%,Jolteon Inteleon,,doubllez
62,yoppe06,,12,4 - 4 - 0,54.84%,53.62%,Glaceon,,yoppe06
63,Liam Kidd,,12,4 - 4 - 0,53.87%,52.95%,Stonjourner,,liamkidd
64,MrToroTCG,,12,4 - 4 - 0,52.23%,48.15%,Gengar,,mrtorotcg
65,Manupango,,12,4 - 3 - 0drop,52.14%,53.52%,Dark Box Inteleon,,manupango
66,Naruto Uzumaki,,12,4 - 3 - 0drop,51.96%,53.92%,Dark Box Inteleon,,chrollo
67,Timm101,,12,4 - 3 - 0drop,51.79%,56.69%,Mew Genesect,,timm101
68,grantm12,,12,4 - 3 - 0drop,51.79%,51.55%,Morpeko,,grantm12
