Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,jserhan,,43,14 - 3 - 1,,,Gengar,,jserhan
2,Blaksnak,,41,13 - 3 - 2,,,Duraludon,,blaksnak
3,Joe Higashi,,39,12 - 2 - 3,,,Urshifu Inteleon,,rotaryrocket
4,Victor García,,38,12 - 3 - 2,,,Jolteon Inteleon,,vicgar08
5,NRG mooimmo,,35,11 - 3 - 2,,,Dark Box Inteleon,,mooimmo
6,iStark11,,34,11 - 4 - 1,,,Jolteon Inteleon,,istark11
7,waffleraff,,33,11 - 5 - 0,,,Gengar,,waffleraff
8,Kevin Walunas,,31,10 - 5 - 1,,,Zacian,,walunatic
9,Mario Yanez,,33,10 - 2 - 3,,,Stonjourner,,marioyanez
10,chrischop94,,32,10 - 3 - 2,,,Mew Genesect,,chrischop94
11,Joshua Sutherland,,31,10 - 4 - 1,,,Zacian,,joshuasutherland21
12,Sussy Baka,,31,10 - 4 - 1,,,Gengar,,khusaidan7
13,Marcelo P,,30,10 - 5 - 0,,,Dark Box Inteleon,,marcelo1703
14,Lucas Nascimento,,30,10 - 5 - 0,,,Urshifu Inteleon,,lucas226474
15,UltraNko,,30,10 - 5 - 0,,,Mew Genesect,,ultranko
16,boosakk69,,28,9 - 5 - 1,,,Dark Box Inteleon,,boosakk69
17,Kim S,,28,9 - 4 - 1,53.00%,54.75%,Mew Genesect,,jasonleonard
18,Jonathan Patricio Ch.,,28,9 - 4 - 1,47.00%,54.30%,Jolteon Inteleon,,jonah2705
19,Anti,,28,9 - 4 - 1,43.00%,53.82%,Mew Genesect,,anti
20,John Konkle,,28,9 - 4 - 1,31.67%,60.96%,Gengar,,jk338
21,7heMC,,27,9 - 5 - 0,57.00%,45.23%,Mew Genesect,,7hemc
22,ChromePvP,,27,9 - 5 - 0,53.00%,45.56%,Urshifu Inteleon,,chromepvp
23,MrSandy,,27,9 - 5 - 0,52.67%,54.24%,Victini,,mrsandy
24,Squallxx17,,27,9 - 5 - 0,51.00%,48.50%,Mew Genesect,,squallxx17
25,Vicente (MoeHawk) Canales-Loyola,,27,9 - 5 - 0,51.00%,46.01%,Urshifu Inteleon,,moehawk
26,EXfiveDaiveR,,27,9 - 5 - 0,47.67%,49.84%,Mew Genesect,,exfivedaiver
27,QuidKnight,,27,9 - 5 - 0,38.00%,56.59%,Gengar,,quidknight
28,JacePatrick,,25,8 - 5 - 1,61.00%,43.20%,Gengar,,jacepatrick
29,Nectar17,,25,8 - 5 - 1,52.50%,53.16%,Dark Box Inteleon,,nectar17
30,ESPINOLA,,25,8 - 5 - 1,42.00%,53.94%,Dark Box Inteleon,,espinola
31,Ajolt,,25,8 - 5 - 1,39.33%,59.29%,Jolteon Inteleon,,ajolt
32,AyNunez,,24,8 - 4 - 0drop,53.33%,46.00%,Mew Genesect,,aynunez
33,PerfectPenguin7,,24,8 - 5 - 0drop,53.33%,41.48%,Eternatus,,perfectpenguin7
34,James Castaneda,,24,8 - 6 - 0,51.67%,47.38%,Mew Genesect,,memejesus7099
35,arturoR2D2633127,,24,8 - 5 - 0drop,48.33%,48.61%,Jolteon Inteleon,,arturor2d2633127
36,maualmeida88,,24,8 - 5 - 0drop,41.25%,46.08%,Galarian Weezing,,maualmeida88
37,Dylanfairchild1,,24,8 - 6 - 0,38.00%,51.11%,Mew Genesect,,dylanfairchild1
38,aus1726,,24,8 - 4 - 0drop,30.00%,56.36%,Mew Genesect,,aus1726
39,Erich Francis,,23,7 - 5 - 2,70.00%,49.42%,Rapid Strike Malamar,,ef72489
40,Richard  Ruiz,,22,7 - 4 - 1drop,61.67%,45.42%,Jolteon Inteleon,,vartancaftel
41,Cameron Padilla,,22,7 - 6 - 1,57.00%,53.67%,Mew Genesect,,camycameron
42,OnGaard,,22,7 - 6 - 1,57.00%,48.13%,Urshifu Inteleon,,ongaard
43,juonx477,,22,7 - 5 - 1drop,54.58%,56.76%,Jolteon Inteleon,,juonx477
44,Kashvinder Singh,,22,7 - 6 - 1,53.00%,48.40%,Calyrex Inteleon,,kashmann27
45,NRG Ely G,,21,7 - 5 - 0drop,73.33%,48.00%,Sirfetch'd Moltres,,ely7172
46,lindsayrosecup,,21,7 - 5 - 0drop,66.67%,46.22%,Gengar,,lindsayrosecup
47,titallytan,,21,7 - 4 - 0drop,63.33%,39.38%,Leafeon Inteleon,,titallytan
48,Gabriel Pino Semedo,,21,7 - 4 - 0drop,60.00%,49.50%,Victini,,gabrielsemedo
49,SensualFetus,,21,7 - 5 - 0drop,60.00%,46.22%,Mew Genesect,,sensualfetus
50,Brybox,,21,7 - 7 - 0,51.67%,45.59%,Jolteon Inteleon,,brybox
51,Patricia Gonzalez Walsh,,21,7 - 5 - 0drop,45.00%,48.64%,Umbreon Urshifu,,patogw
52,TrebDoggo,,21,7 - 5 - 0drop,41.67%,51.07%,Mew Genesect,,trebdoggo
53,bholkup,,19,6 - 5 - 1drop,70.00%,46.43%,Duraludon,,bholkup
54,rain,,19,6 - 4 - 1drop,62.50%,48.61%,Zacian,,rain
55,Lygars,,19,6 - 7 - 1,57.50%,40.18%,Duraludon,,lygars
