Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,TCC Andrew W,,42,14 - 4 - 0,,,Durant,,pizzandrew
2,Augusto Beringuer,,41,13 - 3 - 2,,,Mew Genesect,,augustoberinguer
3,Caleb Rogerson,,37,12 - 4 - 1,,,Mew Genesect,,memaanhc
4,Anti,,37,12 - 4 - 1,,,Dark Arceus,,anti
5,AVARIN JR VILLARREAL,,35,11 - 3 - 2,,,Victini,,avarinjr88
6,RingToss,,34,11 - 4 - 1,,,Mew Genesect,,ringtoss
7,Ajolt,,33,10 - 3 - 3,,,Arceus Duraludon,,ajolt
8,Fabio Battistella,,33,11 - 5 - 0,,,Shadow Rider Calyrex,,fabietto06
9,Rezolution,,35,11 - 2 - 2,,,Arceus Duraludon,,rezolution
10,Smokeyslim718,,32,10 - 3 - 2,,,Umbreon Urshifu,,smokeyslim718
11,infernohippo,,32,10 - 3 - 2,,,Suicune Ludicolo,,infernohippo
12,Iori127,,31,10 - 4 - 1,,,Mew Genesect,,iori127
13,NRG allezliverpool,,31,10 - 4 - 1,,,Mew Genesect,,allezliverpool69
14,GUSTAVOWADA,,31,10 - 4 - 1,,,Mew Genesect,,gustavowada
15,GabrielSmartTCG,,30,10 - 5 - 0,,,Mew Genesect,,gabrielsmarttcg
16,Vini Fernandez,,30,10 - 5 - 0,,,Arceus,,warexpert
17,zattack10,,30,10 - 4 - 0,36.33%,50.29%,Mew Genesect,,zattack10
18,Legendaray,,29,9 - 3 - 2,64.00%,46.67%,Mew Genesect,,legendaray
19,sawyermelban,,28,9 - 4 - 1,52.00%,53.25%,Dark Arceus,,sawyermelban
20,TCC Jerrick Gumila,,28,9 - 4 - 1,51.00%,52.30%,Arceus Duraludon,,jmila7
21,ThalesArgelo,,28,9 - 4 - 1,49.00%,61.36%,Rapid Strike Malamar,,thalesargelo
22,bdov,,28,9 - 4 - 1,49.00%,57.65%,Arceus Inteleon,,bdov
23,xtracrispy83,,28,9 - 4 - 1,46.00%,56.29%,Arceus Duraludon,,xtracrispy83
24,kinoita,,27,9 - 5 - 0,60.00%,47.13%,Blaziken Zeraora,,kinoita
25,Liam Kidd,,27,9 - 5 - 0,53.00%,45.73%,Arceus Duraludon,,liamkidd
26,Noah Y,,27,9 - 5 - 0,52.00%,51.73%,Dark Inteleon,,nyoshida
27,WellingtonZoobi,,27,9 - 5 - 0,50.00%,49.27%,Suicune Inteleon,,wellingtonzoobi
28,CranidosKing147,,27,9 - 5 - 0,50.00%,49.17%,Arceus Ice Rider,,cranidosking147
29,TheRicardoToddy,,27,9 - 5 - 0,49.00%,49.78%,Eternatus,,thericardotoddy
