Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Augusto Beringuer,,43,13 - 1 - 4,,,Mew Genesect,,augustoberinguer
2,Anti,,44,14 - 2 - 2,,,Arceus Inteleon,,anti
3,Frenillo,,38,12 - 3 - 2,,,Arceus Malamar,,frenillo
4,Pedro Vicêncio,,37,12 - 4 - 1,,,Calyrex Inteleon,,madmess
5,iStark11,,40,13 - 2 - 1,,,Arceus Duraludon,,istark11
6,AndyGantner,,35,11 - 3 - 2,,,Mew Genesect,,andygantner
7,Jonathan Patricio Ch.,,34,11 - 4 - 1,,,Calyrex Inteleon,,jonah2705
8,JacePatrick,,34,11 - 4 - 1,,,Dark Arceus,,jacepatrick
9,Joshua Sutherland,,31,10 - 4 - 1,,,Jolteon Inteleon,,joshuasutherland21
10,Doubllez,,31,10 - 4 - 1,,,Arceus Duraludon,,doubllez
11,MasterLeBui,,31,10 - 4 - 1,,,Calyrex Inteleon,,masterlebui
12,Gabe Shumway,,31,10 - 4 - 1,,,Rapid Strike Malamar,,gabeshumway
13,Rezolution,,31,10 - 4 - 1,,,Arceus Duraludon,,rezolution
14,SamuelChok,,30,10 - 5 - 0,,,Mew Genesect,,samuelchok
15,Benlulubro,,30,10 - 5 - 0,,,Arceus Malamar,,benlulubro
16,Josh Frink,,30,10 - 5 - 0,,,Zoroark Box,,dreamjew
17,Drayven Sande,,30,10 - 4 - 0,46.67%,49.93%,Arceus Duraludon,,thenegativeone
18,NGKyVong,,30,10 - 4 - 0,39.67%,54.00%,Arceus Duraludon,,ngkyvong
19,CeeloGod,,28,9 - 4 - 1,68.00%,45.60%,Dark Arceus,,ceelogod
20,Joe Higashi,,28,9 - 4 - 1,56.00%,48.80%,Urshifu Inteleon,,rotaryrocket
21,FlowTKast,,28,9 - 4 - 1,49.00%,57.17%,Mew Genesect,,flowtkast
22,Giovanni Peragallo,,28,9 - 4 - 1,49.00%,48.93%,Inteleon Inteleon,,dracinioo
23,EvanCampbell94,,28,9 - 4 - 1,46.00%,58.57%,Mew Genesect,,evancampbell94
24,NickBournay,,28,9 - 4 - 1,37.00%,61.25%,Rapid Strike Malamar,,nickbournay
25,Juan Velez,,28,9 - 4 - 1,32.00%,60.45%,Mew Genesect,,xdjuanma
26,CharChar1713,,27,9 - 5 - 0,64.00%,46.80%,Other,,charchar1713
27,Sharkapr,,27,9 - 5 - 0,62.00%,47.57%,Suicune Inteleon,,sharkapr
28,ZhiYi20070415,,27,9 - 5 - 0,55.00%,47.27%,Arceus Duraludon,,zhiyi20070415
29,ThalesArgelo,,27,9 - 5 - 0,52.00%,47.60%,Rapid Strike Malamar,,thalesargelo
30,chubray,,27,9 - 5 - 0,50.67%,47.75%,Dark Arceus,,chubray
31,Brandon Baughn,,27,9 - 5 - 0,50.00%,49.25%,Arceus Duraludon,,pokebaughn
32,zattack10,,27,9 - 5 - 0,47.00%,45.98%,Mew Genesect,,zattack10
33,Vaughn,,27,9 - 5 - 0,46.00%,47.83%,Arceus Inteleon,,vaughn
34,mkirby,,27,9 - 5 - 0,42.00%,46.93%,Mew Genesect,,mkirby
35,awwvince,,27,9 - 5 - 0,42.00%,46.60%,Mew Genesect,,awwvince
36,Tate Whitesell,,27,9 - 5 - 0,39.67%,51.92%,Dark Inteleon,,leukocyte
37,GabsBaptista,,26,8 - 4 - 2,68.00%,43.40%,Arceus Duraludon,,gabsbaptista
38,ToF Luis Estrada,,25,8 - 5 - 1,49.00%,50.83%,Dark Arceus,,fester131313
39,ChaloZamorano,,25,8 - 5 - 1,40.00%,56.58%,Arceus Malamar,,chalozamorano
40,Ajolt,,25,8 - 5 - 1,40.00%,54.50%,Arceus Duraludon,,ajolt
41,marcher,,24,8 - 3 - 0drop,60.00%,52.50%,Mew Genesect,,marcher
42,0daluc026,,24,8 - 6 - 0,53.00%,46.33%,Mew Genesect,,0daluc026
43,towelత్dimension,,24,8 - 6 - 0,52.00%,47.00%,Calyrex Inteleon,,mellowmountain7
44,Kevin Walunas,,24,8 - 6 - 0,49.00%,48.19%,Ice Rider Calyrex,,walunatic
