Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Kenny Packala,,39,13 - 3 - 0,,,Mew Genesect,,nightwatchgaming
2,Roberto Lozada,,37,12 - 3 - 1,,,Mew Genesect,,bertz1991
3,APackOfAlpacas,,34,11 - 3 - 1,,,Jolteon Inteleon,,apackofalpacas
4,[GUH] Flavio,,33,11 - 4 - 0,,,Victini,,flantastic
5,Dominick Schroyens,,33,11 - 3 - 0,,,Urshifu Inteleon,,dominicks
6,AyNunez,,33,11 - 3 - 0,,,Urshifu Inteleon,,aynunez
7,KeithHagan,,33,11 - 3 - 0,,,Jolteon Inteleon,,keithhagan
8,Sammy  Allen,,30,10 - 4 - 0,,,Duraludon,,blackangel61220
9,christopherdybas,,30,10 - 3 - 0,,,Umbreon Urshifu,,christopherdybas
10,Gabriel Padinha,,28,9 - 3 - 1,,,Jolteon Inteleon,,calkab
11,Thomas Harvey,,28,9 - 3 - 1,,,Dark Box Inteleon,,csffarm
12,Sebastià Casas,,28,9 - 3 - 1,,,Urshifu Inteleon,,tia2604
13,Zach Roy,,27,9 - 4 - 0,,,Umbreon Urshifu,,senordoom
14,Destroyer5937,,27,9 - 4 - 0,,,Calyrex Inteleon,,destroyer5937
15,Cal Connor,,27,9 - 4 - 0,,,Gengar,,calcal206
16,arlon143,,27,9 - 4 - 0,,,Hoopa Moltres,,arlon143
17,sincero cornelio silla,,27,9 - 3 - 0,31.25%,57.81%,Suicune Inteleon,,poornico
18,ianlaneifa,,25,8 - 3 - 1,68.75%,46.88%,Dark Box Inteleon,,ianlaneifa
19,Gabriel  Fernandez { raio120 },,25,8 - 3 - 1,56.25%,47.40%,Suicune Ludicolo,,raio120
20,Chris Culhane,,25,8 - 3 - 1,37.50%,66.07%,Duraludon,,chris7496
21,Caleb Rogerson,,24,8 - 4 - 0,68.75%,43.75%,Mew Genesect,,memaanhc
22,HyperK,,24,8 - 4 - 0,62.50%,45.83%,Lapras,,hyperk
23,Goomy35,,24,8 - 4 - 0,56.25%,56.25%,Umbreon Urshifu,,goomy35
