Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Gabe Shumway,,42,14 - 4 - 0,,,Dark Box Inteleon,,gabeshumway
2,Vini Fernandez,,38,12 - 4 - 2,,,Mew Genesect,,warexpert
3,ianlaneifa,,37,12 - 4 - 1,,,Dark Box Inteleon,,ianlaneifa
4,u5d,,36,12 - 5 - 0,,,Victini,,u5d
5,Joshua Sutherland,,38,12 - 2 - 2,,,Zacian,,joshuasutherland21
6,AzulGG,,35,11 - 3 - 2,,,Hoopa Moltres,,azulgg
7,Tate Whitesell,,34,11 - 4 - 1,,,Umbreon Urshifu,,leukocyte
8,Sebastian L,,32,10 - 4 - 2,,,Mew Genesect,,formerlycb5k
9,APackOfAlpacas,,31,10 - 4 - 1,,,Jolteon Inteleon,,apackofalpacas
10,TheLanturn2002,,31,10 - 4 - 1,,,Urshifu Inteleon,,thelanturn2002
11,Victor García,,31,10 - 4 - 1,,,Jolteon Inteleon,,vicgar08
12,Dan H,,30,10 - 5 - 0,,,Jolteon Inteleon,,dhugar
13,RyanM,,30,10 - 5 - 0,,,Duraludon,,ryanm
14,BlueBr0nc0,,29,9 - 4 - 2,,,Stonjourner,,bluebr0nc0
15,Marck261,,28,9 - 5 - 1,,,Suicune Moltres,,marck261
16,sapocururu,,28,9 - 5 - 1,,,Mew Genesect,,sapocururu
17,PUMPKING598,,27,9 - 5 - 0,61.00%,48.33%,Shadow Rider Calyrex,,pumpking598
18,Thomas Harvey,,27,9 - 5 - 0,53.00%,50.15%,Dark Box Inteleon,,csffarm
19,allezliverpool69,,27,9 - 5 - 0,50.00%,52.78%,Mew Genesect,,allezliverpool69
20,john wanggaard,,27,9 - 2 - 0drop,50.00%,47.50%,Suicune Inteleon,,ttoabyssal
21,Baky01,,27,9 - 5 - 0,42.00%,50.37%,Duraludon,,baky01
22,Xama44,,26,8 - 4 - 2,46.25%,51.58%,Dark Box Inteleon,,xama44
23,UltraNko,,25,8 - 5 - 1,62.00%,45.83%,Jolteon Inteleon,,ultranko
24,Kevin Campos,,25,8 - 5 - 1,57.00%,50.76%,Jolteon Inteleon,,omegababo
25,André Chiasson,,25,8 - 5 - 1,50.67%,47.83%,Jolteon Inteleon,,andrechiasson
26,HyperK,,25,8 - 5 - 1,45.00%,46.00%,Lapras,,hyperk
27,arlon143,,24,8 - 4 - 0drop,60.00%,47.22%,Jolteon Inteleon,,arlon143
28,JosephSneed,,24,8 - 6 - 0,54.67%,48.70%,Duraludon,,josephsneed
29,Ontaro29,,24,8 - 5 - 0drop,52.50%,47.84%,Dark Box Inteleon,,ontaro29
30,Cal Connor,,24,8 - 6 - 0,50.00%,49.25%,Dark Box Inteleon,,calcal206
31,BeastBoizTCG,,24,8 - 6 - 0,43.33%,42.00%,Urshifu Moltres,,beastboiztcg
32,channels05,,24,8 - 5 - 0drop,37.50%,50.31%,Umbreon Urshifu,,channels05
33,Trooper02,,23,7 - 5 - 2,53.00%,49.64%,Galarian Weezing,,trooper02
34,Lygars,,22,7 - 6 - 1,43.00%,49.29%,Duraludon,,lygars
35,iStark11,,22,7 - 6 - 1,39.00%,50.07%,Duraludon,,istark11
36,JeezyACG,,21,7 - 7 - 0,57.00%,44.27%,Mew Genesect,,jeezyacg
37,Benlulubro,,21,7 - 4 - 0drop,50.00%,51.50%,Mew Genesect,,benlulubro
38,Dylanfairchild1,,21,7 - 7 - 0,48.33%,45.83%,Mew Genesect,,dylanfairchild1
39,Liluwu,,21,7 - 7 - 0,42.67%,50.00%,Victini,,liluwu
40,Naruto Uzumaki,,21,7 - 5 - 0drop,41.67%,44.05%,Suicune Inteleon,,chrollo
41,irvintyes,,21,7 - 3 - 0drop,40.00%,50.00%,Calyrex Inteleon,,irvintyes
42,Lucas O,,21,7 - 5 - 0drop,30.00%,48.61%,Jolteon Inteleon,,aoldale
43,lindsayrosecup,,20,6 - 4 - 2drop,36.67%,48.33%,Jolteon Inteleon,,lindsayrosecup
44,popacrag,,19,6 - 6 - 1drop,50.00%,49.21%,Leafeon Inteleon,,popacrag
45,coronelzeta,,19,6 - 7 - 1,49.00%,43.13%,Victini Inteleon,,coronelzeta
46,grantm12,,18,6 - 4 - 0drop,60.00%,42.00%,Umbreon Urshifu,,grantm12
47,dejay,,18,6 - 5 - 0drop,56.67%,42.50%,Mew Genesect,,dejay
48,TJ Guistwite,,18,6 - 4 - 0drop,50.00%,37.50%,Duraludon,,grandtroll21
49,AgenZ main,,18,6 - 5 - 0drop,46.67%,44.37%,Umbreon Urshifu,,agenzmain99
50,wampall,,18,6 - 5 - 0drop,45.00%,51.11%,Urshifu Inteleon,,wampall
51,JacePatrick,,18,6 - 2 - 0drop,,,Mew Genesect,,jacepatrick
52,talonslame,,18,6 - 2 - 0drop,,,Zacian,,talonslame
53,RamboFW,,16,5 - 5 - 1drop,60.00%,48.00%,Jolteon Inteleon,,rambofw
54,maguimaster,,15,5 - 4 - 0,66.67%,53.96%,Jolteon Inteleon,,maguimaster
55,Despacito87,,15,5 - 4 - 0,64.69%,55.20%,Duraludon,,despacito87
56,Timanator619,,15,5 - 3 - 0drop,62.85%,56.43%,Mew Genesect,,timanator619
57,NRG Ely G,,15,5 - 4 - 0,62.65%,55.16%,Dark Box Inteleon,,ely7172
