Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,GODDO7,,39,13 - 4 - 0,,,Inteleon Inteleon,,goddo7
2,john wanggaard,,39,13 - 4 - 0,,,Duraludon,,ttoabyssal
3,Caleb Rogerson,,37,12 - 3 - 1,,,Mew Genesect,,memaanhc
4,André Chiasson,,35,11 - 3 - 2,,,Jolteon Inteleon,,andrechiasson
5,christianlabella,,34,11 - 3 - 1,,,Umbreon Urshifu,,christianlabella
6,Dobber2723,,31,10 - 4 - 1,,,Suicune Moltres,,dobber2723
7,Cal Connor,,31,10 - 4 - 1,,,Mew Genesect,,calcal206
8,jeanrcj,,31,10 - 4 - 1,,,Mew Genesect,,jeanrcj
9,FranciscoVargas,,30,10 - 4 - 0,51.67%,55.00%,Jolteon Inteleon,,franciscovargas
10,infernohippo,,30,10 - 4 - 0,46.00%,60.17%,Suicune Inteleon,,infernohippo
11,allezliverpool69,,30,10 - 4 - 0,43.67%,55.53%,Mew Genesect,,allezliverpool69
12,CometGaming,,30,10 - 4 - 0,40.67%,59.58%,Dark Box Inteleon,,cometgaming
13,Miguelote90,,29,9 - 3 - 2,58.00%,55.17%,Suicune Ludicolo,,miguelote90
14,CaRif7,,28,9 - 4 - 1,54.00%,58.40%,Mew Genesect,,carif7
15,Victor García,,28,9 - 4 - 1,50.00%,59.58%,Jolteon Inteleon,,vicgar08
16,Gabriel Pino Semedo,,27,9 - 5 - 0,64.00%,50.00%,Suicune Moltres,,gabrielsemedo
17,yakumaru72,,27,9 - 5 - 0,60.00%,51.03%,Rayquaza,,yakumaru72
18,PokeMuca,,27,9 - 5 - 0,59.67%,50.00%,Umbreon Urshifu,,pokemuca
19,Ajolt,,27,9 - 5 - 0,58.67%,46.67%,Dark Box Inteleon,,ajolt
20,cesarsanchex,,27,9 - 5 - 0,45.00%,49.33%,Gengar Inteleon,,cesarsanchex
21,TrittyCent,,25,8 - 4 - 1drop,66.67%,51.67%,Mew Genesect,,trittycent
22,Natestoess,,25,8 - 5 - 1,65.33%,47.17%,Umbreon Urshifu,,natestoess
23,Cheech927,,25,8 - 5 - 1,55.00%,51.04%,Urshifu Inteleon,,cheech927
24,Rudedogg83,,25,8 - 5 - 1,46.00%,54.17%,Mew Genesect,,rudedogg83
25,Alex Espinosa,,25,8 - 5 - 1,42.00%,49.62%,Mew Genesect,,espi008
26,Vina,,25,8 - 5 - 1,38.67%,50.58%,Mew Genesect,,vina
