Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Christian Stridiron,,24,8 - 1 - 0,,,Zacian,,ippokg
2,APackOfAlpacas,,22,7 - 1 - 1,,,Duraludon,,apackofalpacas
3,Anti,,16,5 - 2 - 1,,,Urshifu Inteleon,,anti
4,JosephSneed,,16,5 - 2 - 1,,,Duraludon,,josephsneed
5,PtcgUser002,,15,5 - 2 - 0,,,Urshifu Inteleon,,ptcguser002
6,zand97206,,13,4 - 2 - 1,,,Umbreon Urshifu,,zand97206
7,PerfectPenguin7,,13,4 - 2 - 1,,,Eternatus,,perfectpenguin7
8,Lustereclips,,13,4 - 2 - 1,,,Umbreon Urshifu,,lustereclips
9,Rvd16999,,13,4 - 1 - 1,51.39%,55.06%,Jolteon Inteleon,,rvd16999
10,mojelly302,,13,4 - 1 - 1,48.61%,53.12%,Jolteon Inteleon,,mojelly302
11,allezliverpool69,,12,4 - 2 - 0,54.44%,51.50%,Mew Genesect,,allezliverpool69
12,Duhskull,,12,4 - 2 - 0,52.78%,54.11%,Jolteon Inteleon,,duhskull
13,SuperSulcata,,12,4 - 2 - 0,52.78%,53.76%,Suicune Inteleon,,supersulcata
14,TCwhitedragon,,12,4 - 2 - 0,52.78%,52.47%,Duraludon,,tcwhitedragon
15,NRG Ely G,,12,4 - 2 - 0,49.72%,55.17%,Jolteon Inteleon,,ely7172
16,OnGaard,,9,3 - 3 - 0,58.33%,53.23%,Urshifu Moltres,,ongaard
17,Murbell11,,9,3 - 3 - 0,58.06%,52.58%,Mew Genesect,,murbell11
18,PokeMuca,,9,3 - 3 - 0,58.00%,51.03%,Mew Genesect,,pokemuca
19,Kenny Packala,,9,3 - 2 - 0drop,54.67%,53.73%,Suicune Moltres,,nightwatchgaming
20,Cobi Kawasaki,,9,3 - 2 - 0drop,53.33%,55.49%,Duraludon,,97kirby
21,john wanggaard,,9,3 - 3 - 0,52.50%,48.69%,Suicune Inteleon,,ttoabyssal
22,infernohippo,,9,3 - 3 - 0,47.22%,46.45%,Suicune Moltres,,infernohippo
23,JRed,,9,3 - 3 - 0,45.83%,43.33%,Other,,jred
24,Atomicsmash,,9,3 - 3 - 0,44.17%,48.71%,Jolteon,,atomicsmash
25,Christopher S,,9,3 - 3 - 0,43.06%,42.83%,Jolteon Inteleon,,hurriedgarlic66
26,DoryTheDork,,9,3 - 2 - 0drop,36.67%,50.29%,Mew Genesect,,dorythedork
27,Sharkapr,,7,2 - 2 - 1drop,44.67%,46.30%,Dark Box Inteleon,,sharkapr
28,VmaxChallenge,,6,2 - 2 - 0drop,60.83%,50.07%,Sandaconda Inteleon,,vmaxchallenge
29,Benlulubro,,6,2 - 2 - 0drop,57.08%,44.09%,Mew Genesect,,benlulubro
30,ChromePvP,,6,2 - 2 - 0drop,52.08%,50.09%,Leafeon Moltres,,chromepvp
31,Doubllez,,6,2 - 3 - 0drop,49.33%,51.79%,Mew Genesect,,doubllez
32,Livvylance,,6,2 - 2 - 0drop,48.33%,47.83%,Mew Genesect,,livvylance
33,Goolmana,,6,2 - 3 - 0drop,48.00%,46.55%,Jolteon,,goolmana
34,Daniel C,,6,2 - 3 - 0drop,45.33%,49.03%,Zacian Moltres,,krabsisa
35,7hRilla2,,6,2 - 4 - 0,43.06%,44.09%,Dark Box Inteleon,,7hrilla2
36,AndresJgames,,6,2 - 4 - 0,40.28%,44.66%,Mew Genesect,,andresjgames
37,lindsayrosecup,,6,2 - 2 - 0drop,39.58%,54.82%,Dark Box Inteleon,,lindsayrosecup
38,iStark11,,6,2 - 4 - 0,36.11%,44.72%,Duraludon,,istark11
39,Garry Breech,,4,1 - 4 - 1,43.06%,42.10%,Dark Box Inteleon,,garebear2006
40,Cal Connor,,3,1 - 1 - 0drop,83.33%,52.64%,Urshifu Inteleon,,calcal206
41,ProfesorJJ,,3,1 - 3 - 0drop,62.50%,51.06%,Jolteon Inteleon,,profesorjj
42,berganballer30,,3,1 - 2 - 0drop,61.11%,46.67%,Leafeon Moltres,,berganballer30
43,EydoKiller,,3,1 - 2 - 0drop,55.56%,46.46%,Mew Genesect,,eydokiller
44,zattack10,,3,1 - 2 - 0drop,52.78%,49.07%,Duraludon,,zattack10
45,Michael Johnson,,3,1 - 2 - 0drop,50.56%,48.81%,Duraludon,,sneezey
46,Killvious,,3,1 - 2 - 0drop,50.56%,47.94%,Suicune Ludicolo,,killvious
47,wmoralesc104,,3,1 - 2 - 0drop,50.00%,46.46%,Umbreon Urshifu,,wmoralesc104
48,Yerffej92,,3,1 - 5 - 0,48.61%,43.84%,Rapid Strike Urshifu,,yerffej92
49,Dlandis1029,,3,1 - 2 - 0drop,45.00%,45.00%,Calyrex Inteleon,,dlandis1029
50,Diskodad,,3,1 - 5 - 0,38.61%,44.69%,Mad Party,,diskodad
51,Max Maier,,3,1 - 5 - 0,34.67%,43.22%,Duraludon,,maxwmaier
52,Jade Applegate,,0,0 - 2 - 0drop,66.67%,56.39%,Dark Box Inteleon,,sparklysilvally
53,channels05,,0,0 - 1 - 0drop,66.67%,49.72%,Duraludon,,channels05
54,AyNunez,,0,0 - 1 - 0drop,50.00%,52.08%,Suicune Ludicolo,,aynunez
55,mooimmo,,0,0 - 1 - 0drop,40.00%,45.33%,Dark Box Inteleon,,mooimmo
56,John Konkle,,0,0 - 3 - 0drop,36.11%,46.22%,Gengar,,jk338
57,Mario Vasquez,,0,0 - 6 - 0,34.44%,43.12%,Jolteon Inteleon,,pokeyonko
