Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Christian Jaramillo,,34,11 - 1 - 1,,,Duraludon,,setokaiba1308
2,Nagii,,31,10 - 2 - 1,,,Dark Box Inteleon,,nagii
3,Cameron Padilla,,27,9 - 3 - 0,,,Mew Genesect,,camycameron
4,EydoKiller,,27,9 - 3 - 0,,,Mew Genesect,,eydokiller
5,espel,,25,8 - 2 - 1,,,Mew Genesect,,espel
6,Benlulubro,,24,8 - 3 - 0,,,Mew Genesect,,benlulubro
7,Tathenz,,24,8 - 3 - 0,,,Urshifu Inteleon,,tathenz
8,Jahoostis,,22,7 - 3 - 1,,,Calyrex Inteleon,,jahoostis
9,Rezolution,,25,8 - 1 - 1,,,Duraludon,,rezolution
10,iStark11,,23,7 - 1 - 2,,,Jolteon Inteleon,,istark11
11,EvanCampbell94,,22,7 - 2 - 1,,,Mew Genesect,,evancampbell94
12,mille1216,,21,7 - 3 - 0,,,Jolteon Inteleon,,mille1216
13,Brandon Johnson,,21,7 - 3 - 0,,,Duraludon,,lordbj101
14,yakumaru72,,21,7 - 3 - 0,,,Umbreon Urshifu,,yakumaru72
15,WarKillah,,21,7 - 3 - 0,,,Umbreon Urshifu,,warkillah
16,sencha,,21,7 - 3 - 0,,,Mew Genesect,,kirikisencha
17,Jefersonsilva,,19,6 - 2 - 1,48.40%,55.00%,Sableye Inteleon,,jefersonsilva
18,rain,,18,6 - 3 - 0,64.81%,55.91%,Suicune Inteleon,,rain
19,Cesar G,,18,6 - 3 - 0,61.73%,55.48%,Jolteon Inteleon,,sternseezer
20,Nicholas Homa,,18,6 - 3 - 0,59.88%,58.47%,Calyrex Inteleon,,aquiladisicilia
21,allezliverpool69,,18,6 - 3 - 0,59.38%,55.25%,Mew Genesect,,allezliverpool69
22,bujijia1105,,18,6 - 3 - 0,59.21%,54.35%,Single Strike Seviper,,bujijia1105
23,tostycr36,,18,6 - 3 - 0,58.66%,58.27%,Mew Genesect,,tostycr36
24,Dominick Schroyens,,18,6 - 3 - 0,58.46%,58.63%,Urshifu Inteleon,,dominicks
25,Jonnysniper,,18,6 - 3 - 0,57.58%,53.33%,Gengar,,jonnysniper
26,André Chiasson,,18,6 - 3 - 0,56.46%,54.12%,Jolteon Inteleon,,andrechiasson
27,jgarcia1757,,18,6 - 3 - 0,55.71%,56.04%,Victini,,jgarcia1757
28,Juan Velez,,18,6 - 3 - 0,55.37%,52.51%,Mew Genesect,,xdjuanma
29,Rvd16999,,18,6 - 3 - 0,55.19%,52.36%,Suicune Moltres,,rvd16999
30,Carson01,,18,6 - 3 - 0,55.11%,56.40%,Mew Genesect,,carson01
31,Dobber2723,,18,6 - 3 - 0,54.94%,55.22%,Sirfetch'd Moltres,,dobber2723
32,NRG Ely G,,18,6 - 3 - 0,53.40%,51.09%,Sirfetch'd Moltres,,ely7172
33,jserhan,,18,6 - 3 - 0,51.98%,51.77%,Suicune Ludicolo,,jserhan
34,UltraNko,,18,6 - 3 - 0,51.05%,52.91%,Mew Genesect,,ultranko
35,irvintyes,,18,6 - 3 - 0,49.68%,52.91%,Dark Box Inteleon,,irvintyes
36,Travis T,,18,6 - 3 - 0,47.62%,52.80%,Mew Genesect,,travo112
37,MasterLeBui,,15,5 - 3 - 0drop,60.76%,53.67%,Victini,,masterlebui
38,GODDO7,,15,5 - 4 - 0,59.57%,56.84%,Inteleon,,goddo7
39,peke,,15,5 - 4 - 0,58.46%,55.80%,Mew Genesect,,peke
40,Zach Lesage,,15,5 - 4 - 0,56.48%,53.91%,Gengar,,zlesage
41,Naruto Uzumaki,,15,5 - 4 - 0,53.84%,53.87%,Blaziken,,chrollo
42,DragonL0rD,,15,5 - 4 - 0,53.09%,50.31%,Suicune Moltres,,dragonl0rd
43,grantm12,,15,5 - 4 - 0,50.75%,50.68%,Umbreon Urshifu,,grantm12
44,Alex Cole,,15,5 - 3 - 0drop,50.68%,54.24%,Mew Genesect,,pandaboss58
45,road,,15,5 - 4 - 0,50.28%,53.76%,Mew Genesect,,road
46,Dadmistaken,,15,5 - 4 - 0,49.48%,52.31%,Duraludon,,dadmistaken
47,João  Pires,,15,5 - 3 - 0drop,48.73%,53.56%,Mew Genesect,,luisao99
48,Diegofranche,,15,5 - 4 - 0,48.28%,51.49%,Zacian,,diegofranche
49,CoolPillow22,,15,5 - 4 - 0,47.81%,53.05%,Gengar,,coolpillow22
50,u5d,,15,5 - 4 - 0,45.34%,49.83%,Duraludon,,u5d
51,AndresJgames,,15,5 - 4 - 0,44.12%,49.05%,Mew Genesect,,andresjgames
52,TJ Guistwite,,15,5 - 3 - 0drop,43.19%,53.65%,Duraludon,,grandtroll21
53,Thomas Harvey,,15,5 - 4 - 0,37.19%,51.85%,Sandaconda Inteleon,,csffarm
54,BeastBoizTCG,,13,4 - 3 - 1drop,55.01%,50.01%,Zacian,,beastboiztcg
55,Louisianimal504,,13,4 - 4 - 1,45.34%,47.22%,Duraludon,,louisianimal504
56,Orlando K,,13,4 - 4 - 1,44.57%,53.06%,Umbreon Urshifu,,nanomerida
57,mozwen,,12,4 - 4 - 0drop,63.19%,54.77%,Umbreon Urshifu,,mozwen
58,Hussemon,,12,4 - 4 - 0drop,59.17%,53.66%,Eternatus,,hussemon
59,APackOfAlpacas,,12,4 - 3 - 0drop,59.13%,54.98%,Jolteon Inteleon,,apackofalpacas
60,rhhaeder,,12,4 - 3 - 0drop,58.73%,52.46%,Hoopa Moltres,,rhhaeder
61,Gumilakilla,,12,4 - 4 - 0drop,56.25%,50.14%,Mew Genesect,,gumilakilla
62,Bruinboy,,12,4 - 5 - 0,56.17%,50.04%,Eternatus,,bruinboy
63,topherton,,12,4 - 4 - 0drop,53.26%,54.51%,Dark Box Inteleon,,topherton
64,adrielichu,,12,4 - 5 - 0,52.16%,50.51%,Jolteon Inteleon,,adrielichu
65,Lpc1994,,12,4 - 3 - 0drop,51.16%,50.46%,Urshifu Inteleon,,lpc1994
66,christianlabella,,12,4 - 4 - 0drop,50.46%,49.81%,Umbreon Urshifu,,christianlabella
67,Lucas O,,12,4 - 4 - 0drop,50.37%,51.92%,Sirfetch'd Moltres,,aoldale
68,ProfesorJJ,,12,4 - 4 - 0drop,49.65%,52.52%,Suicune Moltres,,profesorjj
69,Hypostition,,12,4 - 2 - 0drop,46.96%,54.09%,Duraludon,,hypostition
70,SithMikkel96,,12,4 - 4 - 0drop,45.83%,47.86%,Jolteon Inteleon,,sithmikkel96
71,Joe Sturino,,12,4 - 3 - 0drop,44.96%,52.01%,Blissey,,biscuithat
72,kyvndvntr,,12,4 - 5 - 0,40.42%,46.89%,Galarian Weezing,,kyvndvntr
73,Cheech927,,10,3 - 3 - 1drop,51.39%,48.01%,Duraludon,,cheech927
74,PokeEmmi,,10,3 - 5 - 1,43.69%,45.45%,Umbreon Urshifu,,pokeemmi
75,Sharkapr,,9,3 - 1 - 0drop,59.42%,60.00%,Suicune Moltres,,sharkapr
76,MellowMagikarp,,9,3 - 2 - 0drop,59.11%,51.56%,Jolteon Inteleon,,mellowmagikarp
