Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,mayamatu,,24,8 - 2 - 0,,,Stonjourner,,mayamatu
2,Kenny Packala,,23,7 - 1 - 2,,,Mew Genesect,,nightwatchgaming
3,Jahoostis,,19,6 - 2 - 1,,,Calyrex Inteleon,,jahoostis
4,crvenazvezd4,,18,6 - 3 - 0,,,Zacian,,crvenazvezd4
5,Christian Stridiron,,18,6 - 2 - 0,,,Gengar,,ippokg
6,CLS084449,,17,5 - 1 - 2,,,Dark Box Inteleon,,cls084449
7,Cal Connor,,16,5 - 2 - 1,,,Calyrex Inteleon,,calcal206
8,Jade Applegate,,15,5 - 3 - 0,,,Mew Genesect,,sparklysilvally
9,pjwitusik,,13,4 - 2 - 1,,,Sylveon,,pjwitusik
10,zlesage,,13,4 - 2 - 1,,,Mew Genesect,,zlesage
11,Natagorn1990,,12,4 - 3 - 0,,,Sylveon,,natagorn1990
12,Travis T,,12,4 - 3 - 0,,,Mew Genesect,,travo112
13,lindsayrosecup,,9,3 - 3 - 0,54.17%,50.60%,Jolteon Inteleon,,lindsayrosecup
14,Danreyes27,,9,3 - 3 - 0,52.78%,49.74%,Dark Box Inteleon,,danreyes27
15,AndresJgames,,9,3 - 3 - 0,50.00%,49.49%,Mew Genesect,,andresjgames
16,APackOfAlpacas,,9,3 - 3 - 0,50.00%,48.23%,Jolteon Inteleon,,apackofalpacas
17,mkirby,,9,3 - 3 - 0,47.22%,49.46%,Gengar,,mkirby
18,7hRilla2,,9,3 - 3 - 0,47.22%,46.94%,Gengar,,7hrilla2
19,TrebDoggo,,9,3 - 3 - 0,41.67%,50.57%,Suicune Moltres,,trebdoggo
20,rexdog,,6,2 - 4 - 0,63.89%,43.75%,Leafeon Inteleon,,rexdog
21,Cyrus Davis,,6,2 - 4 - 0,58.33%,48.23%,Other,,draydon
22,Memorroide69,,6,2 - 4 - 0,48.61%,45.45%,Mew Genesect,,memorroide69
23,PokeDarkCT,,6,2 - 4 - 0,40.00%,45.19%,Zacian,,pokedarkct
24,Rvd16999,,3,1 - 2 - 0drop,72.22%,47.22%,Suicune Moltres,,rvd16999
25,Selesn777,,3,1 - 2 - 0drop,50.00%,48.61%,Gengar,,selesn777
26,memejesus7099,,3,1 - 3 - 0drop,47.92%,44.58%,Jolteon Inteleon,,memejesus7099
27,Lime,,3,1 - 3 - 0drop,47.92%,43.94%,Zacian,,lime
28,Orlando K,,3,1 - 4 - 0drop,46.67%,48.28%,Mad Party,,nanomerida
29,Garry Breech,,3,1 - 3 - 0drop,45.83%,46.25%,Suicune Inteleon,,garebear2006
30,Chomper2204,,3,1 - 3 - 0drop,43.75%,47.73%,Shadow Rider Calyrex,,chomper2204
31,channels05,,0,0 - 1 - 0drop,66.67%,45.83%,Duraludon,,channels05
32,Anti,,0,0 - 3 - 0drop,66.67%,42.13%,Sylveon,,anti
33,Joshua Sutherland,,0,0 - 3 - 0drop,55.56%,47.06%,Mew Genesect,,joshuasutherland21
34,Duhskull,,0,0 - 1 - 0drop,50.00%,54.17%,Jolteon Inteleon,,duhskull
35,Lpc1994,,0,0 - 1 - 0drop,50.00%,41.67%,Gengar,,lpc1994
36,Atomicsmash,,0,0 - 2 - 0drop,37.50%,47.50%,Other,,atomicsmash
