Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Vaughn,,22,7 - 1 - 1,,,Arceus Flying Pikachu,,vaughn
2,Grant Hays,,18,6 - 3 - 0,,,Arceus Duraludon,,granthays
3,Victor De Velasco,,16,5 - 2 - 1,,,Rayquaza LZ Box,,victor91dv
4,AdrianK,,15,5 - 3 - 0,,,Vikavolt,,adriank
5,tyanpon,,14,4 - 1 - 2,,,Eternatus,,tyanpon
6,Richard  Ruiz,,14,4 - 1 - 2,,,Regis,,vartancaftel
7,Iyla Sutherland,,13,4 - 2 - 1,,,Eternatus,,joshuasutherland21
8,Goomy35,,13,4 - 2 - 1,,,Mew Genesect,,goomy35
9,SlappaBishop,,12,4 - 2 - 0,51.67%,53.56%,Regis,,slappabishop
10,mkirby,,12,4 - 2 - 0,45.56%,54.81%,Rayquaza LZ Box,,mkirby
11,TypicalLegend,,9,3 - 3 - 0,65.28%,51.56%,Rapid Strike Malamar,,typicallegend
12,hmkt1110,,9,3 - 3 - 0,61.11%,51.83%,Palkia Inteleon,,hmkt1110
13,BlakeM,,9,3 - 3 - 0,52.78%,51.60%,Lost Zone Box,,blakem
14,snaketyripl2502,,9,3 - 3 - 0,46.33%,49.23%,Lugia Archeops,,snaketyripl2502
15,Cal Connor,,6,2 - 3 - 0drop,61.67%,54.67%,Lugia Archeops,,calcal206
16,Jrwinter,,6,2 - 2 - 0drop,58.33%,49.92%,Mew Genesect,,jrwinter
17,Julian Alvarez,,6,2 - 4 - 0,55.00%,49.23%,Mew Genesect,,shoromarmota
18,LiamHalliburton,,6,2 - 1 - 0drop,50.00%,60.12%,Vikavolt,,liamhalliburton
19,Brandon J,,6,2 - 2 - 0drop,50.00%,55.29%,Arceus Inteleon,,lordbj101
20,Magikarp420,,6,2 - 4 - 0,46.94%,47.17%,Rayquaza LZ Box,,magikarp420
21,LuvvAis,,6,2 - 3 - 0drop,46.67%,50.33%,Lugia Archeops,,luvvais
22,frank zapata,,6,2 - 4 - 0,40.28%,49.26%,Mew Genesect,,frankzapata
23,Patrick Wall,,6,2 - 2 - 0drop,39.58%,52.65%,Arceus Flying Pikachu,,teamabra87
24,PokeFellas,,3,1 - 2 - 0drop,58.33%,52.31%,Mew Genesect,,pokefellas
25,AVARIN JR VILLARREAL,,3,1 - 2 - 0drop,53.33%,52.88%,Lugia Archeops,,avarinjr88
26,VmaxSkittlez,,3,1 - 2 - 0drop,41.67%,49.88%,Arceus Goodra,,vmaxskittlez
27,Capcrew,,3,1 - 3 - 0drop,39.58%,45.19%,Arceus Duraludon,,capcrew
28,NRG mooimmo,,3,1 - 1 - 0drop,37.50%,46.19%,Weezing Inteleon,,mooimmo
29,Bruno Paredes,,0,0 - 2 - 0drop,75.00%,53.70%,Blissey,,setheboo
30,Afrojarritos,,0,0 - 2 - 0drop,70.83%,54.72%,Lost Zone Box,,afrojarritos
31,wurmundmaus,,0,0 - 3 - 0drop,44.44%,53.02%,Other,,wurmundmaus
32,zattack10,,0,0 - 3 - 0drop,41.11%,42.31%,Mew Genesect,,zattack10
33,oatmyik,,0,0 - 4 - 0drop,37.08%,46.30%,Lugia Archeops,,oatmyik
