Place,Name,Country,Record,Deck,List,Player ID
1,APackOfAlpacas,,6 - 0 - 0,Palkia Inteleon,,apackofalpacas
2,Smart TCG,,6 - 2 - 0,Kyurem Palkia,,gabrielsmarttcg
3,jh9wang,,4 - 2 - 0,Arceus Duraludon,,jh9wang
4,. Medi,,6 - 2 - 0,Shadow Rider Calyrex,,owohunt
5,Zach Lesage,,4 - 2 - 0,Kyurem Palkia,,zlesage
5,Jackson H,,3 - 2 - 0,Giratina,,blueskies
7,Vina,,4 - 2 - 0,Arceus Giratina,,vina
7,codmicgra,,4 - 2 - 0,Amazing Reshiram,,codmicgra
9,HazeyCats,,2 - 2 - 0,Shadow Rider Calyrex,,hazeycats
9,Cal Connor,,2 - 2 - 0,Kyurem Palkia,,calcal206
9,rixsterexe,,2 - 2 - 0,Arceus,,rixsterexe
9,Huntiemon,,3 - 2 - 0,Regis,,huntiemon
13,Iori127,,2 - 2 - 0,Lost Zone Box,,iori127
13,Alex C,,2 - 2 - 0,Palkia Inteleon,,pandaboss58
13,iStark11,,2 - 2 - 0,Other,,istark11
13,Merk43,,2 - 2 - 0,Arceus Flying Pikachu,,merk43
17,Anti,,1 - 2 - 0,Lost Zone Box,,anti
17,bujijia1105,,1 - 2 - 0,Vikavolt,,bujijia1105
17,heavyarms9898,,1 - 2 - 0,Arceus,,heavyarms9898
17,zattack10,,1 - 2 - 0,Mew Genesect,,zattack10
17,pokeoh09,,1 - 2 - 0,Arceus Lycanroc,,pokeoh09
17,Michele  Babin,,1 - 2 - 0,Giratina,,michelebabin
17,Vaughn,,1 - 2 - 0,Kyurem Palkia,,vaughn
17,Mhall1207,,1 - 2 - 0,Hisuian Zoroark,,mhall1207
25,rayhan haidar,,0 - 2 - 0,Hisuian Goodra,,shmkzhan
25,Dragoon170000,,0 - 2 - 0,Other,,dragoon170000
25,Tcat0101,,0 - 2 - 0,Lost Zone Box,,tcat0101
25,Proto1551,,0 - 2 - 0,Rotom,,proto1551
