Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,peke,,22,7 - 1 - 1,,,Blissey,,peke
2,Bonsanto,,19,6 - 2 - 1,,,Hisuian Goodra,,bonsanto
3,fasttz,,16,5 - 2 - 1,,,Mew Genesect,,fasttz
4,jamesfromhk,,15,5 - 3 - 0,,,Lugia Archeops,,jamesfromhk
5,Daniel777,,14,4 - 1 - 2,,,Lugia Archeops,,daniel777
6,Dillon M,,14,4 - 1 - 2,,,Lugia Archeops,,chippers41
7,liraluigy,,13,4 - 2 - 1,,,Regis,,liraluigy
8,kaichichichi,,13,4 - 2 - 1,,,Regis,,kaichichichi
9,TheRicardoToddy,,12,4 - 2 - 0,55.56%,56.55%,Mew Genesect,,thericardotoddy
10,kenneth kinsman,,12,4 - 2 - 0,52.78%,53.80%,Lugia Archeops,,excalibur1478
11,Gabriel Fernandez {raio120},,12,4 - 2 - 0,52.78%,51.77%,Shadow Rider Calyrex,,raio120
12,Magikarp420,,12,4 - 2 - 0,47.22%,52.35%,Lost Zone Box,,magikarp420
13,Joe Sturino,,12,4 - 2 - 0,45.83%,53.71%,Eternatus,,biscuithat
14,Ven,,12,4 - 2 - 0,38.89%,55.45%,Arceus Goodra,,ven
15,Peter Mancuso,,9,3 - 3 - 0,62.22%,52.57%,Mew Genesect,,petermancuso
16,Emanuel E,,9,3 - 3 - 0,59.72%,50.76%,Lost Zone Box,,xpredate
17,DaniusTarquinius,,9,3 - 3 - 0,53.00%,49.69%,Other,,daniustarquinius
18,Asher8282879,,9,3 - 3 - 0,51.11%,51.72%,Lugia Archeops,,asher8282879
19,Halokid41598,,9,3 - 3 - 0,50.00%,54.78%,Palkia,,halokid41598
20,mkirby,,9,3 - 3 - 0,50.00%,51.30%,Regis,,mkirby
21,NickyFranchise,,9,3 - 3 - 0,47.22%,52.90%,Arceus Regidrago,,nickyfranchise
22,PokeEmmi,,9,3 - 3 - 0,45.83%,48.18%,Lost Zone Box,,pokeemmi
23,tsubatsuba2022,,7,2 - 3 - 1,42.78%,51.49%,Palkia Inteleon,,tsubatsuba2022
24,Ant4391,,6,2 - 2 - 0drop,60.42%,57.54%,Lugia Archeops,,ant4391
25,Ngshockley,,6,2 - 4 - 0,55.56%,48.04%,Mew Genesect,,ngshockley
26,pjwitusik,,6,2 - 2 - 0drop,50.00%,49.92%,Lugia Archeops,,pjwitusik
27,centsrus,,6,2 - 4 - 0,48.00%,47.67%,Lugia Archeops,,centsrus
28,TheShinyBuizel,,6,2 - 3 - 0drop,45.00%,51.49%,Lost Zone Box,,theshinybuizel
29,eevee08,,6,2 - 4 - 0,41.67%,48.12%,Lugia Archeops,,eevee08
30,Savid400,,3,1 - 2 - 0drop,75.00%,47.69%,Arceus,,savid400
31,Jacob Walker,,3,1 - 3 - 0drop,58.33%,51.14%,Eternatus,,jaybob952
32,Sota S,,3,1 - 2 - 0drop,58.33%,51.04%,Arceus Duraludon,,shishiya
33,Moxyroxie,,3,1 - 3 - 0drop,58.33%,48.15%,Lost Zone Box,,moxyroxie
34,MatiEngel,,3,1 - 3 - 0drop,56.25%,47.94%,Alolan Vulpix,,matiengel
35,ttuoscar,,3,1 - 5 - 0,55.00%,48.83%,Arceus Goodra,,ttuoscar
36,Lucas Mancuso,,3,1 - 3 - 0drop,47.92%,49.49%,Blissey,,lucasm7911
37,YoongKaiJian,,3,1 - 2 - 0drop,41.67%,55.95%,Lugia Archeops,,yoongkaijian
38,Gloose,,0,0 - 2 - 0drop,58.33%,52.78%,Arceus Duraludon,,gloose
39,Iyla Sutherland,,0,0 - 2 - 0drop,58.33%,44.44%,Eternatus,,joshuasutherland21
40,Vaughn,,0,0 - 2 - 0drop,45.83%,45.00%,Lost Zone Box,,vaughn
41,Adam222,,0,0 - 4 - 0drop,43.75%,49.52%,Regis,,adam222
