Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Taylor Lowe,,23,7 - 0 - 2,,,Lugia Archeops,,lowet03
2,Vaughn,,19,6 - 2 - 1,,,Lugia Archeops,,vaughn
3,NRG allezliverpool,,18,6 - 2 - 0,,,Giratina LZ Box,,allezliverpool69
4,JavaleCole,,18,6 - 2 - 0,,,Lugia Archeops,,javalecole
5,EvanCampbell94,,13,4 - 2 - 1,,,Lugia Archeops,,evancampbell94
6,VolcanTurtleTCG,,13,4 - 2 - 1,,,Arceus Duraludon,,volcanturtletcg
7,HazeyCats,,13,4 - 2 - 1,,,Shadow Rider Calyrex,,hazeycats
8,Capcrew,,12,4 - 3 - 0,,,Arceus Duraludon,,capcrew
9,Cal Connor,,12,4 - 2 - 0,48.61%,55.68%,Lugia Archeops,,calcal206
10,Duhskull,,12,4 - 2 - 0,45.56%,54.76%,Lost Zone Box,,duhskull
11,Leandro Fernandes,,10,3 - 2 - 1,59.72%,52.47%,Lost Zone Box,,leandropringos
12,yakumaru72,,9,3 - 1 - 0drop,70.83%,55.83%,Mew Genesect,,yakumaru72
13,Nicholas Homa,,9,3 - 3 - 0,62.50%,53.13%,Umbreon Urshifu,,aquiladisicilia
14,Luke Morsa,,9,3 - 1 - 0drop,54.17%,58.73%,Lost Zone Box,,celiosnetwork
15,Sorethumbcollector,,9,3 - 3 - 0,54.17%,50.97%,Samurott Weezing,,sorethumbcollector
16,Sanjay7s,,9,3 - 1 - 0drop,52.08%,57.00%,Mew Genesect,,sanjay7s
17,Austin Miller,,9,3 - 3 - 0,48.61%,55.89%,Lugia Archeops,,mmasterdaddy
18,Coolfatkid000,,9,3 - 3 - 0,48.61%,51.67%,Lugia Archeops,,coolfatkid000
19,Kara Thea,,9,3 - 3 - 0,43.06%,56.61%,Shadow Rider Calyrex,,undauntedhound
20,Grant Hays,,8,2 - 2 - 2,41.67%,47.05%,Yveltal Control,,granthays
21,EXfiveDaiveR,,7,2 - 3 - 1,56.67%,49.73%,Giratina LZ Box,,exfivedaiver
22,DigitalDoctor,,7,2 - 3 - 1,41.39%,48.66%,Arceus Duraludon,,digitaldoctor
23,mitchmaster24,,6,2 - 2 - 0drop,70.83%,51.60%,Mew Genesect,,mitchmaster24
24,Hambyyy,,6,2 - 2 - 0drop,60.42%,50.33%,Goodra LZ Box,,hambyyy
25,wurmundmaus,,6,2 - 2 - 0drop,52.08%,53.51%,Other,,wurmundmaus
26,NickyFranchise,,6,2 - 3 - 0drop,52.08%,50.88%,Zacian,,nickyfranchise
27,reckz190,,6,2 - 2 - 0drop,52.08%,50.28%,Lugia Archeops,,reckz190
28,Dynamite,,6,2 - 3 - 0drop,51.67%,51.48%,Eternatus,,dynamite
29,camcho1892,,6,2 - 4 - 0,48.61%,48.55%,Kyurem Palkia,,camcho1892
30,eevee08,,6,2 - 2 - 0drop,45.83%,55.73%,Lugia Archeops,,eevee08
31,jprivett832poke,,4,1 - 4 - 1,50.00%,45.34%,Calyrex Inteleon,,jprivett832poke
32,Max Maier,,3,1 - 1 - 0drop,62.50%,57.29%,Duraludon,,maxwmaier
33,APackOfAlpacas,,3,1 - 2 - 0drop,57.78%,52.60%,Zacian,,apackofalpacas
34,Nocturne,,3,1 - 3 - 0drop,54.17%,49.52%,Other,,nocturne
35,TheKitKatProject,,3,1 - 3 - 0drop,54.17%,45.74%,Regis,,thekitkatproject
36,goomy47,,3,1 - 2 - 0drop,52.78%,51.39%,Urshifu Inteleon,,goomy47
37,Brandon J,,3,1 - 2 - 0drop,52.78%,48.08%,Vikavolt,,lordbj101
38,WobBoss,,3,1 - 2 - 0drop,50.00%,50.00%,Arceus Flying Pikachu,,wobboss
39,Kashvinder Singh,,3,1 - 2 - 0drop,50.00%,49.48%,Zoroark Box,,kashmann27
40,IronhideOO7,,3,1 - 3 - 0drop,47.50%,47.40%,Mew Genesect,,ironhideoo7
41,DarwinNunez,,3,1 - 1 - 0drop,33.33%,55.71%,Galarian Weezing,,darwinnunez
42,Iyla Sutherland,,0,0 - 1 - 0drop,75.00%,52.78%,Eternatus,,joshuasutherland21
43,KyleKorver,,0,0 - 3 - 0drop,55.56%,49.90%,Other,,kylekorver
44,Luna Y,,0,0 - 3 - 0drop,55.00%,53.33%,Lost Zone Box,,pikachu369248
45,FalconInAFedora,,0,0 - 1 - 0drop,50.00%,45.83%,Lugia Archeops,,falconinafedora
46,LuisDiiiEnLaFama,,0,0 - 1 - 0drop,50.00%,33.33%,Regis,,luisdiiienlafama
47,Rvd16999,,0,0 - 2 - 0drop,41.67%,50.00%,Giratina LZ Box,,rvd16999
48,infernohippo,,0,0 - 2 - 0drop,25.00%,50.83%,Arceus Flying Pikachu,,infernohippo
