Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Andrew Hedrick,,42,13 - 1 - 3,,,Arceus Inteleon,,pokehawkeye
2,Fitypaldis,,37,12 - 4 - 1,,,Mew Genesect,,fitypaldis
3,Ryo Kaneko,,35,11 - 3 - 2,,,Arceus Inteleon,,ryo0205
4,Jacob Weber,,33,11 - 5 - 0,,,Arceus Inteleon,,jwebz
5,OnGaard,,34,11 - 3 - 1,,,Dark Inteleon + Arceus,,ongaard
6,Victor García,,32,10 - 3 - 2,,,Arceus Inteleon,,vicgar08
7,Gabe Shumway,,31,10 - 4 - 1,,,Gengar,,gabeshumway
8,APackOfAlpacas,,31,10 - 4 - 1,,,Arceus Inteleon,,apackofalpacas
9,TimDanklin,,29,9 - 3 - 2,58.00%,53.40%,Other,,timdanklin
10,JorgeR,,29,9 - 3 - 2,54.00%,55.80%,Mew Genesect,,jorger
11,Bbbbbingo,,28,9 - 4 - 1,53.00%,49.05%,Arceus Charizard,,bbbbbingo
12,Angel22Aranibar,,28,9 - 4 - 1,51.00%,59.32%,Mew Genesect,,angel22aranibar
13,Joshua Sutherland,,28,9 - 4 - 1,51.00%,55.24%,Jolteon Inteleon,,joshuasutherland21
14,FabrizioINSI10,,28,9 - 4 - 1,45.00%,52.00%,Mew Genesect,,fabrizioinsi10
15,MasterLeBui,,27,9 - 5 - 0,51.00%,54.13%,Calyrex Inteleon,,masterlebui
16,DonLmao,,27,9 - 5 - 0,35.00%,52.73%,Rapid Strike Malamar,,donlmao
17,Mholts,,25,8 - 5 - 1,62.00%,49.79%,Mew Genesect,,mholts
18,Zisco03,,25,8 - 5 - 1,57.00%,48.40%,Gengar,,zisco03
19,Mikela G,,25,8 - 5 - 1,51.00%,48.48%,Arceus Inteleon,,realcloudberry
20,Axel Godoy,,25,8 - 5 - 1,42.00%,51.96%,Dragapult Inteleon,,raxelgt
21,JamesCox190,,24,8 - 3 - 0drop,75.00%,56.00%,Mew Genesect,,jamescox190
22,mrtech,,24,8 - 6 - 0,52.00%,46.20%,Rapid Strike Malamar,,mrtech
23,fable,,22,7 - 6 - 1,50.00%,42.75%,Suicune Ludicolo,,fable
24,Jonathan Patricio Ch.,,21,7 - 5 - 0drop,50.00%,42.00%,Umbreon Urshifu,,jonah2705
