Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Vaetna,,41,13 - 2 - 2,,,Mew Genesect,,vaetna
2,Juan T,,38,12 - 3 - 2,,,Inteleon Urshifu,,evanbastian
3,Caleb Rogerson,,36,12 - 4 - 0,,,Lost Zone Box,,memaanhc
4,PokeEmmi,,34,11 - 4 - 1,,,Fusion Mew,,pokeemmi
5,facufacio,,32,10 - 3 - 2,,,Inteleon Urshifu,,facufacio
6,Cal Connor,,32,10 - 3 - 2,,,Lost Zone Box,,calcal206
7,Nathan Ginsburg,,32,10 - 3 - 2,,,Chien-Pao Baxcalibur,,ngtcg
8,ReddHarry,,31,10 - 4 - 1,,,Arceus Giratina,,reddharry
9,Echelon,,30,10 - 4 - 0,58.00%,53.13%,Gardevoir,,echelon
10,kingslowking,,30,10 - 4 - 0,56.00%,58.47%,Lost Zone Box,,kingslowking
11,r2d2REC,,29,9 - 3 - 2,67.00%,49.10%,Lugia Archeops,,r2d2rec
12,ASYVex Y,,29,9 - 3 - 2,55.00%,50.97%,Gardevoir,,yaquemetaugusto
13,haohao Gms,,29,9 - 3 - 2,52.67%,51.81%,Chien-Pao Baxcalibur,,lairenhao
14,Joe Higashi,,28,9 - 4 - 1,48.00%,48.73%,Lost Box Charizard,,rotaryrocket
15,Jacob Stillwell,,27,9 - 5 - 0,66.67%,48.41%,Lugia Archeops,,jakesterisit
16,Neo Erlandsson,,27,9 - 5 - 0,51.00%,49.85%,Fusion Mew,,neoerlandsson
17,TCC Jerrick G,,27,9 - 5 - 0,35.00%,54.33%,Gardevoir,,jmila7
18,Oivlis77,,27,9 - 5 - 0,33.33%,49.71%,Other,,oivlis77
19,Dombomb1120,,25,8 - 5 - 1,53.00%,50.33%,Lost Zone Box,,dombomb1120
20,wassy15,,25,8 - 5 - 1,52.00%,49.06%,Chien-Pao Baxcalibur,,wassy15
21,ksombrinha,,25,8 - 5 - 1,48.67%,51.88%,Gardevoir,,ksombrinha
22,Zach Burkhardt,,24,8 - 5 - 0drop,55.00%,45.19%,Arceus Giratina,,specsgg
23,Braiden1235,,24,8 - 4 - 0drop,48.33%,56.67%,Arceus Giratina,,braiden1235
24,Jeffrey F,,22,7 - 4 - 1drop,56.67%,45.71%,Lugia Archeops,,mrmooshoes
25,Martin E,,22,7 - 6 - 1,49.00%,42.97%,Lost Box Charizard,,martinzander
26,TeachMePokemonPodcast,,22,7 - 6 - 1,48.75%,54.00%,Lugia Archeops,,teachmepokemonpodcast
27,Josh Stapler,,22,7 - 6 - 1,42.00%,46.67%,Chien-Pao Baxcalibur,,aestheticallyjosh
28,owntempo,,21,7 - 3 - 0drop,80.00%,45.00%,Gardevoir,,owntempo
29,PrinceVortex,,21,7 - 4 - 0drop,60.00%,47.50%,Chien-Pao Baxcalibur,,princevortex
30,Hazeo,,21,7 - 4 - 0drop,51.67%,46.25%,Fusion Mew,,hazeo
31,Profsergio,,19,6 - 3 - 1drop,80.00%,44.00%,Chien-Pao Baxcalibur,,profsergio
32,espel,,18,6 - 4 - 0drop,60.00%,35.00%,Lost Zone Box,,espel
33,MasterLeBui,,18,6 - 3 - 0,56.23%,52.03%,Lugia Archeops,,masterlebui
34,AdriSilva,,18,6 - 3 - 0,54.08%,52.98%,Chien-Pao Baxcalibur,,adrisilva
35,MysteriousPlayer,,18,6 - 3 - 0,53.88%,57.48%,Giratina LZ Box,,mysteriousplayer
36,adan rodriguez,,18,6 - 3 - 0,53.42%,54.97%,Lost Zone Box,,shaggio
37,marcogarcia,,18,6 - 3 - 0,52.77%,56.67%,Goodra LZ Box,,marcogarcia
38,ColinFerguson,,18,6 - 3 - 0,51.57%,52.07%,Lugia Archeops,,colinferguson
39,plooopy,,18,6 - 3 - 0,49.68%,52.06%,Lost Zone Box,,plooopy
40,João Victor,,18,6 - 3 - 0,43.33%,50.65%,Gardevoir,,ijaoi
41,Oscar C,,18,6 - 3 - 0,41.91%,50.92%,Arceus Flying Pikachu,,kokashar
42,Evan P,,16,5 - 3 - 1,57.06%,54.60%,Lost Zone Box,,evanp
43,Alex4champion,,16,5 - 3 - 1,49.43%,50.15%,Arceus Giratina,,alex4champion
44,Thiccboi503,,16,5 - 3 - 1,44.23%,52.10%,Gardevoir,,thiccboi503
45,chargox,,15,5 - 4 - 0,64.51%,53.25%,Lost Zone Box,,chargox
46,Alex Hamilton,,15,5 - 4 - 0,62.83%,56.42%,Lugia Archeops,,omegascizor456
47,Johann121,,15,5 - 4 - 0,61.42%,55.01%,Mew Genesect,,johann121
48,Gio,,15,5 - 4 - 0,60.86%,52.64%,Giratina LZ Box,,gio
49,grainst,,15,5 - 4 - 0,59.13%,52.99%,Lugia Archeops,,grainst
50,Hman,,15,5 - 3 - 0drop,58.88%,52.12%,Fusion Mew,,hman
51,daycamp,,15,5 - 4 - 0,55.52%,54.38%,Ting-Lu,,daycamp
52,Goomy35,,15,5 - 3 - 0drop,53.18%,55.45%,Giratina LZ Box,,goomy35
53,snoopy369,,15,5 - 4 - 0,53.08%,50.88%,Darkrai,,snoopy369
54,Spring,,15,5 - 4 - 0,52.18%,50.35%,Miraidon Flaaffy,,spring
55,Seadek,,15,5 - 4 - 0,52.17%,46.93%,Lost Zone Box,,seadek
56,Kashvinder Singh Mann,,15,5 - 4 - 0,51.72%,52.07%,Fusion Mew,,kashmann27
57,kylelabrie,,15,5 - 4 - 0,51.53%,54.04%,Darkrai,,kylelabrie
58,davibsousa,,15,5 - 4 - 0,45.81%,50.98%,United Wings,,davibsousa
59,Omar T,,14,4 - 3 - 2,53.16%,49.85%,Gardevoir,,ccot
60,butadbut,,14,4 - 3 - 2,46.53%,51.97%,Chien-Pao Baxcalibur,,butadbut
61,IronLion,,13,4 - 4 - 1,57.10%,47.45%,Giratina LZ Box,,ironlion
62,rafadamasio,,13,4 - 3 - 1drop,56.60%,51.61%,Gardevoir,,rafadamasio
63,Pedro D,,12,4 - 3 - 0drop,60.15%,53.27%,Gardevoir,,pudindepao1
64,Zoruu,,12,4 - 3 - 0drop,59.09%,51.19%,Reversal Gardevoir,,zoruu
65,Benny Billinger,,12,4 - 3 - 0drop,58.97%,52.24%,Lost Zone Box,,bbillinger
66,Allen G,,12,4 - 3 - 0drop,58.56%,52.65%,Lugia Archeops,,bannedinsouls
67,Charles Collier,,12,4 - 3 - 0drop,58.27%,51.72%,Lugia Archeops,,mustardptcg
68,MrRishi,,12,4 - 3 - 0drop,57.74%,54.12%,Lost Zone Box,,mrrishi
69,Dylan Smeigh,,12,4 - 5 - 0drop,54.78%,45.35%,Giratina LZ Box,,dusce
70,Cristoffex,,12,4 - 4 - 0drop,53.26%,55.55%,Chien-Pao Baxcalibur,,cristoffex
71,samuelrolao,,12,4 - 4 - 0drop,52.81%,52.35%,Lost Zone Box,,samuelrolao
72,Iyla Sutherland,,12,4 - 3 - 0drop,52.21%,53.29%,Arceus Giratina,,joshuasutherland21
73,dragonmath3000,,12,4 - 2 - 0drop,51.65%,58.70%,Lugia Archeops,,dragonmath3000
74,lugo1234,,12,4 - 3 - 0drop,51.43%,54.84%,Lugia Archeops,,lugo1234
75,asapi2034,,12,4 - 3 - 0drop,51.02%,51.51%,Giratina LZ Box,,asapi2034
76,rockonfire18,,12,4 - 3 - 0drop,48.85%,49.89%,Gardevoir,,rockonfire18
77,Ursiidae,,12,4 - 3 - 0drop,47.78%,52.35%,Gardevoir,,ursiidae
78,arturoR2D2633127,,12,4 - 3 - 0drop,47.14%,55.25%,Giratina LZ Box,,arturor2d2633127
79,CollectorMike,,12,4 - 5 - 0,46.64%,44.71%,Spidops,,collectormike
80,bdbush,,12,4 - 3 - 0drop,46.47%,52.31%,Arceus Aggron,,bdbush
81,Smart TCG,,12,4 - 3 - 0drop,44.93%,48.39%,Arceus Giratina,,gabrielsmarttcg
82,bughalover33,,12,4 - 3 - 0drop,44.76%,53.11%,Fusion Mew,,bughalover33
