Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Wolfie63,,16,5 - 1 - 1,,,Whimsicott,,wolfie63
2,Zach Lesage,,14,4 - 1 - 2,,,Mew Genesect,,zlesage
3,Mike Medrano,,11,3 - 1 - 2,,,Mew Genesect,,starxplatinum
4,Leadlomas,,10,3 - 2 - 1,,,Durant,,leadlomas
5,Denthasus,,9,3 - 2 - 0,42.50%,64.56%,Other,,denthasus
6,EvanCampbell94,,6,2 - 2 - 0drop,56.25%,53.56%,Arceus,,evancampbell94
7,katanatcg,,6,2 - 0 - 0drop,47.50%,70.56%,Arceus Duraludon,,katanatcg
8,HazeyCats,,3,1 - 4 - 0,72.50%,50.88%,Shadow Rider Calyrex,,hazeycats
9,goldenboyx,,3,1 - 2 - 0drop,61.11%,57.92%,Arceus Duraludon,,goldenboyx
10,Raymon1213,,3,1 - 2 - 0drop,56.67%,57.71%,Arceus Duraludon,,raymon1213
11,TTeMingyu,,3,1 - 1 - 0drop,52.50%,51.39%,Arceus Inteleon,,ttemingyu
12,mozwen,,0,0 - 1 - 0drop,100.00%,47.50%,Arceus Inteleon,,mozwen
13,60Cards,,0,0 - 2 - 0drop,65.00%,47.78%,Dark Inteleon + Arceus,,60cards
14,pepebr2110,,0,0 - 1 - 0drop,50.00%,56.25%,Arceus Malamar,,pepebr2110
15,Baddialect,,0,0 - 1 - 0drop,50.00%,52.50%,Suicune Ludicolo,,baddialect
