Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Reiji Nishiguchi,,41,13 - 2 - 2,,,Dialga,,amere
2,bujijia1105,,38,12 - 3 - 2,,,Arceus Malamar,,bujijia1105
3,wama321,,35,11 - 3 - 2,,,Palkia Inteleon,,wama321
4,Andrew H,,34,11 - 4 - 1,,,Rapid Strike Malamar,,perfectpenguin7
5,Shintaro I,,34,11 - 3 - 1,,,Blissey,,toshin
6,GUSTAVOWADA,,33,11 - 4 - 0,,,Palkia Inteleon,,gustavowada
7,Victor García,,32,10 - 3 - 2,,,Palkia Inteleon,,vicgar08
8,André Chiasson,,32,10 - 3 - 2,,,Mew Genesect,,andrechiasson
9,Gumilakilla,,31,10 - 3 - 1,49.00%,56.30%,Palkia Inteleon,,gumilakilla
10,Liam Aesir,,31,10 - 3 - 1,48.00%,55.20%,Arceus Duraludon,,pheonix
11,giovanny,,30,10 - 4 - 0,58.00%,53.93%,Regis,,giovanny
12,JacePatrick,,30,10 - 4 - 0,57.00%,55.63%,Malamar (VMAX),,jacepatrick
13,TimDanklin,,28,9 - 4 - 1,76.00%,52.20%,Palkia Inteleon,,timdanklin
14,[GUH]Flavio Arechiga,,28,9 - 4 - 1,56.00%,55.42%,Arceus Charizard,,flantastic
15,butadbut,,28,9 - 4 - 1,54.00%,51.25%,Arceus,,butadbut
16,Alex Schemanske,,28,9 - 4 - 1,48.00%,48.62%,Palkia Inteleon,,mewpip
17,Felipe Cubillos,,28,9 - 4 - 1,47.67%,48.75%,Regis,,felipecuillo
18,VolcanTurtleTCG,,28,9 - 4 - 1,46.00%,51.59%,Blissey,,volcanturtletcg
19,EvanCampbell94,,28,9 - 4 - 1,39.67%,51.01%,Mew Genesect,,evancampbell94
20,Victor De Velasco,,27,9 - 5 - 0,42.00%,51.25%,Inteleon Inteleon,,victor91dv
21,Tomoki H,,25,8 - 5 - 1,56.00%,51.52%,Mew Genesect,,tomokihonda
22,Jamie Chesnut,,25,8 - 5 - 1,55.00%,50.00%,Arceus Inteleon,,pianist3494
23,DaVoodooChild,,25,8 - 5 - 1,55.00%,45.16%,Jolteon Inteleon,,davoodoochild
24,YoungPitohui,,25,8 - 5 - 1,49.00%,48.56%,Calyrex Inteleon,,youngpitohui
25,Doubllez,,25,8 - 5 - 1,49.00%,47.73%,Mew Genesect,,doubllez
26,Jeremy Gomez,,25,8 - 5 - 1,41.25%,48.67%,Dark Inteleon,,jeremyg3289
27,Evan P,,24,8 - 5 - 0drop,50.00%,48.50%,Mew Genesect,,tape
28,CaRif7,,22,7 - 3 - 1drop,52.50%,49.38%,Calyrex Inteleon,,carif7
29,fataapple,,22,7 - 4 - 1drop,48.33%,43.33%,Arceus Inteleon,,fataapple
30,Sleight,,22,7 - 6 - 1,42.67%,46.97%,Jolteon Inteleon,,sleight
31,chubray,,21,7 - 4 - 0drop,60.00%,46.50%,Other,,chubray
32,Blastobro,,19,6 - 3 - 1drop,80.00%,49.00%,Blissey,,blastobro
33,Jake M,,19,6 - 4 - 1drop,65.00%,53.50%,Palkia Inteleon,,jmershon22
34,HoodiePTCG,,19,6 - 4 - 1drop,50.00%,51.33%,Calyrex Inteleon,,hoodieptcg
35,PVD44,,19,6 - 5 - 1drop,50.00%,48.33%,Other,,pvd44
36,Gordon the Squishmallow,,18,6 - 3 - 0,67.87%,57.00%,Palkia Inteleon,,globaltrainer71
37,Mikela G,,18,6 - 3 - 0,61.64%,53.04%,Jolteon Inteleon,,realcloudberry
38,Math Liu,,18,6 - 3 - 0,60.22%,54.81%,Mew Genesect,,tdonmt1989
39,CLWNNux,,18,6 - 3 - 0,55.80%,55.60%,Palkia Inteleon,,clwnnux
40,Hman,,18,6 - 3 - 0,54.31%,54.70%,Palkia Inteleon,,hman
41,Ant4391,,18,6 - 3 - 0,54.29%,57.88%,Arceus Gyarados,,ant4391
42,FamousCy,,18,6 - 3 - 0,54.14%,54.91%,Arceus Malamar,,famouscy
43,UltraNko,,18,6 - 3 - 0,51.87%,56.32%,Palkia Inteleon,,ultranko
44,Duhskull,,18,6 - 3 - 0,51.45%,51.13%,Leafeon,,duhskull
45,Phatomsoax,,18,6 - 3 - 0,51.07%,51.70%,Duraludon,,phatomsoax
46,Fernando Cifuentes,,18,6 - 3 - 0,50.61%,54.12%,Blissey,,fermeta
47,PokeEmmi,,18,6 - 3 - 0,50.40%,52.71%,Mew Genesect,,pokeemmi
48,Tate Whitesell,,18,6 - 3 - 0,46.30%,51.12%,Palkia Inteleon,,leukocyte
49,evltrtl,,18,6 - 3 - 0,45.93%,52.66%,Durant,,evltrtl
50,iStark11,,17,5 - 2 - 2,51.42%,52.84%,Palkia Inteleon,,istark11
51,Gianlu Ghetto,,17,5 - 2 - 2,47.07%,50.56%,Palkia Inteleon,,gianluzk
52,bgv1989,,16,5 - 3 - 1,61.62%,55.40%,Arceus,,bgv1989
53,Dan Perez,,16,5 - 3 - 1,50.08%,51.11%,Urshifu Inteleon,,notoriousd13
54,peke,,15,5 - 4 - 0,63.45%,56.86%,Blissey,,peke
55,Koichi Kimura,,15,5 - 3 - 0drop,60.89%,54.07%,Palkia Inteleon,,symphogear119
56,Damian F,,15,5 - 4 - 0,60.67%,54.25%,Calyrex Inteleon,,0daluc026
57,Openogility,,15,5 - 1 - 0drop,60.22%,62.32%,Palkia,,openogility
58,YoongKaiJian,,15,5 - 2 - 0drop,58.00%,56.27%,Mew Genesect,,yoongkaijian
59,Salim,,15,5 - 4 - 0,57.28%,54.05%,Arceus,,salim
60,pjwlrs00,,15,5 - 3 - 0drop,57.11%,54.85%,Regis,,pjwlrs00
61,GGzaga,,15,5 - 3 - 0drop,56.96%,54.35%,Samurott Inteleon,,ggzaga
62,ImmortalBojji,,15,5 - 4 - 0,55.86%,53.70%,Mew Genesect,,immortalbojji
63,Zach Roy,,15,5 - 3 - 0drop,54.91%,55.49%,Arceus Flying Pikachu,,senordoom
64,john wanggaard,,15,5 - 3 - 0drop,54.86%,50.46%,Calyrex Inteleon,,ttoabyssal
65,Bæn B,,15,5 - 3 - 0drop,53.99%,56.27%,Mew Genesect,,bbillinger
66,Anthony K,,15,5 - 4 - 0,53.02%,49.50%,Gengar,,akocan64
67,Trenton F,,15,5 - 3 - 0drop,52.98%,52.05%,Arceus Inteleon,,boofling
68,paarthvader,,15,5 - 4 - 0,52.49%,53.04%,Blissey,,paarthvader
69,Zarbon,,15,5 - 3 - 0drop,52.46%,54.82%,Mew Genesect,,zarbon
70,BeastBoizTCG,,15,5 - 3 - 0drop,52.23%,52.72%,Dark Inteleon,,beastboiztcg
71,Lake C,,15,5 - 4 - 0,52.20%,51.20%,Hisuian Samurott,,sidewaysreign
72,peteau89,,15,5 - 4 - 0,50.86%,49.46%,Arceus Malamar,,peteau89
73,Jade181324,,15,5 - 4 - 0,49.87%,50.23%,Other,,jade181324
74,Vance K,,15,5 - 4 - 0,49.04%,51.92%,Calyrex Inteleon,,vancekelley17
75,bdbush,,15,5 - 4 - 0,47.65%,48.57%,Arceus Inteleon,,bdbush
76,wichers,,15,5 - 4 - 0,47.35%,51.50%,Arceus,,wichers
77,Brandon Baughn,,15,5 - 4 - 0,45.75%,48.89%,Arceus Duraludon,,pokebaughn
78,KR54,,15,5 - 4 - 0,44.74%,46.88%,Arceus,,kr54
79,ESPINOLA,,15,5 - 4 - 0,43.21%,53.59%,Urshifu Inteleon,,espinola
80,Luke Burke,,15,5 - 4 - 0,41.60%,48.23%,Mew Genesect,,lukestar
81,ColinFerguson,,15,5 - 4 - 0,36.82%,50.13%,Regis,,colinferguson
82,Mike980902,,13,4 - 3 - 1drop,54.51%,56.03%,Arceus Inteleon,,mike980902
83,HeatWin,,13,4 - 4 - 1,46.03%,49.06%,Mew Genesect,,heatwin
84,JonP,,13,4 - 4 - 1,44.14%,47.52%,Arceus,,jonp
85,ltnspeedy,,12,4 - 3 - 0drop,68.89%,57.80%,Arceus,,ltnspeedy
