Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,EvanCampbell94,,40,13 - 3 - 1,,,Lugia Archeops,,evancampbell94
2,TomHagen0308,,38,12 - 3 - 2,,,Lugia Archeops,,tomhagen0308
3,Tyler Vaughn,,35,11 - 3 - 2,,,Arceus Flying Pikachu,,revel001
4,1saltysteak,,34,11 - 4 - 1,,,Lost Zone Box,,1saltysteak
5,papapokeca,,34,11 - 3 - 1,,,Lost Zone Box,,papapokeca
6,Brandon Baughn,,32,10 - 3 - 2,,,Arceus Duraludon,,pokebaughn
7,Smart TCG,,31,10 - 4 - 1,,,Regis,,gabrielsmarttcg
8,JesusM0719,,31,10 - 4 - 1,,,Mew Genesect,,jesusm0719
9,zio,,30,10 - 4 - 0,63.00%,49.93%,Mew Genesect,,zio
10,rixsterexe,,30,10 - 4 - 0,49.00%,55.00%,Lugia Archeops,,rixsterexe
11,Alakanixon41,,29,9 - 3 - 2,62.00%,53.60%,Regis,,alakanixon41
12,Lucas Mancuso,,28,9 - 4 - 1,68.00%,52.61%,Regis,,lucasm7911
13,NFTJeff,,28,9 - 4 - 1,50.00%,52.37%,Lost Zone Box,,nftjeff
14,facufacio,,28,9 - 4 - 1,48.00%,50.63%,Mewtwo Control,,facufacio
15,Ryoma,,28,9 - 4 - 1,45.00%,57.61%,Mew Genesect,,ryoma
16,Homebee Joe Sturino,,27,9 - 5 - 0,52.00%,47.54%,Arceus Duraludon,,biscuithat
17,SpecsGG,,27,9 - 5 - 0,38.00%,54.42%,Blissey,,specsgg
18,Kondoriano,,26,8 - 4 - 2,53.00%,52.61%,Mew Genesect,,kondoriano
19,Beeeeeanz,,25,8 - 5 - 1,60.00%,49.17%,Arceus Goodra,,beeeeeanz
20,tomo1713,,25,8 - 5 - 1,57.50%,55.53%,Mew Genesect,,tomo1713
21,Orion Sutherland,,25,8 - 5 - 1,56.00%,50.20%,Giratina LZ Box,,joshuasutherland21
22,tacchi,,25,8 - 5 - 1,38.00%,51.11%,Arceus Tapu Koko,,tacchi
23,Lynxlace,,24,7 - 4 - 3,46.67%,45.43%,Arceus Duraludon,,lynxlace
24,ThePinkMudFish,,24,8 - 6 - 0,44.67%,45.00%,Mew Genesect,,thepinkmudfish
25,João  Pires,,22,7 - 2 - 1drop,25.00%,100.00%,Palkia Inteleon,,luisao99
26,VOLCANION1224,,21,7 - 7 - 0,60.00%,45.17%,Lost Zone Box,,volcanion1224
27,CutortapButler,,21,7 - 5 - 0drop,46.67%,51.33%,Durant,,cutortapbutler
