Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,KingTurk,,21,7 - 2 - 0,,,Kyurem Palkia,,kingturk
2,MrTrainerB,,19,6 - 2 - 1,,,Hisuian Zoroark,,mrtrainerb
3,Ryota S,,16,5 - 2 - 1,,,Giratina LZ Box,,mawssa2000
4,AKIRA,,16,5 - 2 - 1,,,Giratina LZ Box,,akira
5,ESPINOLA,,16,5 - 1 - 1,,,Regis,,espinola
6,Lpc1994,,13,4 - 2 - 1,,,Hisuian Zoroark,,lpc1994
7,Johnathan H,,13,4 - 2 - 1,,,Kyurem Palkia,,ninjjadragon
8,TCGpboh,,12,4 - 3 - 0,,,Dialga,,tcgpboh
9,john wanggaard,,12,4 - 2 - 0,45.56%,55.00%,Arceus Giratina,,ttoabyssal
10,Greas,,12,4 - 2 - 0,43.06%,56.55%,Arceus Duraludon,,greas
11,Phelan Ward,,12,4 - 2 - 0,38.89%,56.79%,Sylveon Arceus,,emerdcp
12,SHSuperSonic,,9,3 - 3 - 0,65.28%,53.87%,Hisuian Zoroark,,shsupersonic
13,thelivin,,9,3 - 3 - 0,56.94%,51.06%,Giratina LZ Box,,thelivin
14,Roberto Antonio Plaza Orellana,,9,3 - 3 - 0,52.78%,52.85%,Kyurem Palkia,,ch1nogamer
15,mrpoofykins,,9,3 - 3 - 0,48.33%,51.55%,Regis,,mrpoofykins
16,HazeyCats,,6,2 - 4 - 0,60.00%,47.69%,Shadow Rider Calyrex,,hazeycats
17,jtap15,,6,2 - 3 - 0drop,56.67%,51.49%,Arceus Goodra,,jtap15
18,Pedro Henrique G,,6,2 - 2 - 0drop,54.17%,51.39%,Hisuian Zoroark,,pedrodarlanguatu
19,Huffer,,6,2 - 2 - 0drop,45.83%,54.17%,Giratina LZ Box,,huffer
20,Capcrew,,6,2 - 1 - 0drop,44.44%,62.05%,Other,,capcrew
21,Jacob Howard,,3,1 - 2 - 0drop,63.89%,54.07%,Other,,thejacobhoward
22,AndyGantner,,3,1 - 1 - 0drop,58.33%,60.71%,Arceus Giratina,,andygantner
23,Pirzmatic,,3,1 - 2 - 0drop,55.56%,46.43%,Palkia Inteleon,,pirzmatic
24,soursocks,,3,1 - 5 - 0,53.33%,45.77%,Blissey,,soursocks
25,dgod40,,3,1 - 2 - 0drop,52.78%,51.07%,Blissey,,dgod40
26,Garry Breech,,3,1 - 2 - 0drop,41.67%,52.78%,Arceus Goodra,,garebear2006
27,Cal Connor,,3,1 - 2 - 0drop,41.67%,52.78%,Mew Genesect,,calcal206
28,papapokeca,,3,1 - 2 - 0drop,41.67%,46.67%,Giratina LZ Box,,papapokeca
29,catron,,0,0 - 1 - 0drop,91.67%,62.50%,Arceus,,catron
30,Nate Kirksey,,0,0 - 2 - 0drop,70.83%,52.78%,Regis,,pokenate
31,Myungjoon Kim,,0,0 - 2 - 0drop,58.33%,47.04%,Palkia Inteleon,,jclover
32,Major D,,0,0 - 2 - 0drop,54.17%,60.19%,Arceus Duraludon,,majorduncan1
33,SonnyD93,,0,0 - 4 - 0drop,51.67%,48.84%,Arceus Goodra,,sonnyd93
34,Yaakov321,,0,0 - 1 - 0drop,50.00%,58.33%,Suicune Inteleon,,yaakov321
35,SerperiorSnivy,,0,0 - 2 - 0drop,50.00%,39.81%,Other,,serperiorsnivy
36,Anthony Barragan,,0,0 - 2 - 0drop,33.33%,48.61%,Giratina LZ Box,,anternbar
