Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Nelson Guillen,,22,7 - 1 - 1,,,Mew Genesect,,moxyroxie
2,LilCrakMunchkin,,19,6 - 2 - 1,,,Lost Zone Box,,lilcrakmunchkin
3,Juan T,,17,5 - 1 - 2,,,Charizard,,jtap15
4,Zach Lesage,,17,5 - 1 - 2,,,Giratina LZ Box,,zlesage
5,SaltyLily,,13,4 - 2 - 1,,,Arceus Giratina,,saltylily
6,RebornIllu,,13,4 - 2 - 1,,,Chien-Pao Baxcalibur,,rebornillu
7,Anti,,12,4 - 3 - 0,,,Arceus Giratina,,anti
8,Luxas12,,12,4 - 2 - 0drop,,,Charizard,,luxas12
9,Tomás Riquelme,,12,4 - 2 - 0,54.17%,56.07%,Giratina LZ Box,,seadek
10,AndresJgames,,12,4 - 2 - 0,47.22%,56.67%,Single Strike Lugia,,andresjgames
11,IkeBilbao54,,9,3 - 3 - 0,55.56%,52.38%,Arceus Giratina,,ikebilbao54
12,Judevoir7777,,9,3 - 3 - 0,55.28%,51.11%,Giratina LZ Box,,judevoir7777
13,Jacobi420,,9,3 - 3 - 0,53.33%,50.48%,Chien-Pao Baxcalibur,,jacobi420
14,ASal,,9,3 - 3 - 0,48.33%,57.27%,Darkrai,,asal
15,hmk13,,9,3 - 3 - 0,48.33%,51.49%,Palkia,,hmk13
16,senordoom,,9,3 - 3 - 0,48.33%,49.20%,Charizard,,senordoom
17,DamionF666,,6,2 - 2 - 0drop,56.25%,52.33%,Arceus Giratina,,damionf666
18,Pizznutz,,6,2 - 4 - 0,53.00%,49.40%,Lost Box Charizard,,pizznutz
19,Bunni,,6,2 - 2 - 0drop,51.25%,50.39%,Charizard,,bunni
20,NVision021,,6,2 - 2 - 0drop,50.00%,55.28%,Giratina LZ Box,,nvision021
21,Sheiko77,,6,2 - 3 - 0drop,49.67%,49.17%,Meowscarada,,sheiko77
22,Blueskies,,6,2 - 3 - 0drop,44.67%,52.75%,Chien-Pao Baxcalibur,,blueskies
23,TCGpboh,,6,2 - 3 - 0drop,43.75%,54.80%,Other,,tcgpboh
24,the616,,6,2 - 2 - 0drop,43.33%,54.27%,Charizard,,the616
25,sawyermelban,,3,1 - 2 - 0drop,61.11%,53.33%,Arceus Vulpix,,sawyermelban
26,Bigbeardave2004,,3,1 - 1 - 0drop,58.33%,53.75%,Inteleon Urshifu,,bigbeardave2004
27,UnfairTilt,,3,1 - 2 - 0drop,55.56%,52.38%,Gardevoir,,unfairtilt
28,jpreisrs,,3,1 - 3 - 0drop,54.17%,50.88%,Gardevoir,,jpreisrs
29,Magikarp420,,3,1 - 4 - 0drop,43.89%,44.10%,Meowscarada,,magikarp420
30,Xaria-Sofia Sachse,,3,1 - 2 - 0drop,41.67%,51.81%,Arceus Giratina,,bradaction
31,Sahil P,,3,1 - 3 - 0drop,36.11%,51.44%,Palkia,,vncmdu5d9q755ta7gteyq2aci
32,Iyla Sutherland,,0,0 - 1 - 0drop,66.67%,47.22%,Arceus Giratina,,joshuasutherland21
33,Tyler Annaert,,0,0 - 2 - 0drop,65.00%,53.13%,Charizard,,thecluelessengi
34,Eames7heForger,,0,0 - 2 - 0drop,57.50%,54.50%,Regidrago Box,,eames7heforger
35,raizin0413,,0,0 - 2 - 0drop,50.00%,52.27%,Charizard,,raizin0413
36,marekren,,0,0 - 2 - 0drop,41.67%,55.95%,Giratina LZ Box,,marekren
37,Norm,,0,0 - 2 - 0drop,41.67%,42.62%,Fusion Mew,,norm
38,jpo,,0,0 - 1 - 0drop,40.00%,44.67%,Gardevoir,,jpo
39,deoxxyy,,0,0 - 3 - 0drop,38.33%,48.75%,Arceus Umbreon,,deoxxyy
40,Kitty >,,0,0 - 2 - 0drop,,,Inteleon Urshifu,,phoenix
