Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Andrew H,,19,6 - 1 - 1,,,Rapid Strike Malamar,,perfectpenguin7
2,Zach Lesage,,16,5 - 2 - 1,,,Stonjourner,,zlesage
3,Vaughn,,13,4 - 2 - 1,,,Palkia Inteleon,,vaughn
4,evltrtl,,12,4 - 3 - 0,,,Durant,,evltrtl
5,Ryota Saito,,13,4 - 1 - 1,,,Stonjourner,,mawssa2000
6,mkirby,,10,3 - 2 - 1,,,Palkia Inteleon,,mkirby
7,Jahoostis,,10,3 - 2 - 1,,,Calyrex Palkia,,jahoostis
8,Ryan Kolodney,,9,3 - 3 - 0,,,Arceus Charizard,,boltryan
9,iStark11,,9,3 - 2 - 0,50.00%,55.27%,Palkia Inteleon,,istark11
10,Jorden Hamilton,,9,3 - 2 - 0,48.67%,54.35%,Dialga,,jordenhamiltontcg
11,Jojitsu,,9,3 - 2 - 0,45.00%,48.20%,Arceus Inteleon,,jojitsu
12,PCGMcaceres,,6,2 - 3 - 0,64.00%,53.60%,Samurott Weezing,,pcgmcaceres
13,16RedGunner,,6,2 - 3 - 0,52.00%,51.47%,Arceus Charizard,,16redgunner
14,Ramsey777,,6,2 - 3 - 0,49.67%,50.87%,Palkia Inteleon,,ramsey777
15,Ricardo Manuel Gajardo Laubrin,,6,2 - 3 - 0,44.00%,51.87%,Arceus Flying Pikachu,,ricardogl
16,Dan Perez,,6,2 - 3 - 0,42.67%,55.68%,Urshifu Inteleon,,notoriousd13
17,Orion Sutherland,,3,1 - 2 - 0drop,70.00%,56.17%,Arceus Inteleon,,joshuasutherland21
18,zattack10,,3,1 - 4 - 0,55.00%,48.83%,Mew Genesect,,zattack10
19,kikerda,,3,1 - 2 - 0drop,53.33%,47.33%,Calyrex Inteleon,,kikerda
20,Memorroide69,,3,1 - 2 - 0drop,51.67%,51.36%,Zoroark Box,,memorroide69
21,OsamaBeLagin,,0,0 - 5 - 0,48.00%,46.87%,Umbreon Urshifu,,osamabelagin
22,CLS084449,,0,0 - 1 - 0drop,33.33%,51.67%,Dark Inteleon,,cls084449
