Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Ryan Keller,,20,6 - 0 - 2,,,Arceus Duraludon,,rkelle19
2,Andrew Hedrick,,16,5 - 2 - 1,,,Arceus Duraludon,,pokehawkeye
3,Reginald (the squishmallow),,13,4 - 2 - 1,,,Mew Genesect,,memaanhc
4,Anti,,12,4 - 3 - 0,,,Palkia,,anti
5,Michele  Babin,,11,3 - 1 - 2,,,Palkia,,michelebabin
6,Mhall1207,,10,3 - 2 - 1,,,Dialga,,mhall1207
7,AndresJgames,,10,3 - 2 - 1,,,Mew Genesect,,andresjgames
8,Ahll1207,,9,3 - 3 - 0,,,Dialga,,ahll1207
9,Greas,,9,3 - 2 - 0,55.00%,57.08%,Palkia,,greas
10,APackOfAlpacas,,9,3 - 2 - 0,48.67%,54.09%,Palkia Inteleon,,apackofalpacas
11,Brainez,,9,3 - 2 - 0,41.00%,56.82%,Dialga,,brainez
12,Savid400,,6,2 - 3 - 0,60.00%,52.58%,Dragapult Inteleon,,savid400
13,ColinFerguson,,6,2 - 3 - 0,58.75%,54.47%,Regis,,colinferguson
14,SihSquidward111,,6,2 - 3 - 0,51.25%,51.67%,Dark Inteleon,,sihsquidward111
15,Kingofgames94,,6,2 - 3 - 0,42.00%,54.05%,Mew Genesect,,kingofgames94
16,EvanCampbell94,,3,1 - 1 - 0drop,55.00%,54.50%,Dialga,,evancampbell94
17,Matthewg21,,3,1 - 3 - 0drop,53.75%,48.53%,Mew Genesect,,matthewg21
18,Zach Roy,,3,1 - 2 - 0drop,51.67%,47.73%,Arceus Duraludon,,senordoom
19,CollectorMike,,3,1 - 4 - 0,50.00%,48.04%,Mew Genesect,,collectormike
20,Carlos Bustamante,,0,0 - 3 - 0drop,56.67%,44.00%,Urshifu Inteleon,,carlosybatz50
21,TypicalLegend,,0,0 - 2 - 0drop,47.50%,51.48%,Frosmoth Inteleon Box,,typicallegend
22,Bigfluff4571,,0,0 - 1 - 0drop,33.33%,51.67%,Dragapult Inteleon,,bigfluff4571
