Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Mcalmic,,40,13 - 3 - 1,,,Palkia Inteleon,,mcalmic
2,JoiseJo,,38,12 - 3 - 2,,,Regis,,joisejo
3,chuang1206,,37,12 - 3 - 1,,,Blissey,,chuang1206
4,ascotpokes,,37,12 - 3 - 1,,,Mew Genesect,,ascotpokes
5,Juan Candisano,,34,11 - 3 - 1,,,Palkia Inteleon,,juankcandi
6,DiamondKing,,31,10 - 4 - 1,,,Arceus Malamar,,diamondking
7,wama321,,31,10 - 4 - 1,,,Palkia Inteleon,,wama321
8,sleepydreepy,,31,10 - 4 - 1,,,Regis,,sleepydreepy
9,HoodiePTCG,,30,9 - 2 - 3,62.00%,54.80%,Palkia Inteleon,,hoodieptcg
10,Jake Gearhart,,30,10 - 4 - 0,58.00%,52.60%,Palkia Inteleon,,jakegearhart
11,JamesCox190,,30,10 - 4 - 0,55.00%,55.53%,Palkia,,jamescox190
12,Matthew44,,28,9 - 4 - 1,64.00%,48.73%,Blissey,,matthew44
13,ESPINOLA,,28,9 - 4 - 1,64.00%,48.53%,Urshifu Inteleon,,espinola
14,Gabriel Padinha,,28,9 - 4 - 1,62.00%,54.33%,Mew Genesect,,calkab
15,Gabe Shumway,,28,9 - 4 - 1,56.00%,50.80%,Arceus,,gabeshumway
16,Tomoki H,,28,9 - 4 - 1,53.00%,46.94%,Mew Genesect,,tomokihonda
17,EvanCampbell94,,28,9 - 4 - 1,50.00%,50.63%,Mew Genesect,,evancampbell94
18,Megatamonflame,,28,9 - 4 - 1,42.00%,54.42%,Palkia Inteleon,,megatamonflame
19,JaCrispy0003,,28,9 - 4 - 1,42.00%,51.21%,Arceus,,jacrispy0003
20,shakyshaky,,26,8 - 4 - 2,48.00%,53.26%,Suicune Ludicolo,,shakyshaky
21,RodrigoJN,,25,8 - 5 - 1,48.00%,54.53%,Calyrex Inteleon,,rodrigojn
22,Xann101,,25,8 - 5 - 1,45.00%,49.86%,Jolteon Inteleon,,xann101
23,goldenboyx,,25,8 - 5 - 1,43.67%,43.33%,Palkia Inteleon,,goldenboyx
24,Ryan Mefford,,22,7 - 4 - 1drop,73.33%,45.00%,Palkia Inteleon,,mefftrpt1
25,YingLa,,22,7 - 4 - 1drop,61.67%,39.67%,Blissey,,no22159550
26,MarceloooR,,22,7 - 6 - 1,46.25%,42.75%,Urshifu Inteleon,,marcelooor
27,ToFGonzalo,,22,7 - 6 - 1,43.67%,49.77%,Mew Genesect,,tofgonzalo
28,JoeMaressa,,22,7 - 5 - 1drop,43.33%,47.35%,Arceus,,joemaressa
29,lindsayrosecup,,22,7 - 4 - 1drop,32.50%,43.52%,Palkia Inteleon,,lindsayrosecup
30,Sphealasaur,,19,6 - 4 - 1drop,80.00%,45.33%,Mew Genesect,,sphealasaur
31,Vina,,19,6 - 4 - 1drop,70.00%,47.00%,Palkia Inteleon,,vina
32,Salim,,19,6 - 4 - 1drop,60.00%,42.00%,Arceus,,salim
33,Vance K,,18,6 - 3 - 0,69.31%,59.27%,Miltank,,vancekelley17
34,Bæn B,,18,6 - 3 - 0,63.33%,54.80%,Mew Genesect,,bbillinger
