Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,JeffLin0918,,31,10 - 1 - 1,,,Kyurem Palkia,,jefflin0918
2,Riley B,,27,9 - 3 - 0,,,Kyurem Palkia,,livinadre
3,ZhiYi20070415,,25,8 - 2 - 1,,,Giratina LZ Box,,zhiyi20070415
4,sawyermelban,,24,8 - 3 - 0,,,Lost Zone Box,,sawyermelban
5,OmnipotentDman,,24,8 - 2 - 0,,,Kyurem Palkia,,omnipotentdman
6,zcjames,,22,7 - 2 - 1,,,Giratina LZ Box,,zcjames
7,marniespride,,22,7 - 2 - 1,,,Hisuian Zoroark,,marniespride
8,Miguel Sanchez,,21,7 - 3 - 0,,,Giratina LZ Box,,yandelmas
9,architcarsonb,,20,6 - 1 - 2,,,Arceus Giratina,,architcarsonb
10,Regan Retzloff,,19,6 - 2 - 1,,,Other,,regannator
11,supergag,,18,6 - 3 - 0,,,Giratina LZ Box,,supergag
12,Orion Sutherland,,18,6 - 3 - 0,,,Arceus Flying Pikachu,,joshuasutherland21
13,BeadedDragon,,18,6 - 3 - 0,,,Blissey,,beadeddragon
14,TomHagen0308,,18,6 - 3 - 0,,,Lost Zone Box,,tomhagen0308
15,. Medi,,18,6 - 3 - 0,,,Shadow Rider Calyrex,,owohunt
16,Ace702,,18,6 - 3 - 0,,,Palkia Inteleon,,ace702
17,jh9wang,,16,5 - 2 - 1,57.81%,53.99%,Blissey,,jh9wang
18,Savid400,,15,5 - 3 - 0,62.08%,57.83%,Vikavolt,,savid400
19,SoS2K,,15,5 - 3 - 0,61.77%,56.45%,Hisuian Zoroark,,sos2k
20,daycamp,,15,5 - 3 - 0,60.62%,55.77%,Arceus Duraludon,,daycamp
21,kirito0705tw,,15,5 - 3 - 0,60.16%,55.45%,Mew Genesect,,kirito0705tw
22,Kickincards,,15,5 - 3 - 0,57.29%,55.09%,Blissey,,kickincards
23,kouneil,,15,5 - 3 - 0,55.57%,52.84%,Giratina LZ Box,,kouneil
24,GAP Bruno Souza,,15,5 - 3 - 0,54.27%,57.45%,Arceus Goodra,,bhhenriques
25,MusicLover32699,,15,5 - 3 - 0,53.68%,52.38%,Arceus Goodra,,musiclover32699
26,GABY,,15,5 - 3 - 0,51.97%,54.03%,Regis,,gaby
27,phylswyft,,15,5 - 3 - 0,51.71%,57.25%,Blissey,,phylswyft
