Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Bryson Hunt,,19,6 - 1 - 1,,,Single Strike Lugia,,bryson
2,SifeTCG,,16,5 - 2 - 1,,,Single Strike Lugia,,sifetcg
3,ggeedorah,,15,5 - 2 - 0,,,Lost Zone Box,,ggeedorah
4,facufacio,,15,5 - 2 - 0,,,Inteleon Urshifu,,facufacio
5,Justin Cutajar,,15,5 - 1 - 0,,,Arceus Giratina,,ustuman
6,TylerZzz,,12,4 - 2 - 0,,,Palkia,,tylerzzz
7,Crash,,10,3 - 2 - 1,,,Lost Zone Box,,crash
8,plooopy,,10,3 - 2 - 1,,,Lost Zone Box,,plooopy
9,BHB・Luna Y,,9,3 - 2 - 0,56.67%,50.65%,Palkia,,pikachu369248
10,mattyando36,,9,3 - 2 - 0,50.00%,50.36%,Chien-Pao Baxcalibur,,mattyando36
11,noahdperry546,,9,3 - 2 - 0,49.67%,51.90%,Kyurem,,noahdperry546
12,Sahil P,,9,3 - 2 - 0,44.00%,51.57%,Lost Zone Box,,vncmdu5d9q755ta7gteyq2aci
13,KyleKorver,,6,2 - 3 - 0,65.00%,49.29%,Arceus Umbreon,,kylekorver
14,PekingMon,,6,2 - 2 - 0drop,53.33%,46.85%,Arceus Giratina,,pekingmon
15,Benjamin Grove,,6,2 - 3 - 0,51.67%,52.83%,Palkia,,benjamingrove47
16,jrainwater,,6,2 - 3 - 0,47.00%,46.49%,Chien-Pao Baxcalibur,,jrainwater
17,Mcalmic,,6,2 - 2 - 0drop,42.50%,52.41%,Arceus Umbreon,,mcalmic
18,PopplioKing,,6,2 - 3 - 0,30.00%,46.07%,Serperior,,popplioking
19,LilCrakMunchkin,,3,1 - 2 - 0drop,70.00%,51.33%,Arceus Regidrago,,lilcrakmunchkin
20,CWilly87,,3,1 - 2 - 0drop,55.00%,54.29%,Lost Zone Box,,cwilly87
21,King SuØ,,3,1 - 3 - 0drop,51.25%,50.00%,Single Strike Lugia,,rensuo
22,timothyvince,,3,1 - 4 - 0,48.75%,45.56%,Gardevoir,,timothyvince
23,Leonardo Walbrinch,,3,1 - 3 - 0drop,42.50%,43.50%,Arceus Giratina,,leorafaw
24,DarksideEx,,3,1 - 4 - 0,42.08%,46.96%,Noivern,,darksideex
25,Prix,,3,1 - 2 - 0drop,38.33%,50.50%,Lost Zone Box,,prix
26,Sebastian Faundez,,0,0 - 2 - 0drop,80.00%,55.33%,Regis,,scaril17
27,Iyla Sutherland,,0,0 - 1 - 0drop,80.00%,49.67%,Arceus Giratina,,joshuasutherland21
28,Iori127,,0,0 - 1 - 0drop,60.00%,44.00%,Giratina LZ Box,,iori127
29,hotpopkid,,0,0 - 2 - 0drop,55.00%,56.00%,Giratina LZ Box,,hotpopkid
30,Machine473,,0,0 - 5 - 0,43.00%,45.19%,Arceus Duraludon,,machine473
31,PoppaTubb,,0,0 - 2 - 0drop,40.00%,58.33%,Giratina LZ Box,,poppatubb
32,DrNog,,0,0 - 2 - 0drop,33.33%,38.33%,Gardevoir,,drnog
33,GoBowling,,0,0 - 1 - 0drop,25.00%,51.25%,Regidrago Box,,gobowling
34,eevee08,,0,0 - 2 - 0drop,,,Chien-Pao Baxcalibur,,eevee08
35,Southerntrainer,,0,0 - 2 - 0drop,,,Palkia,,southerntrainer
