Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Noah P,,22,7 - 1 - 1,,,Mew Genesect,,slayworldsoldier
2,EvanCampbell94,,19,6 - 2 - 1,,,Dialga,,evancampbell94
3,Alex Cole,,17,5 - 1 - 2,,,Palkia Inteleon,,pandaboss58
4,Zach Cohen,,16,5 - 2 - 1,,,Mew Genesect,,zachthemudkip
5,wadedaze,,14,4 - 1 - 2,,,Mew Genesect,,wadedaze
6,Anti,,14,4 - 1 - 2,,,Dialga,,anti
7,N214GAM .,,13,4 - 2 - 1,,,Calyrex Inteleon,,trican
8,Ryan Keller,,12,4 - 3 - 0,,,Arceus Malamar,,rkelle19
9,AndresJgames,,12,4 - 2 - 0,58.33%,53.56%,Mew Genesect,,andresjgames
10,Zach Lesage,,12,4 - 2 - 0,54.17%,56.26%,Regis,,zlesage
11,Gabe Shumway,,12,4 - 2 - 0,46.67%,55.72%,Arceus Inteleon,,gabeshumway
12,Michele  Babin,,12,4 - 2 - 0,45.83%,57.04%,Mew Genesect,,michelebabin
13,Phanpy78,,9,3 - 3 - 0,56.94%,52.20%,Calyrex Inteleon,,phanpy78
14,PokeEmmi,,9,3 - 3 - 0,56.94%,49.39%,Mew Genesect,,pokeemmi
15,Phatomsoax,,9,3 - 3 - 0,52.78%,53.28%,Metagross,,phatomsoax
16,iStark11,,9,3 - 3 - 0,51.67%,56.67%,Palkia Inteleon,,istark11
17,nirvana0521,,9,3 - 3 - 0,46.94%,52.33%,Samurott Inteleon,,nirvana0521
18,Ahll1207,,9,3 - 3 - 0,45.83%,53.39%,Calyrex Inteleon,,ahll1207
19,Capcrew,,6,2 - 2 - 0drop,66.67%,57.08%,Other,,capcrew
20,mkirby,,6,2 - 3 - 0drop,57.92%,50.00%,Regis,,mkirby
21,Chernabog70,,6,2 - 3 - 0drop,48.00%,53.06%,Dhelmise,,chernabog70
22,WyteKnyte,,6,2 - 2 - 0drop,43.75%,55.73%,Palkia Inteleon,,wyteknyte
23,TTVCirca,,3,1 - 2 - 0drop,55.56%,50.36%,Palkia Inteleon,,ttvcirca
24,Jpizzy41,,3,1 - 2 - 0drop,52.78%,50.00%,Arceus,,jpizzy41
25,LunaAngelinaR,,3,1 - 5 - 0,51.33%,50.18%,Shadow Rider Whimsicott,,lunaangelinar
26,rayhan haidar,,3,1 - 3 - 0drop,50.00%,50.42%,Ice Rider Calyrex,,shmkzhan
27,AndyGantner,,3,1 - 2 - 0drop,50.00%,48.61%,Mew Genesect,,andygantner
28,SestoSento,,3,1 - 2 - 0drop,47.22%,51.92%,Charizard,,sestosento
29,lindsayrosecup,,3,1 - 2 - 0drop,46.67%,50.39%,Palkia Inteleon,,lindsayrosecup
30,Proto1551,,3,1 - 2 - 0drop,41.67%,57.64%,Mew Genesect,,proto1551
31,zattack10,,3,1 - 3 - 0drop,41.67%,51.46%,Mew Genesect,,zattack10
32,studlygnome,,0,0 - 1 - 0drop,75.00%,58.33%,Dialga Bronzong,,studlygnome
33,Roughly52,,0,0 - 2 - 0drop,70.83%,51.94%,Calyrex Inteleon,,roughly52
34,Cal Connor,,0,0 - 2 - 0drop,58.33%,59.26%,Mew Genesect,,calcal206
35,Savid400,,0,0 - 2 - 0drop,50.00%,56.48%,Dragapult Inteleon,,savid400
36,Vance K,,0,0 - 2 - 0drop,50.00%,55.56%,Arceus Duraludon,,vancekelley17
37,Onthedrawgames,,0,0 - 1 - 0drop,50.00%,43.75%,Arceus Inteleon,,onthedrawgames
38,TheShaddyWaffle,,0,0 - 2 - 0drop,41.67%,44.44%,Blissey,,theshaddywaffle
39,Byron G,,0,0 - 1 - 0drop,33.33%,47.22%,Dialga Bronzong,,uyio
