Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,john wanggaard,,24,8 - 2 - 0,,,Palkia Inteleon,,ttoabyssal
2,Luna,,25,8 - 1 - 1,,,Kyurem Palkia,,luna
3,Chrisandwich,,21,7 - 2 - 0,,,Arceus Duraludon,,chrisandwich
4,aus1726,,21,7 - 2 - 0,,,Hisuian Zoroark,,aus1726
5,Orion Sutherland,,19,6 - 1 - 1,,,Arceus Giratina,,joshuasutherland21
6,GoofGG,,18,6 - 2 - 0,,,Mew Genesect,,goofgg
7,butadbut,,15,5 - 3 - 0,,,Arceus Giratina,,butadbut
8,Zach Lesage,,15,5 - 3 - 0,,,Giratina LZ Box,,zlesage
9,Quental,,12,4 - 3 - 0,,,Lunatone Solrock,,quental
10,Lpc1994,,12,4 - 3 - 0,,,Hisuian Zoroark,,lpc1994
11,Noahjp,,12,4 - 3 - 0,,,Lost Zone Box,,noahjp
12,vtrouter,,9,3 - 2 - 0drop,70.00%,55.50%,Kyurem Palkia,,vtrouter
13,Vaughn,,9,3 - 3 - 0,62.78%,51.27%,Urshifu Inteleon,,vaughn
14,UrielEHS,,9,3 - 3 - 0,52.50%,52.68%,Mew Genesect,,urielehs
15,Iori127,,9,3 - 3 - 0,49.33%,50.54%,Other,,iori127
16,CyrusNWO,,9,3 - 3 - 0,46.94%,52.69%,Hisuian Zoroark,,cyrusnwo
17,mkirby,,9,3 - 3 - 0,45.56%,52.98%,Giratina LZ Box,,mkirby
18,eevee08,,9,3 - 3 - 0,44.17%,51.18%,Mew Genesect,,eevee08
19,Trooper02,,9,3 - 3 - 0,41.33%,49.87%,Cramorant,,trooper02
20,marcogarcia,,6,2 - 3 - 0drop,63.33%,49.58%,Regis,,marcogarcia
21,Elijah C,,6,2 - 2 - 0drop,54.17%,56.18%,Kyurem Palkia,,e1ijah
22,zattack10,,6,2 - 3 - 0drop,48.33%,48.10%,Palkia Inteleon,,zattack10
23,Garry Breech,,6,2 - 3 - 0drop,46.67%,49.58%,Giratina LZ Box,,garebear2006
24,Rubén Mendoza,,6,2 - 3 - 0drop,43.33%,48.47%,Hisuian Arcanine,,rubnmp
25,NekoLover79,,6,2 - 4 - 0,43.33%,47.80%,Giratina LZ Box,,nekolover79
26,Nate Kirksey,,3,1 - 2 - 0drop,58.33%,57.14%,Palkia Inteleon,,pokenate
27,Smart TCG,,3,1 - 3 - 0drop,56.25%,48.95%,Arceus Giratina,,gabrielsmarttcg
28,BlueClueT,,3,1 - 2 - 0drop,52.22%,52.78%,Lost Zone Box,,bluecluet
29,Dreamjew,,3,1 - 3 - 0drop,52.08%,50.08%,Urshifu Inteleon,,dreamjew
30,heatleyjustin,,3,1 - 4 - 0drop,49.33%,47.78%,Hisuian Goodra,,heatleyjustin
31,regiwes,,3,1 - 2 - 0drop,47.22%,46.67%,Regis,,regiwes
32,KingTurk,,3,1 - 5 - 0,44.17%,46.42%,Clefairy,,kingturk
33,Benjamin Whitcomb,,3,1 - 3 - 0drop,37.08%,45.63%,Hisuian Zoroark,,starlordx
34,Huntiemon,,0,0 - 1 - 0drop,83.33%,54.17%,Lost Zone Box,,huntiemon
35,homemadebiscuit,,0,0 - 1 - 0drop,66.67%,58.33%,Hisuian Zoroark,,homemadebiscuit
36,Kashvinder Singh,,0,0 - 2 - 0drop,58.33%,60.17%,Lost Zone Box,,kashmann27
37,TreyJ9k,,0,0 - 2 - 0drop,58.33%,55.37%,Lost Zone Box,,treyj9k
38,Andrew Hier,,0,0 - 1 - 0drop,50.00%,52.50%,Rapid Strike Malamar,,perfectpenguin7
39,u5d,,0,0 - 2 - 0drop,50.00%,48.17%,Other,,u5d
40,Ryan Kolodney,,0,0 - 1 - 0drop,50.00%,45.56%,Lost Zone Box,,boltryan
41,PCGMcaceres,,0,0 - 2 - 0drop,36.67%,46.88%,Arceus,,pcgmcaceres
