Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Spring,,21,7 - 1 - 0,,,Palkia Inteleon,,spring
2,PinkQuaker,,15,5 - 3 - 0,,,Calyrex Inteleon,,pinkquaker
3,john wanggaard,,15,5 - 2 - 0,,,Lost Zone Box,,ttoabyssal
4,Anti,,13,4 - 2 - 1,,,Regis,,anti
5,sawyermelban,,13,4 - 1 - 1,,,Mew Genesect,,sawyermelban
6,Liam Kidd,,11,3 - 1 - 2,,,Mew Genesect,,liamkidd
7,Vina,,10,3 - 2 - 1,,,Kyurem Palkia,,vina
8,iStark11,,10,3 - 2 - 1,,,Other,,istark11
9,Savid400,,9,3 - 2 - 0,50.00%,53.89%,Urshifu Inteleon,,savid400
10,Iori127,,9,3 - 2 - 0,44.00%,55.72%,Regis,,iori127
11,EvanCampbell94,,9,3 - 2 - 0,29.67%,59.47%,Lost Zone Box,,evancampbell94
12,Lime,,6,2 - 3 - 0,58.67%,48.18%,Arceus Duraludon,,lime
13,LKbando,,6,2 - 3 - 0,48.00%,47.19%,Regis,,lkbando
14,Zach Lesage,,6,2 - 2 - 0drop,47.08%,58.75%,Hisuian Goodra,,zlesage
15,mkirby,,6,2 - 2 - 0drop,28.75%,58.52%,Arceus Duraludon,,mkirby
16,[RG] Matthew Pitchford,,3,1 - 2 - 0drop,76.67%,44.33%,Amazing Reshiram,,mattydyl8
17,draxmx,,3,1 - 3 - 0drop,63.33%,49.89%,Palkia Inteleon,,draxmx
18,Vaughn,,3,1 - 4 - 0,60.00%,42.85%,Hisuian Goodra,,vaughn
19,SKAARL2468,,3,1 - 3 - 0drop,57.50%,44.54%,Durant,,skaarl2468
20,zattack10,,3,1 - 3 - 0drop,57.50%,39.30%,Mew Genesect,,zattack10
21,Cal Connor,,3,1 - 2 - 0drop,51.67%,49.55%,Regis,,calcal206
22,Mcalmic,,3,1 - 1 - 0drop,50.00%,55.56%,Lost Zone Box,,mcalmic
23,16RedGunner,,3,1 - 2 - 0drop,45.00%,54.58%,Arceus Charizard,,16redgunner
24,Koshira,,0,0 - 1 - 0drop,80.00%,48.67%,Mew Genesect,,koshira
25,TreyJ9k,,0,0 - 2 - 0drop,65.00%,45.33%,Inteleon Box,,treyj9k
26,PokeDRUMMER97,,0,0 - 2 - 0drop,56.67%,52.50%,Kyurem Palkia,,pokedrummer97
27,Orion Sutherland,,0,0 - 2 - 0drop,56.67%,47.92%,Jolteon Inteleon,,joshuasutherland21
