Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Andrew Hedrick,,23,7 - 0 - 2,,,Lugia Archeops,,pokehawkeye
2,Benny B,,20,6 - 1 - 2,,,Goodra LZ Box,,bbillinger
3,facufacio,,18,6 - 2 - 0,,,Mewtwo Control,,facufacio
4,kikerda,,17,5 - 1 - 2,,,Goodra LZ Box,,kikerda
5,Lucas O,,15,5 - 2 - 0,,,Rayquaza LZ Box,,aoldale
6,EvanCampbell94,,15,5 - 2 - 0,,,Lugia Archeops,,evancampbell94
7,Voltagetcg,,14,4 - 1 - 2,,,Shadow Rider Calyrex,,voltagetcg
8,Magundy,,13,4 - 2 - 1,,,Mew Genesect,,magundy
9,LamLam0731,,13,4 - 1 - 1,55.56%,58.46%,Mew Genesect,,lamlam0731
10,PrinceVortex,,12,4 - 2 - 0,53.06%,60.77%,Goodra LZ Box,,princevortex
11,Joe Higashi,,12,4 - 2 - 0,52.78%,55.56%,Mew Genesect,,rotaryrocket
12,Max Johnson,,12,4 - 2 - 0,51.11%,55.95%,Goodra LZ Box,,upstreampwnage
13,Jamie Chesnut,,12,4 - 2 - 0,50.83%,55.25%,Arceus Flying Pikachu,,pianist3494
14,camcho1892,,12,4 - 2 - 0,45.97%,53.43%,Kyurem Palkia,,camcho1892
15,jakenewton,,12,4 - 2 - 0,41.67%,52.07%,Regis,,jakenewton
16,Victor De Velasco,,12,4 - 2 - 0,38.61%,53.06%,Lugia Archeops,,victor91dv
17,bas,,9,3 - 3 - 0,60.00%,51.92%,Eternatus,,bas
18,Nate Kirksey,,9,3 - 2 - 0drop,57.00%,54.26%,Mew Genesect,,pokenate
19,newton0428,,9,3 - 3 - 0,56.94%,48.24%,Lost Zone Box,,newton0428
20,Iyla Sutherland,,9,3 - 2 - 0drop,55.00%,56.43%,Eternatus,,joshuasutherland21
21,NickyFranchise,,9,3 - 3 - 0,54.17%,48.31%,Lost Zone Box,,nickyfranchise
22,Taylor Lowe,,9,3 - 2 - 0drop,53.33%,59.57%,Lugia Archeops,,lowet03
23,leonardolinny,,9,3 - 3 - 0,53.06%,49.85%,Eternatus,,leonardolinny
24,JW Kriewall,,9,3 - 2 - 0drop,50.33%,53.60%,Lugia Archeops,,jwkriewall
25,Joaquin  Gonzalez,,9,3 - 3 - 0,48.61%,51.95%,Arceus Duraludon,,sweetxyz
26,CrabyHLong,,9,3 - 3 - 0,48.06%,52.63%,Arceus Duraludon,,crabyhlong
27,allzgoode,,9,3 - 3 - 0,41.39%,50.28%,Arceus Duraludon,,allzgoode
28,Jade181324,,7,2 - 2 - 1drop,37.33%,50.49%,Frosmoth Inteleon Box,,jade181324
29,Kashvinder Singh,,6,2 - 2 - 0drop,64.58%,50.92%,Arceus Flying Pikachu,,kashmann27
30,Huntiemon,,6,2 - 2 - 0drop,58.75%,51.58%,Regis,,huntiemon
31,fastandcool,,6,2 - 3 - 0drop,58.33%,53.40%,Mew Genesect,,fastandcool
32,arturoR2D2633127,,6,2 - 3 - 0drop,56.67%,49.05%,Lugia Archeops,,arturor2d2633127
33,Rvd16999,,6,2 - 2 - 0drop,54.17%,48.94%,Duraludon,,rvd16999
34,mkirby,,6,2 - 4 - 0,51.67%,47.93%,Arceus Flying Pikachu,,mkirby
35,Benjamin Grove,,6,2 - 4 - 0,48.61%,48.28%,Lost Zone Box,,benjamingrove47
36,Vaughn,,6,2 - 2 - 0drop,45.83%,52.06%,Arceus Duraludon,,vaughn
37,DJKNITEX,,6,2 - 4 - 0,43.89%,48.87%,Rayquaza LZ Box,,djknitex
38,SOLYSOMBRA,,6,2 - 4 - 0,41.67%,46.96%,Vikavolt Regieleki,,solysombra
39,mwarren2500,,4,1 - 3 - 1drop,53.33%,45.49%,Goodra LZ Box,,mwarren2500
40,Yoshimain,,4,1 - 2 - 1drop,50.00%,48.33%,Lost Zone Box,,yoshimain
41,Elon Musk,,3,1 - 1 - 0drop,75.00%,54.86%,Lost Zone Box,,chrollo
42,kasimierswojcik,,3,1 - 3 - 0drop,66.67%,49.75%,Lugia Archeops,,kasimierswojcik
43,Oleksandr,,3,1 - 2 - 0drop,53.33%,46.67%,Mewtwo Control,,oleksandr
44,HownTown,,3,1 - 4 - 0drop,51.33%,49.77%,Mew Genesect,,howntown
45,Evan P,,3,1 - 2 - 0drop,45.00%,45.38%,Goodra LZ Box,,evanp
46,ogarico2951,,3,1 - 2 - 0drop,36.11%,50.24%,Giratina LZ Box,,ogarico2951
47,Dan Irish,,3,1 - 1 - 0drop,25.00%,66.67%,Dialga,,danirish1
48,Cal Connor,,1,0 - 1 - 1drop,43.75%,54.37%,Arceus Duraludon,,calcal206
49,Mike980902,,0,0 - 1 - 0drop,83.33%,65.83%,Giratina LZ Box,,mike980902
50,APackOfAlpacas,,0,0 - 1 - 0drop,75.00%,55.56%,Rayquaza LZ Box,,apackofalpacas
51,Juan Pablo Salas,,0,0 - 2 - 0drop,66.67%,52.92%,Lost Zone Box,,elalcalde
52,sapocururu,,0,0 - 2 - 0drop,66.67%,48.96%,Lugia Archeops,,sapocururu
53,zattack10,,0,0 - 2 - 0drop,63.33%,47.95%,Rayquaza LZ Box,,zattack10
54,rowsterman,,0,0 - 2 - 0drop,60.42%,48.92%,Regis,,rowsterman
55,Brandon J,,0,0 - 2 - 0drop,55.00%,51.21%,Goodra LZ Box,,lordbj101
56,DT ZAPPETTO [,,0,0 - 4 - 0drop,52.50%,44.58%,Other,,zappetto
57,thelivin,,0,0 - 4 - 0drop,52.08%,49.52%,Giratina LZ Box,,thelivin
58,pepitojr2,,0,0 - 3 - 0drop,50.56%,52.89%,Goodra LZ Box,,pepitojr2
59,kyoukaiten,,0,0 - 1 - 0drop,50.00%,64.58%,Mew Genesect,,kyoukaiten
60,OrangePurple,,0,0 - 1 - 0drop,50.00%,54.17%,Mad Party,,orangepurple
61,MALAAMAR,,0,0 - 1 - 0drop,50.00%,48.61%,Other,,malaamar
62,DarwinNunez,,0,0 - 2 - 0drop,41.67%,47.50%,Mew Genesect,,darwinnunez
63,Kimmy S,,0,0 - 1 - 0drop,40.00%,58.33%,Mew Genesect,,jasonleonard
64,Afrojarritos,,0,0 - 2 - 0drop,33.33%,42.92%,Lugia Archeops,,afrojarritos
