Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Ashton P,,16,5 - 0 - 1,,,Arceus Tapu Koko,,ashertheone
2,Michele  Babin,,13,4 - 1 - 1,,,Palkia,,michelebabin
3,Aidan Khus,,9,3 - 2 - 0,,,Arceus Malamar,,khusaidan7
4,sawyermelban,,6,2 - 3 - 0,,,Dark Inteleon,,sawyermelban
5,16RedGunner,,6,2 - 2 - 0,51.04%,57.37%,Arceus Charizard,,16redgunner
6,Anti,,3,1 - 2 - 0drop,58.33%,54.58%,Frosmoth Inteleon Box,,anti
7,PalmaPalma,,3,1 - 2 - 0drop,54.17%,48.33%,Mimikyu,,palmapalma
8,APackOfAlpacas,,3,1 - 1 - 0drop,50.00%,50.83%,Palkia Inteleon,,apackofalpacas
9,Cal Connor,,0,0 - 2 - 0drop,87.50%,54.17%,Dark Inteleon,,calcal206
10,Zach Lesage,,0,0 - 2 - 0drop,41.67%,52.50%,Dark Inteleon,,zlesage
