Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Vitor Lugon,,28,9 - 1 - 1,,,Palkia Inteleon,,vitorlugon
2,Ryota Saito,,27,9 - 2 - 0,,,Mew Genesect,,mawssa2000
3,Mcalmic,,22,7 - 2 - 1,,,Palkia Inteleon,,mcalmic
4,Anti,,22,7 - 2 - 1,,,Palkia Inteleon,,anti
5,YoongKaiJian,,24,8 - 1 - 0,,,Mew Genesect,,yoongkaijian
6,tmez,,21,7 - 2 - 0,,,Regis,,tmez
7,Neji30,,19,6 - 2 - 1,,,Blissey,,neji30
8,APackOfAlpacas,,19,6 - 2 - 1,,,Palkia Inteleon,,apackofalpacas
9,taketo0218,,19,6 - 1 - 1,51.82%,61.25%,Mew Genesect,,taketo0218
10,Nick DeVries,,18,6 - 2 - 0,71.88%,57.66%,Arceus Inteleon,,tiki
11,Adam Johnston,,18,6 - 2 - 0,67.66%,56.31%,Calyrex Inteleon,,adgejo
12,LitTwo,,18,6 - 2 - 0,65.10%,56.38%,Palkia Inteleon,,littwo
13,Matthew  Chou,,18,6 - 2 - 0,63.28%,55.06%,Dark Inteleon,,luigi30495
14,Noyle,,18,6 - 2 - 0,62.39%,57.10%,Arceus Duraludon,,noyle
15,NicoMF ( Gabriel Fernandez ),,18,6 - 2 - 0,58.07%,58.05%,Arceus Inteleon,,nicomf
16,Joe Higashi,,18,6 - 2 - 0,58.07%,55.69%,Urshifu Inteleon,,rotaryrocket
17,Asher8282879,,18,6 - 2 - 0,56.30%,56.60%,Arceus Inteleon,,asher8282879
18,Maivalentine10,,18,6 - 2 - 0,55.94%,53.85%,Mew Genesect,,maivalentine10
19,carrot629,,18,6 - 2 - 0,55.58%,59.99%,Palkia Inteleon,,carrot629
20,Ira P,,18,6 - 2 - 0,54.91%,62.01%,Mew Genesect,,ira9999
21,syu,,18,6 - 2 - 0,53.13%,58.19%,Palkia Inteleon,,syu
22,UltraNko,,18,6 - 2 - 0,43.54%,57.07%,Palkia Inteleon,,ultranko
23,yakumaru72,,17,5 - 1 - 2,50.00%,54.59%,Mew Genesect,,yakumaru72
24,bujijia1105,,15,5 - 3 - 0,68.75%,58.32%,Arceus Malamar,,bujijia1105
25,Jamie Chesnut,,15,5 - 3 - 0,62.97%,56.46%,Arceus Inteleon,,pianist3494
26,Lpc1994,,15,5 - 3 - 0,60.89%,51.84%,Dialga Bronzong,,lpc1994
27,igorcardenas,,15,5 - 3 - 0,60.42%,53.66%,Calyrex Inteleon,,igorcardenas
28,Lochie,,15,5 - 3 - 0,60.36%,55.51%,Blissey,,lochie
29,giovanny,,15,5 - 3 - 0,59.79%,56.61%,Regis,,giovanny
30,CTCatsGK,,15,5 - 3 - 0,57.29%,53.27%,Arceus Tapu Koko,,ctcatsgk
31,GGzaga,,15,5 - 3 - 0,56.98%,53.53%,Samurott Inteleon,,ggzaga
32,Vini Fernandez,,15,5 - 3 - 0,56.51%,52.95%,Blissey,,warexpert
33,Possessed,,15,5 - 3 - 0,55.06%,57.92%,Arceus Duraludon,,possessed
34,PokemonDanFanTCG,,15,5 - 3 - 0,53.85%,55.15%,Arceus Inteleon,,pokemondanfantcg
35,Thomas Harvey,,15,5 - 3 - 0,53.13%,52.15%,Inteleon Inteleon,,csffarm
36,Null,,15,5 - 3 - 0,47.25%,56.31%,Blissey,,null
37,sleepydreepy,,15,5 - 3 - 0,46.88%,54.71%,Samurott Inteleon,,sleepydreepy
