Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Rowlet0009,,25,8 - 1 - 1,,,Palkia Inteleon,,rowlet0009
2,Anti,,22,7 - 2 - 1,,,Regis,,anti
3,Zach Lesage,,22,7 - 1 - 1,,,Palkia Inteleon,,zlesage
4,TCC Jerrick G,,19,6 - 2 - 1,,,Mew Genesect,,jmila7
5,asapi2034,,18,6 - 2 - 0,,,Palkia Inteleon,,asapi2034
6,kaitona0621,,17,5 - 1 - 2,,,Palkia Inteleon,,kaitona0621
7,dBlueGlitch,,16,5 - 2 - 1,,,Regis,,dblueglitch
8,SKAARL2468,,16,5 - 2 - 1,,,Dracozolt,,skaarl2468
9,mkirby,,15,5 - 2 - 0,59.08%,56.15%,Palkia Inteleon,,mkirby
10,peteau89,,15,5 - 2 - 0,56.80%,56.91%,Arceus,,peteau89
11,brenbolone,,15,5 - 2 - 0,55.27%,53.56%,Mew Genesect,,brenbolone
12,MasterLeBui,,15,5 - 2 - 0,54.25%,57.42%,Calyrex Inteleon,,masterlebui
13,tappa02,,15,5 - 2 - 0,53.16%,56.48%,Palkia Inteleon,,tappa02
14,Smart TCG,,15,5 - 2 - 0,51.53%,55.37%,Arceus Duraludon,,gabrielsmarttcg
15,fdizzle12,,15,5 - 2 - 0,49.35%,58.07%,Mew Genesect,,fdizzle12
16,Michele  Babin,,15,5 - 2 - 0,41.67%,52.75%,Mew Genesect,,michelebabin
17,Jaybob952,,12,4 - 3 - 0,63.61%,51.96%,Calyrex Inteleon,,jaybob952
18,Merk43,,12,4 - 3 - 0,62.93%,56.55%,Arceus Inteleon,,merk43
19,ELPorygon,,12,4 - 3 - 0,60.51%,55.62%,Arceus Duraludon,,elporygon
20,Ace702,,12,4 - 2 - 0drop,59.52%,51.66%,Arceus Gyarados,,ace702
21,haruraid2,,12,4 - 3 - 0,50.68%,52.06%,Inteleon Box,,haruraid2
22,HeatWin,,12,4 - 3 - 0,49.60%,49.05%,Mew Genesect,,heatwin
23,BJ Brownell,,12,4 - 2 - 0drop,47.62%,54.75%,Arceus Inteleon,,beaverjohnson
24,RoboRex,,12,4 - 3 - 0,46.73%,49.36%,Mew Genesect,,roborex
25,Kevin Abernathy,,12,4 - 3 - 0,44.66%,52.04%,Blissey,,kevbot719
26,PokeEmmi,,12,4 - 3 - 0,40.68%,53.45%,Mew Genesect,,pokeemmi
27,Dragonitex83x,,10,3 - 3 - 1,50.00%,53.67%,Regis,,dragonitex83x
28,Vaughn,,9,3 - 3 - 0drop,63.69%,53.70%,Palkia Inteleon,,vaughn
29,Timothy E,,9,3 - 3 - 0drop,54.96%,50.34%,Galarian Weezing,,euretim88
30,Mario Yanez,,9,3 - 3 - 0drop,54.96%,47.76%,Arceus Mewtwo,,marioyanez
31,Samuel G,,9,3 - 1 - 0drop,52.98%,54.00%,Palkia Inteleon,,trashytcg
32,Cal Connor,,9,3 - 2 - 0drop,52.14%,53.61%,Palkia Inteleon,,calcal206
33,chriis1,,9,3 - 3 - 0drop,50.40%,53.37%,Lunatone Solrock,,chriis1
34,Shunkou2510,,9,3 - 4 - 0,50.20%,52.22%,Arceus Inteleon,,shunkou2510
35,guicazzonato,,9,3 - 2 - 0drop,48.81%,60.10%,Palkia Inteleon,,guicazzonato
36,CounterCollector,,9,3 - 3 - 0drop,48.29%,46.69%,Palkia Inteleon,,countercollector
37,Caleb Rogerson,,9,3 - 3 - 0drop,48.13%,53.62%,Inteleon Box,,memaanhc
38,BlondonBoy,,9,3 - 4 - 0,46.53%,48.82%,Palkia Inteleon,,blondonboy
39,Thomas Harvey,,9,3 - 4 - 0,43.03%,47.37%,Dark Inteleon,,csffarm
40,Nikita Pudov,,9,3 - 4 - 0,41.19%,53.61%,Calyrex Inteleon,,lucariotcg
41,Koshka2,,7,2 - 4 - 1,53.33%,53.46%,Mew Genesect,,koshka2
42,Charles S,,6,2 - 2 - 0drop,63.69%,54.24%,Darkrai,,cfs11
43,GodQxx,,6,2 - 2 - 0drop,60.42%,56.78%,Other,,godqxx
44,Ethan K,,6,2 - 3 - 0drop,56.43%,52.90%,Calyrex Inteleon,,cranidosking147
45,eevee08,,6,2 - 3 - 0drop,56.43%,51.16%,Mew Genesect,,eevee08
46,Nate54,,6,2 - 4 - 0drop,55.95%,48.43%,Mew Genesect,,nate54
47,16RedGunner,,6,2 - 3 - 0drop,52.86%,46.41%,Arceus Charizard,,16redgunner
48,Gonzalo Javier Vasquez,,6,2 - 3 - 0drop,50.71%,50.37%,Calyrex Inteleon,,vasscoo
49,MrBacon,,6,2 - 1 - 0drop,48.81%,52.66%,Arceus Inteleon,,mrbacon
50,DragoniteHoarder,,6,2 - 5 - 0drop,48.47%,47.59%,Inteleon Box,,dragonitehoarder
51,zattack10,,6,2 - 2 - 0drop,41.96%,53.38%,Palkia Inteleon,,zattack10
52,LamLam0731,,6,2 - 0 - 0drop,29.17%,70.54%,Calyrex Inteleon,,lamlam0731
53,castereedlin,,4,1 - 4 - 1drop,50.71%,47.45%,Jolteon Inteleon,,castereedlin
54,jtap15,,3,1 - 3 - 0drop,69.05%,55.00%,Arceus Inteleon,,jtap15
55,. Medi,,3,1 - 1 - 0drop,64.29%,52.91%,Shadow Rider Calyrex,,owohunt
56,NotAetrna,,3,1 - 2 - 0drop,60.71%,44.40%,Palkia,,notaetrna
