Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Benny B,,40,13 - 3 - 1,,,Mew Genesect,,bbillinger
2,Alex Hamilton,,37,12 - 4 - 1,,,Arceus Duraludon,,omegascizor456
3,ssebango2,,40,13 - 2 - 1,,,Inteleon Box,,ssebango2
4,Tankmin5,,37,12 - 3 - 1,,,Arceus Flying Pikachu,,tankmin5
5,fdizzle12,,32,10 - 3 - 2,,,Mew Genesect,,fdizzle12
6,RoDrii,,31,10 - 4 - 1,,,Arceus Flying Pikachu,,rodrii
7,EliMaclean,,31,10 - 4 - 1,,,Dialga,,elimaclean
8,Altaadela,,31,10 - 4 - 1,,,Palkia Inteleon,,altaadela
9,. Medi,,30,10 - 4 - 0,58.00%,50.40%,Shadow Rider Calyrex,,owohunt
10,MaiconDias,,30,10 - 4 - 0,47.00%,58.53%,Lunatone Solrock,,maicondias
11,littledarkfury,,29,9 - 3 - 2,56.00%,50.28%,Regis,,littledarkfury
12,Jojitsu,,28,9 - 4 - 1,52.00%,57.85%,Palkia Inteleon,,jojitsu
13,Victor García,,28,9 - 4 - 1,47.00%,54.92%,Palkia Inteleon,,vicgar08
14,Chou Boyu,,27,9 - 5 - 0,59.00%,46.53%,Palkia Inteleon,,werwer0915
15,Vina,,27,8 - 3 - 3,51.00%,47.92%,Mew Genesect,,vina
16,Kickincards,,27,9 - 5 - 0,47.00%,47.50%,Arceus Duraludon,,kickincards
17,VoIDJordon,,27,9 - 5 - 0,42.00%,49.65%,Arceus Flying Pikachu,,voidjordon
18,Juancho S,,26,8 - 4 - 2,43.67%,52.42%,Mew Genesect,,auriz27
19,Orion Sutherland,,25,8 - 5 - 1,60.00%,49.67%,Arceus Flying Pikachu,,joshuasutherland21
20,PokeEmmi,,25,8 - 5 - 1,45.67%,53.73%,Mew Genesect,,pokeemmi
21,UltraNko,,24,8 - 6 - 0,50.67%,49.49%,Calyrex Palkia,,ultranko
22,RedwingPhoenix,,24,8 - 5 - 0drop,41.25%,49.72%,Regis,,redwingphoenix
23,Tomo177supra,,22,7 - 3 - 1drop,60.00%,51.00%,Palkia Inteleon,,tomo177supra
24,MunchlaxTCG,,22,7 - 3 - 1drop,57.50%,55.83%,Stonjourner,,munchlaxtcg
25,GAP Bruno Souza,,22,7 - 4 - 1drop,46.11%,48.08%,Arceus Flying Pikachu,,bhhenriques
26,Matthew Wright,,22,7 - 4 - 1drop,41.11%,45.00%,Palkia Inteleon,,redpyro1266
27,goldenboyx,,21,7 - 3 - 0drop,80.00%,53.00%,Arceus Flying Pikachu,,goldenboyx
28,Koshka2,,21,7 - 5 - 0drop,65.00%,42.38%,Mew Genesect,,koshka2
29,Victorials,,19,6 - 4 - 1drop,75.00%,52.00%,Arceus Flying Pikachu,,victorials
30,JayArrCee,,19,6 - 5 - 1drop,56.67%,47.11%,Other,,jayarrcee
31,irvintyes,,19,6 - 3 - 1drop,50.00%,57.50%,Durant,,irvintyes
32,hehehe!! uwu :3,,18,6 - 4 - 0drop,90.00%,36.00%,Arceus Duraludon,,chrisfranco
33,Thomas Harvey,,18,6 - 3 - 0,55.71%,54.16%,Regis,,csffarm
34,Frank Percic,,18,6 - 3 - 0,54.63%,56.54%,Lunatone Solrock,,frankthetanktcg
35,Smart TCG,,18,6 - 3 - 0,52.28%,52.29%,Calyrex Palkia,,gabrielsmarttcg
36,PrincessLyla,,18,6 - 3 - 0,50.60%,48.09%,Arceus Duraludon,,princesslyla
37,Dan Irish,,18,6 - 3 - 0,49.80%,55.57%,Mew Genesect,,danirish1
38,Brandon Guevara,,18,6 - 3 - 0,49.53%,53.46%,Palkia Inteleon,,darthbrando
