Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,EvanCampbell94,,26,8 - 0 - 2,,,Lugia Archeops,,evancampbell94
2,Braiden1235,,22,7 - 2 - 1,,,Arceus Flying Pikachu,,braiden1235
3,Iyla Sutherland,,22,7 - 1 - 1,,,Eternatus,,joshuasutherland21
4,Dan Irish,,18,6 - 3 - 0,,,Entei,,danirish1
5,Evan P,,18,6 - 2 - 0,,,Arceus Duraludon,,evanp
6,ninjadrake,,17,5 - 1 - 2,,,Lugia Archeops,,ninjadrake
7,I LOVE ZACH LESAGE,,16,5 - 2 - 1,,,Regis,,bart
8,NRG allezliverpool,,15,5 - 3 - 0,,,Lost Zone Box,,allezliverpool69
9,mkirby,,15,5 - 2 - 0,53.50%,57.33%,Goodra LZ Box,,mkirby
10,Weston67,,15,5 - 2 - 0,51.87%,56.33%,Regis,,weston67
11,Jack M,,15,5 - 2 - 0,50.71%,54.46%,Mew Genesect,,mackjanzie
12,. Medi,,15,5 - 2 - 0,48.64%,54.83%,Arceus Flying Pikachu,,owohunt
13,OnGaard,,15,5 - 2 - 0,42.96%,50.01%,Arceus Regidrago,,ongaard
14,SlimeyWasTaken,,15,5 - 2 - 0,42.04%,54.47%,Rayquaza LZ Box,,slimeywastaken
15,Bossman2,,13,4 - 2 - 1,57.48%,58.80%,Mew Genesect,,bossman2
16,Nate Kirksey,,12,4 - 2 - 0drop,59.64%,52.41%,Vikavolt,,pokenate
17,Victor De Velasco,,12,4 - 3 - 0,57.04%,52.54%,Lugia Archeops,,victor91dv
18,YoongKaiJian,,12,4 - 3 - 0,56.22%,53.35%,Lugia Archeops,,yoongkaijian
19,camcho1892,,12,4 - 3 - 0,54.59%,51.96%,Kyurem Palkia,,camcho1892
20,mrpnut03,,12,4 - 3 - 0,53.47%,56.74%,Goodra LZ Box,,mrpnut03
21,MaxEvil95,,12,4 - 3 - 0,53.47%,50.89%,Lugia Archeops,,maxevil95
22,UltraNko,,12,4 - 2 - 0drop,50.40%,53.17%,Rayquaza LZ Box,,ultranko
23,Jacob Walker,,12,4 - 3 - 0,50.17%,48.49%,Kyurem Palkia,,jaybob952
24,Josh Stapler,,12,4 - 3 - 0,48.57%,51.14%,Rayquaza LZ Box,,aestheticallyjosh
25,frank zapata,,10,3 - 3 - 1,45.44%,50.22%,Mew Genesect,,frankzapata
26,Swagggmaster69,,9,3 - 2 - 0drop,60.86%,55.37%,Goodra LZ Box,,swagggmaster69
27,Benny Bingler,,9,3 - 2 - 0drop,58.48%,50.33%,Arceus Duraludon,,bbillinger
28,Savid400,,9,3 - 2 - 0drop,57.86%,53.51%,Palkia,,savid400
29,SirRmor,,9,3 - 3 - 0drop,57.54%,52.22%,Arceus Flying Pikachu,,sirrmor
30,HighZen,,9,3 - 3 - 0drop,54.88%,50.10%,Lugia Archeops,,highzen
31,Matthew44,,9,3 - 3 - 0drop,48.53%,52.10%,Durant,,matthew44
32,TheRicardoToddy,,9,3 - 4 - 0,47.55%,48.77%,Rayquaza LZ Box,,thericardotoddy
33,VmaxSkittlez,,9,3 - 3 - 0drop,46.87%,48.88%,Rayquaza LZ Box,,vmaxskittlez
34,Elmenor21,,9,3 - 3 - 0drop,39.60%,52.18%,Lost Zone Box,,elmenor21
35,Manoloe621,,6,2 - 2 - 0drop,66.96%,53.90%,Mew Genesect,,manoloe621
36,Emanuel E,,6,2 - 2 - 0drop,63.39%,48.33%,Rayquaza LZ Box,,xpredate
37,Elijah F,,6,2 - 3 - 0drop,57.14%,51.49%,Other,,elijahfabian
38,arturoR2D2633127,,6,2 - 3 - 0drop,56.57%,49.08%,Lugia Archeops,,arturor2d2633127
