set_name,start_date,end_date
Chilling Reign,2021-06-18,2021-08-26
Evolving Skies,2021-08-27,2021-10-07
Celebrations,2021-10-08,2021-11-11
Fusion Strike,2021-11-12,2022-02-24
Brilliant Stars,2022-02-25,2022-05-26
Astral Radiance,2022-05-27,2022-06-30
Pokemon GO,2022-07-01,2022-09-08
Lost Origin ,2022-09-09,2022-11-10
Silver Tempest,2022-11-11,2023-01-19
Crown Zenith,2023-01-20,2023-03-30
Scarlet & Violet,2023-03-31,2023-06-08
Paldea Evolved,2023-06-09,2023-08-10
Obsidian Flames,2023-08-11,2023-09-21
